pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target
2,event,2,event,turtle,live,True,['turtle'],['live'],1,1,7.5236065e-05,2.0729061e-05,0.999647,2.5913429e-05,4.2497148e-05,0.0001885957,0.005207608,4,19
5,random,5,random,ant,experience,True,['ant'],['experience'],1,1,8.171385e-06,5.846702e-06,1.6578164e-05,5.9199383e-06,6.1474434e-06,0.9999573,0.00077380636,1,8
2,event,5,random,fighter,start,False,['fighter'],['start'],1,1,5.2658856e-05,2.1132948e-05,0.99813807,2.2474655e-05,0.00031074192,0.0014549161,0.021440413,3,22
5,random,5,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,1.1152409e-05,5.938916e-06,1.4204649e-05,6.3186944e-06,6.0546586e-06,0.99995637,0.00079236075,4,2
3,hyper,3,hyper,knife,artifact,True,['knife'],['artifact'],1,1,4.3524684e-05,3.3331897e-05,3.4172725e-05,0.99982315,2.0307445e-05,4.547123e-05,0.0028608944,4,1
0,attri,0,attri,missile,short,True,['missile'],['short'],1,1,0.99962556,2.1478962e-05,0.00019928443,4.7188034e-05,2.7252112e-05,7.9201716e-05,0.005493293,2,23
4,mero,4,mero,cathedral,transept,True,['cathedral'],"['trans', '##ept']",1,2,4.375973e-05,4.3049055e-05,3.8668906e-05,4.4926925e-05,0.99956137,0.00026818356,0.006288123,3,1
0,attri,0,attri,lemon,sour,True,['lemon'],['sour'],1,1,0.99960965,6.2573774e-05,0.00016935232,0.00010245547,3.8742346e-05,1.7278286e-05,0.00575739,5,11
5,random,5,random,robin,permanence,True,['robin'],"['per', '##man', '##ence']",1,3,8.226293e-06,6.1711767e-06,1.2498223e-05,8.745585e-06,7.677276e-06,0.9999567,0.0007891464,2,1
4,mero,4,mero,cathedral,stair,True,['cathedral'],['stair'],1,1,2.3927214e-05,2.355565e-05,6.728567e-05,2.8667046e-05,0.9997218,0.000134698,0.004227693,3,1
