pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12
2,event,Ġevent,2,event,Ġevent,turtle,live,True,['Ġturtle'],['Ġlive'],1,1,0.00011433773,1.42419885e-05,0.99968827,4.421009e-06,0.0001482991,3.0458019e-05,0.0045979787,4,19,Ġevent,Ġpart,Ġattribute,Ġrandom,Ġevents,Ġcoordinated,ĠEvent,Ġfunction,Ġsubclass,Ġdo,Ġtime,Ġstate
5,random,Ġrandom,5,random,Ġrandom,ant,experience,True,['Ġant'],['Ġexperience'],1,1,2.6445385e-05,2.3497055e-06,0.00027224148,1.5657559e-05,9.593576e-05,0.99958736,0.0057958337,1,8,Ġrandom,Ġevent,Ġpart,Ġattribute,Ġsubclass,ĠRandom,Ġrandomly,Ġcoordinated,Ġvariable,Ġrandomized,Ġchance,Ġindependent
2,event,Ġevent,5,random,Ġrandom,fighter,start,False,['Ġfighter'],['Ġstart'],1,1,0.00015005074,6.2667954e-05,0.7566051,3.6584166e-05,0.009345953,0.23379953,0.860971,3,22,Ġevent,Ġrandom,Ġpart,Ġattribute,Ġstart,Ġcoordinated,Ġevents,Ġsubclass,ĠEvent,Ġthe,Ġcause,Ġpoint
5,random,Ġrandom,5,random,Ġrandom,chisel,temperature,True,"['Ġch', 'isel']",['Ġtemperature'],2,1,1.707187e-05,1.9922288e-06,0.00023801443,5.1209413e-06,0.00033804675,0.9993998,0.00802653,4,2,Ġrandom,Ġpart,Ġevent,Ġattribute,Ġsubclass,Ġrandomly,ĠRandom,Ġcoordinated,Ġvariable,Ġrandomized,Ġchance,Ġprobability
3,hyper,Ġsubclass,3,hyper,Ġsubclass,knife,artifact,True,['Ġknife'],['Ġartifact'],1,1,1.0290548e-06,5.385325e-06,2.2743316e-05,0.99996483,4.703188e-06,1.264403e-06,0.0006241808,4,1,Ġsubclass,Ġevent,Ġclass,Ġcoordinated,Ġpart,Ġrandom,Ġtype,Ġattribute,Ġgroup,Ġcategory,Ġkind,Ġa
0,attri,Ġattribute,0,attri,Ġattribute,missile,short,True,['Ġmissile'],['Ġshort'],1,1,0.9991478,2.3904956e-06,0.00027920795,1.643502e-05,6.2987936e-05,0.0004911387,0.011108529,2,23,Ġattribute,Ġrandom,Ġevent,Ġpart,Ġsubclass,Ġproperty,Ġattributes,Ġfeature,Ġmean,Ġcharacteristic,Ġvariable,Ġtrait
4,mero,Ġpart,4,mero,Ġpart,cathedral,transept,True,['Ġcathedral'],"['Ġtr', 'anse', 'pt']",1,3,3.6301224e-06,0.00023775184,0.0016677986,7.047041e-06,0.99653935,0.0015445341,0.037846483,3,1,Ġpart,Ġevent,Ġrandom,Ġcoordinated,Ġportion,Ġof,Ġsection,Ġall,Ġwhole,Ġparts,Ġhalf,Ġthe
0,attri,Ġattribute,0,attri,Ġattribute,lemon,sour,True,['Ġlemon'],['Ġsour'],1,1,0.9520282,0.00011175754,0.046980344,0.00020985656,0.0003961816,0.00027372022,0.28653738,5,11,Ġattribute,Ġevent,Ġpart,Ġrandom,Ġsubclass,Ġcoordinated,Ġproperty,Ġfunction,Ġcategory,Ġattributes,Ġelement,Ġfeature
5,random,Ġrandom,5,random,Ġrandom,robin,permanence,True,"['Ġrob', 'in']","['Ġperman', 'ence']",2,2,2.5294192e-05,9.910709e-07,0.00013256748,5.8418095e-06,6.5807915e-05,0.9997696,0.0034618431,2,1,Ġrandom,Ġevent,Ġpart,Ġattribute,Ġsubclass,ĠRandom,Ġrandomly,Ġcoordinated,Ġvariable,Ġprobability,Ġrandomized,Ġchance
4,mero,Ġpart,4,mero,Ġpart,cathedral,stair,True,['Ġcathedral'],['Ġstair'],1,1,9.864119e-06,0.0006222653,0.004733568,1.3610187e-05,0.9940638,0.0005569275,0.05812712,3,1,Ġpart,Ġevent,Ġcoordinated,Ġrandom,Ġsection,Ġportion,Ġsubclass,Ġtop,Ġparts,Ġcomponent,Ġend,Ġof
