pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target
2,event,2,event,turtle,live,True,['Ġturtle'],['Ġlive'],1,1,2.5501362e-05,2.211067e-05,0.9997775,5.950328e-05,2.8049706e-05,8.752849e-05,0.0034916394,4,19
5,random,5,random,ant,experience,True,['Ġant'],['Ġexperience'],1,1,1.0731996e-05,6.5841114e-06,6.5057966e-06,5.7940565e-06,1.5454914e-05,0.99995494,0.00081538525,1,8
2,event,5,random,fighter,start,False,['Ġfighter'],['Ġstart'],1,1,2.4535757e-05,1.5852644e-05,0.99437237,2.4370162e-05,0.00073617144,0.0048265974,0.0538994,3,22
5,random,5,random,chisel,temperature,True,"['Ġch', 'isel']",['Ġtemperature'],2,1,1.0381859e-05,5.901605e-06,9.209447e-06,3.9602805e-06,1.17013815e-05,0.9999589,0.00075055816,4,2
3,hyper,3,hyper,knife,artifact,True,['Ġknife'],['Ġartifact'],1,1,2.4259654e-05,8.598547e-05,3.3432123e-05,0.9997775,2.0387513e-05,5.840065e-05,0.0034902636,4,1
0,attri,0,attri,missile,short,True,['Ġmissile'],['Ġshort'],1,1,0.9998307,1.5295043e-05,1.9673698e-05,2.0066644e-05,2.9446732e-05,8.481342e-05,0.0026999156,2,23
4,mero,4,mero,cathedral,transept,True,['Ġcathedral'],"['Ġtr', 'anse', 'pt']",1,3,1.6926633e-05,4.3496257e-05,0.00017341849,1.8355786e-05,0.9996697,7.819186e-05,0.004897122,3,1
0,attri,0,attri,lemon,sour,True,['Ġlemon'],['Ġsour'],1,1,0.9998578,2.4603252e-05,1.9232688e-05,2.60154e-05,3.219573e-05,4.0228893e-05,0.0023472265,5,11
5,random,5,random,robin,permanence,True,"['Ġrob', 'in']","['Ġperman', 'ence']",2,2,1.2932946e-05,6.1128153e-06,6.5296604e-06,5.4988664e-06,1.09288585e-05,0.99995804,0.0007650948,2,1
4,mero,4,mero,cathedral,stair,True,['Ġcathedral'],['Ġstair'],1,1,2.4801586e-05,6.2183426e-05,0.0002718644,2.1357195e-05,0.99952507,9.469532e-05,0.006750629,3,1
4,mero,4,mero,goose,plumage,True,['Ġgoose'],"['Ġplum', 'age']",1,2,2.5361418e-05,2.7302716e-05,0.00016235726,2.0068694e-05,0.9997154,4.9506158e-05,0.0042767143,6,1
4,mero,4,mero,battleship,deck,True,"['Ġbattles', 'hip']",['Ġdeck'],2,1,2.285912e-05,4.043235e-05,0.00021773286,1.3766796e-05,0.9995659,0.0001393421,0.00622454,1,7
5,random,2,event,bed,prepare,False,['Ġbed'],['Ġprepare'],1,1,1.0263852e-05,6.0762095e-06,1.4632686e-05,3.6222305e-06,1.1271593e-05,0.9999541,0.0008273448,13,8
1,coord,1,coord,library,pub,True,['Ġlibrary'],['Ġpub'],1,1,8.259701e-06,0.9998354,5.5912693e-05,3.499034e-05,4.8839876e-05,1.6577897e-05,0.0026473987,5,1
4,mero,4,mero,villa,floor,True,"['Ġvill', 'a']",['Ġfloor'],2,1,2.0210004e-05,3.3059187e-05,0.00019647095,1.5029718e-05,0.9996625,7.268843e-05,0.0049533816,4,12
1,coord,1,coord,corn,onion,True,['Ġcorn'],['Ġonion'],1,1,1.4030444e-05,0.9999095,1.9600431e-05,2.4819503e-05,1.6621587e-05,1.5550515e-05,0.0015553832,9,3
3,hyper,3,hyper,battleship,artefact,True,"['Ġbattles', 'hip']","['Ġarte', 'fact']",2,2,1.77642e-05,0.00010757514,4.2463063e-05,0.9997526,1.7602708e-05,6.202189e-05,0.003816927,1,1
5,random,5,random,dresser,possible,True,"['Ġdress', 'er']",['Ġpossible'],2,1,1.4513615e-05,7.9307265e-06,6.0145353e-06,5.6048593e-06,1.13185e-05,0.9999546,0.000821144,5,4
5,random,5,random,ant,very,True,['Ġant'],['Ġvery'],1,1,2.7905668e-05,6.361472e-06,8.54493e-06,3.4450766e-06,1.3561308e-05,0.99994016,0.0010440059,1,4
2,event,2,event,desk,work,True,['Ġdesk'],['Ġwork'],1,1,1.9194957e-05,1.9668205e-05,0.99977845,4.240334e-05,5.4695418e-05,8.556264e-05,0.0034743436,1,34
5,random,5,random,glove,pest,True,['Ġglove'],['Ġpest'],1,1,8.349628e-06,7.5910557e-06,6.4290043e-06,4.7245276e-06,1.2901078e-05,0.99995995,0.00073166477,3,4
5,random,5,random,radish,vinyl,True,"['Ġrad', 'ish']",['Ġvinyl'],2,1,1.2532651e-05,7.0234128e-06,6.3913717e-06,4.261057e-06,1.167804e-05,0.99995816,0.00076234154,5,2
2,event,1,coord,cockroach,fly,False,"['Ġcock', 'roach']",['Ġfly'],2,1,0.00018744783,0.31881016,0.6762238,0.0025994729,0.0018065191,0.00037251587,0.9528196,1,20
1,coord,2,event,sofa,couch,False,['Ġsofa'],['Ġcouch'],1,1,0.00029427186,0.7206596,0.26153234,0.007675461,0.009515464,0.00032285694,0.97166157,1,4
2,event,2,event,rat,live,True,['Ġrat'],['Ġlive'],1,1,2.6838734e-05,3.0941494e-05,0.99978346,6.891702e-05,3.4226712e-05,5.562144e-05,0.0034300012,11,19
2,event,2,event,chisel,produce,True,"['Ġch', 'isel']",['Ġproduce'],2,1,4.7467183e-05,9.757525e-06,0.99965584,2.491498e-05,2.6973323e-05,0.00023509022,0.0049650855,4,8
5,random,5,random,piano,afford,True,['Ġpiano'],['Ġafford'],1,1,9.13758e-06,5.241903e-06,1.717874e-05,4.0143186e-06,1.39975255e-05,0.9999504,0.0008860422,4,4
1,coord,1,coord,tiger,elephant,True,['Ġtiger'],['Ġelephant'],1,1,1.8446894e-05,0.9999019,1.3253148e-05,3.1638876e-05,1.7271093e-05,1.746505e-05,0.0016685196,2,2
5,random,5,random,pigeon,blend,True,['Ġpigeon'],['Ġblend'],1,1,1.1817348e-05,6.326282e-06,1.287013e-05,3.4276727e-06,9.786019e-06,0.9999558,0.00080065336,1,6
5,random,5,random,coconut,pls,True,['Ġcoconut'],"['Ġpl', 's']",1,2,7.6038896e-06,7.811994e-06,8.509846e-06,3.777857e-06,2.0692885e-05,0.9999516,0.0008650361,3,0
2,event,2,event,robe,hang,True,['Ġrobe'],['Ġhang'],1,1,2.201535e-05,2.3205966e-05,0.9997898,3.6653237e-05,7.7517245e-05,5.0936535e-05,0.003326314,4,18
4,mero,4,mero,glove,leather,True,['Ġglove'],['Ġleather'],1,1,2.3909855e-05,3.529377e-05,0.0004538278,1.8458037e-05,0.9994054,6.309509e-05,0.007957247,3,2
4,mero,4,mero,cathedral,window,True,['Ġcathedral'],['Ġwindow'],1,1,2.1622884e-05,3.2524214e-05,0.00018426345,1.6027072e-05,0.9996853,6.0355662e-05,0.004661314,3,8
2,event,2,event,turtle,lay,True,['Ġturtle'],['Ġlay'],1,1,2.1916132e-05,3.789622e-05,0.9997427,3.7603895e-05,0.00012345797,3.6393314e-05,0.003959231,4,16
