pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target
2,event,2,event,turtle,live,True,['turtle'],['live'],1,1,0.11063637,0.10826278,0.38744304,0.0019772563,0.08850736,0.3031732,2.0779972,4,19
5,random,5,random,ant,experience,True,['ant'],['experience'],1,1,0.15427676,0.012185852,0.31841224,0.002392127,0.08989495,0.42283815,1.8775471,1,8
1,coord,5,random,fighter,start,False,['fighter'],['start'],1,1,0.17320132,0.70665574,0.03343333,0.0009717123,0.03949569,0.04624217,1.3549236,3,22
5,random,5,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,0.00028451215,0.000548114,0.0013828741,6.3079744e-05,0.00011395033,0.99760747,0.028244223,4,2
5,random,3,hyper,knife,artifact,False,['knife'],['artifact'],1,1,0.045508467,0.21462299,0.22601222,0.0024044388,0.057383787,0.45406806,1.938986,4,1
1,coord,0,attri,missile,short,False,['missile'],['short'],1,1,0.043127224,0.9292938,0.007884057,0.0007328691,0.009293603,0.009668311,0.48405597,2,23
5,random,4,mero,cathedral,transept,False,['cathedral'],"['trans', '##ept']",1,2,0.021353781,0.30125308,0.27682695,0.0017261994,0.06383565,0.33500436,1.9506904,3,1
1,coord,0,attri,lemon,sour,False,['lemon'],['sour'],1,1,0.2134068,0.27881578,0.1792725,0.003968813,0.10723448,0.21730159,2.2894716,5,11
1,coord,5,random,robin,permanence,False,['robin'],"['per', '##man', '##ence']",1,3,0.0943057,0.53079766,0.11821301,0.0014497754,0.047107164,0.20812677,1.8630494,2,1
1,coord,4,mero,cathedral,stair,False,['cathedral'],['stair'],1,1,0.013578827,0.5811725,0.14824712,0.0012209405,0.07263008,0.18315049,1.6826332,3,1
1,coord,4,mero,goose,plumage,False,['goose'],['plumage'],1,1,0.056588348,0.49017242,0.14440167,0.0012827595,0.030135395,0.2774194,1.819588,6,1
1,coord,4,mero,battleship,deck,False,['battleship'],['deck'],1,1,0.022986377,0.66303724,0.15186238,0.0011526244,0.052851893,0.10810942,1.5135424,1,7
2,event,2,event,bed,prepare,True,['bed'],['prepare'],1,1,0.069240816,0.048620928,0.6927526,0.0018894405,0.040816236,0.14667995,1.4573481,13,8
5,random,1,coord,library,pub,False,['library'],['pub'],1,1,0.016812604,0.13720113,0.06872987,0.0010171318,0.014004354,0.7622349,1.1526769,5,1
1,coord,4,mero,villa,floor,False,['villa'],['floor'],1,1,0.03076103,0.43453005,0.17236888,0.001520762,0.08362275,0.27719656,1.9409149,4,12
5,random,1,coord,corn,onion,False,['corn'],['onion'],1,1,0.04792814,0.28525123,0.16855605,0.0018496799,0.03726313,0.45915172,1.8685107,9,3
1,coord,3,hyper,battleship,artefact,False,['battleship'],"['arte', '##fa', '##ct']",1,3,0.13220458,0.59172606,0.105195686,0.0014426888,0.052449614,0.1169814,1.7744392,1,1
1,coord,5,random,dresser,possible,False,['dresser'],['possible'],1,1,0.18187894,0.70829135,0.019715386,0.0009798022,0.01690157,0.072233,1.2944822,5,4
1,coord,5,random,ant,very,False,['ant'],['very'],1,1,0.19943437,0.62543654,0.040357172,0.001604865,0.07441317,0.058753874,1.6083195,1,4
5,random,2,event,desk,work,False,['desk'],['work'],1,1,0.014308514,0.06915263,0.25960696,0.0011731066,0.025056131,0.6307026,1.4233619,1,34
1,coord,5,random,glove,pest,False,['glove'],['pest'],1,1,0.06649849,0.38683778,0.21005286,0.0018141315,0.027246106,0.30755067,1.9442714,3,4
1,coord,5,random,radish,vinyl,False,"['ra', '##dis', '##h']",['vinyl'],3,1,0.12336226,0.7530738,0.07350447,0.0010849998,0.02079108,0.02818335,1.2293438,5,2
1,coord,1,coord,cockroach,fly,True,"['cock', '##ro', '##ach']",['fly'],3,1,0.078247175,0.64078903,0.120451786,0.0014689356,0.028373897,0.13066913,1.6101474,1,20
