pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,attri,coord,event,hyper,mero,random,entropy,nsynsests_source,nsynsests_target
2,event,2,event,turtle,live,True,['turtle'],['live'],1,1,4.4427223e-05,2.528159e-05,0.99955934,2.7405165e-05,6.4064036e-05,0.0002794586,0.0062708016,4,19
5,random,5,random,ant,experience,True,['ant'],['experience'],1,1,1.5489124e-05,1.8493678e-05,2.3319126e-05,1.7916245e-05,1.226641e-05,0.9999125,0.001505963,1,8
5,random,5,random,fighter,start,True,['fighter'],['start'],1,1,1.3056006e-05,1.1196933e-05,4.174616e-05,1.192179e-05,1.1481289e-05,0.9999106,0.001515693,3,22
5,random,5,random,chisel,temperature,True,"['chi', '##sel']",['temperature'],2,1,1.5980231e-05,1.7514518e-05,2.2412649e-05,1.6726597e-05,1.4250328e-05,0.9999131,0.0014977278,4,2
3,hyper,3,hyper,knife,artifact,True,['knife'],['artifact'],1,1,0.00016744398,6.5935084e-05,0.0006472978,0.99892455,5.1213403e-05,0.00014350709,0.013985847,4,1
0,attri,0,attri,missile,short,True,['missile'],['short'],1,1,0.9995136,3.034789e-05,0.00013986562,3.360606e-05,7.010947e-05,0.00021246914,0.007006925,2,23
4,mero,4,mero,cathedral,transept,True,['cathedral'],"['trans', '##ept']",1,2,7.98575e-05,6.6015054e-05,0.00011733682,2.6988908e-05,0.99912184,0.000587999,0.011522168,3,1
0,attri,0,attri,lemon,sour,True,['lemon'],['sour'],1,1,0.9996705,7.413661e-05,0.00014605751,4.9199516e-05,2.685142e-05,3.3221237e-05,0.004959242,5,11
5,random,5,random,robin,permanence,True,['robin'],"['per', '##man', '##ence']",1,3,1.7899232e-05,1.577962e-05,2.1786198e-05,1.6583695e-05,1.4689565e-05,0.9999132,0.0014956599,2,1
4,mero,4,mero,cathedral,stair,True,['cathedral'],['stair'],1,1,5.083483e-05,5.5895387e-05,0.00017301727,2.8145127e-05,0.99919325,0.0004988941,0.010738305,3,1
4,mero,4,mero,goose,plumage,True,['goose'],['plumage'],1,1,4.8793114e-05,5.0936702e-05,9.894076e-05,3.633044e-05,0.99936503,0.0003999309,0.0087074805,6,1
4,mero,4,mero,battleship,deck,True,['battleship'],['deck'],1,1,6.797015e-05,8.3106286e-05,0.00047667543,3.1187035e-05,0.99801,0.0013310682,0.023378406,1,7
5,random,2,event,bed,prepare,False,['bed'],['prepare'],1,1,1.1841653e-05,1.1678418e-05,8.14057e-05,1.2142163e-05,1.0722658e-05,0.9998722,0.002050665,13,8
1,coord,1,coord,library,pub,True,['library'],['pub'],1,1,2.260017e-05,0.99983656,2.6181628e-05,2.6453896e-05,5.8749385e-05,2.9346791e-05,0.0026527522,5,1
4,mero,4,mero,villa,floor,True,['villa'],['floor'],1,1,5.7962654e-05,6.4413915e-05,0.00029461336,2.8711853e-05,0.9984371,0.0011171428,0.01880896,4,12
1,coord,1,coord,corn,onion,True,['corn'],['onion'],1,1,2.0354732e-05,0.9998543,2.3177674e-05,3.397245e-05,4.2652347e-05,2.5471503e-05,0.0023963694,9,3
3,hyper,3,hyper,battleship,artefact,True,['battleship'],"['arte', '##fa', '##ct']",1,3,0.00015512928,6.717017e-05,0.00051031297,0.99895334,4.8195372e-05,0.00026575697,0.013831941,1,1
5,random,5,random,dresser,possible,True,['dresser'],['possible'],1,1,1.636724e-05,1.661912e-05,2.3859884e-05,1.7439557e-05,1.2928181e-05,0.99991274,0.0015018622,5,4
5,random,5,random,ant,very,True,['ant'],['very'],1,1,1.9909194e-05,1.3965398e-05,2.7161359e-05,1.6325024e-05,1.0883681e-05,0.9999118,0.0015144382,1,4
2,event,2,event,desk,work,True,['desk'],['work'],1,1,2.3994155e-05,3.13015e-05,0.99951255,3.196459e-05,7.55597e-05,0.0003246643,0.006814035,1,34
5,random,5,random,glove,pest,True,['glove'],['pest'],1,1,1.497441e-05,1.777394e-05,2.4391946e-05,2.1846063e-05,9.509776e-06,0.99991155,0.0015187068,3,4
5,random,5,random,radish,vinyl,True,"['ra', '##dis', '##h']",['vinyl'],3,1,1.850211e-05,1.8601506e-05,2.0888961e-05,2.0019426e-05,1.4226326e-05,0.99990773,0.0015825916,5,2
2,event,1,coord,cockroach,fly,False,"['cock', '##ro', '##ach']",['fly'],3,1,0.00017354383,0.05744847,0.9301437,0.00090929854,0.010769023,0.0005558587,0.4217169,1,20
1,coord,2,event,sofa,couch,False,['sofa'],['couch'],1,1,0.0010207412,0.6028703,0.37203047,0.012939144,0.007657921,0.003481411,1.1444019,1,4
2,event,2,event,rat,live,True,['rat'],['live'],1,1,4.5322115e-05,2.717446e-05,0.99964166,2.720965e-05,6.378533e-05,0.00019490262,0.005286779,11,19
2,event,2,event,chisel,produce,True,"['chi', '##sel']",['produce'],2,1,7.70654e-05,3.8600723e-05,0.99843484,4.4923054e-05,8.602934e-05,0.0013185763,0.018300518,4,8
2,event,5,random,piano,afford,False,['piano'],['afford'],1,1,8.2515005e-05,0.00013398938,0.9585886,0.00024273751,0.00023619931,0.04071592,0.25513,4,4
1,coord,1,coord,tiger,elephant,True,['tiger'],['elephant'],1,1,2.442051e-05,0.99985826,1.6008793e-05,3.305967e-05,3.848119e-05,2.9746e-05,0.0023375503,2,2
5,random,5,random,pigeon,blend,True,['pigeon'],['blend'],1,1,1.3832763e-05,1.40282245e-05,3.1280386e-05,1.2647112e-05,1.186458e-05,0.9999163,0.001438087,1,6
5,random,5,random,coconut,pls,True,['coconut'],"['pl', '##s']",1,2,1.3451386e-05,1.2411725e-05,4.0788804e-05,9.595174e-06,1.30837525e-05,0.9999107,0.0015157114,3,0
