pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ANT,HYPER,PART_OF,RANDOM,SYN,entropy,nsynsests_source,nsynsests_target
3,RANDOM,1,HYPER,coach,teach,False,['coach'],['teach'],1,1,0.0019970562,0.00042413207,0.00050985627,0.99641305,0.00065588945,0.040338796,7,3
0,ANT,1,HYPER,coach,teacher,False,['coach'],['teacher'],1,1,0.51667213,0.04786278,0.00487107,0.010951536,0.41964248,1.3365548,7,2
3,RANDOM,3,RANDOM,coach,coat,True,['coach'],['coat'],1,1,0.0009007773,0.00038820636,0.0006688039,0.99757093,0.0004712391,0.02927261,7,6
0,ANT,3,RANDOM,coach,dog,False,['coach'],['dog'],1,1,0.7817064,0.03782815,0.0050876206,0.030657368,0.1447204,1.0529275,7,8
3,RANDOM,3,RANDOM,coach,performance,True,['coach'],['performance'],1,1,0.002222416,0.002055741,0.005206126,0.98851275,0.0020029985,0.11186003,7,5
3,RANDOM,3,RANDOM,coach,pit,True,['coach'],['pit'],1,1,0.0008826468,0.00038035403,0.0005164294,0.9977744,0.0004461238,0.027087886,7,14
3,RANDOM,3,RANDOM,coach,rain,True,['coach'],['rain'],1,1,0.00075531995,0.00039858386,0.00048431888,0.9979528,0.00040887078,0.025220105,7,4
0,ANT,3,RANDOM,coach,rear,False,['coach'],['rear'],1,1,0.528409,0.010443961,0.011381058,0.31803718,0.13172878,1.5393567,7,11
3,RANDOM,3,RANDOM,coach,ride,True,['coach'],['ride'],1,1,0.0030636152,0.00067111803,0.00089023536,0.9941836,0.0011914131,0.06161761,7,16
3,RANDOM,3,RANDOM,coach,side,True,['coach'],['side'],1,1,0.002614051,0.0011430507,0.0051441155,0.9895606,0.0015381743,0.10206371,7,14
1,HYPER,1,HYPER,dance,move,True,['dance'],['move'],1,1,0.0130891735,0.84595454,0.053959616,0.002970939,0.08402576,0.83849186,7,21
3,RANDOM,3,RANDOM,dance,bring,True,['dance'],['bring'],1,1,0.00084572466,0.00039455816,0.0005166832,0.99783725,0.00040586188,0.026425304,7,11
3,RANDOM,3,RANDOM,dance,human,True,['dance'],['human'],1,1,0.009556613,0.039311368,0.11256418,0.83057255,0.007995273,0.880515,7,4
3,RANDOM,3,RANDOM,dance,idea,True,['dance'],['idea'],1,1,0.00075343845,0.00037450335,0.0005180974,0.997934,0.00041992433,0.02542198,7,5
3,RANDOM,3,RANDOM,dance,idle,True,['dance'],['idle'],1,1,0.0011593914,0.00037884145,0.00041551702,0.9976447,0.00040155835,0.028204612,7,10
3,RANDOM,3,RANDOM,dance,lens,True,['dance'],['lens'],1,1,0.000807922,0.00040641706,0.00048161263,0.99788374,0.00042023166,0.025948925,7,5
3,RANDOM,3,RANDOM,dance,mark,True,['dance'],['mark'],1,1,0.0007345492,0.00035054478,0.0005175748,0.99799275,0.00040466952,0.024774816,7,30
3,RANDOM,3,RANDOM,dance,transport,True,['dance'],['transport'],1,1,0.00084250164,0.00039622042,0.0005150021,0.9978104,0.00043580818,0.026728583,7,11
3,RANDOM,3,RANDOM,dance,unknown,True,['dance'],['unknown'],1,1,0.0010553411,0.00047330494,0.0006404805,0.99738663,0.00044419972,0.031169599,7,8
4,SYN,0,ANT,copy,original,False,['copy'],['original'],1,1,0.20624521,0.08780266,0.006122889,0.0046084914,0.6952207,1.2232839,8,6
3,RANDOM,3,RANDOM,copy,busy,True,['copy'],['busy'],1,1,0.00087111996,0.00036075906,0.00047728882,0.9978886,0.0004022229,0.02582635,8,6
3,RANDOM,3,RANDOM,copy,cattle,True,['copy'],['cattle'],1,1,0.0007675888,0.00041127368,0.0005376868,0.99783856,0.00044491622,0.026476875,8,1
3,RANDOM,3,RANDOM,copy,generous,True,['copy'],['generous'],1,1,0.0007881606,0.000316261,0.00043317262,0.99809927,0.0003630772,0.023530627,8,3
3,RANDOM,3,RANDOM,copy,hand,True,['copy'],['hand'],1,1,0.0010572228,0.00062565366,0.0015259678,0.9960906,0.00070063304,0.04435767,8,16
0,ANT,3,RANDOM,copy,join,False,['copy'],['join'],1,1,0.73060375,0.043839514,0.0041819704,0.012762276,0.2086126,1.1136718,8,7
3,RANDOM,3,RANDOM,copy,joint,True,['copy'],['joint'],1,1,0.0007966483,0.00032776673,0.00045023402,0.99802905,0.0003962972,0.024318976,8,13
3,RANDOM,3,RANDOM,copy,nose,True,['copy'],['nose'],1,1,0.00068169745,0.00042708302,0.0006728783,0.9977342,0.0004841061,0.027637526,8,14
3,RANDOM,3,RANDOM,copy,rent,True,['copy'],['rent'],1,1,0.0018815922,0.00038829033,0.0005081767,0.9965681,0.0006538816,0.038855746,8,9
3,RANDOM,3,RANDOM,copy,south,True,['copy'],['south'],1,1,0.00086117355,0.0003610284,0.00048524077,0.99789196,0.00040060608,0.025797656,8,7
1,HYPER,1,HYPER,dollar,coin,True,['dollar'],['coin'],1,1,0.011719477,0.73653543,0.09055942,0.0031175453,0.15806817,1.1605415,4,3
1,HYPER,1,HYPER,dollar,money,True,['dollar'],['money'],1,1,0.0070331874,0.684457,0.22713105,0.004164926,0.07721379,1.2286114,4,3
3,RANDOM,3,RANDOM,dollar,air,True,['dollar'],['air'],1,1,0.00081149436,0.0004561899,0.0005479471,0.99773216,0.00045216866,0.027622811,4,15
3,RANDOM,3,RANDOM,dollar,build,True,['dollar'],['build'],1,1,0.000642808,0.00036523998,0.00064913684,0.9979347,0.00040819458,0.025432693,4,12
3,RANDOM,3,RANDOM,dollar,communism,True,['dollar'],['communism'],1,1,0.0008633583,0.00045796236,0.000651082,0.9975478,0.00047978465,0.029581737,4,2
3,RANDOM,3,RANDOM,dollar,dictionary,True,['dollar'],['dictionary'],1,1,0.00066217064,0.00039572496,0.00061756186,0.9978661,0.000458433,0.0262095,4,1
3,RANDOM,3,RANDOM,dollar,enjoy,True,['dollar'],['enjoy'],1,1,0.0009342909,0.00034141453,0.0005444312,0.9977938,0.0003861251,0.02679527,4,5
3,RANDOM,3,RANDOM,dollar,event,True,['dollar'],['event'],1,1,0.007982441,0.016652087,0.06829862,0.8989741,0.0080927,0.6128281,4,4
3,RANDOM,3,RANDOM,dollar,illness,True,['dollar'],['illness'],1,1,0.0008663708,0.00047138907,0.00053615874,0.9976291,0.00049703236,0.02871901,4,1
3,RANDOM,3,RANDOM,dollar,player,True,['dollar'],['player'],1,1,0.00086236506,0.00054382486,0.0009391914,0.9970799,0.0005747442,0.03451435,4,5
0,ANT,0,ANT,sleep,awake,True,['sleep'],['awake'],1,1,0.80487025,0.023020027,0.0028942102,0.0036163593,0.16559912,0.86065555,6,3
0,ANT,0,ANT,sleep,awaken,True,['sleep'],"['awake', '##n']",1,2,0.76596045,0.028852504,0.0030432749,0.0035986102,0.19854522,0.95997405,6,3
0,ANT,0,ANT,sleep,wake,True,['sleep'],['wake'],1,1,0.7320068,0.027615353,0.0031160528,0.0042409766,0.23302089,1.0215133,6,9
0,ANT,1,HYPER,sleep,relax,False,['sleep'],['relax'],1,1,0.8563151,0.025631709,0.0025523356,0.0034694239,0.11203145,0.7312517,6,8
3,RANDOM,2,PART_OF,sleep,life,False,['sleep'],['life'],1,1,0.008831977,0.0015345583,0.0030768535,0.98468184,0.0018746824,0.13919249,6,14
3,RANDOM,3,RANDOM,sleep,brave,True,['sleep'],['brave'],1,1,0.00089818897,0.0004283943,0.0004627645,0.9977927,0.0004179513,0.026881902,6,6
3,RANDOM,3,RANDOM,sleep,profit,True,['sleep'],['profit'],1,1,0.0008634001,0.00039999132,0.00048106533,0.997834,0.00042158435,0.026452843,6,4
3,RANDOM,3,RANDOM,sleep,fly,True,['sleep'],['fly'],1,1,0.0007684448,0.0004075777,0.0005261864,0.9978763,0.0004215051,0.02605763,6,20
3,RANDOM,3,RANDOM,sleep,hold,True,['sleep'],['hold'],1,1,0.0008682967,0.00032380823,0.0004337852,0.99801195,0.0003622039,0.024435258,6,45
3,RANDOM,3,RANDOM,sleep,love,True,['sleep'],['love'],1,1,0.0011721723,0.00043539124,0.00046744218,0.99748635,0.00043865253,0.029960439,6,10
