pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,Antonym,HasA,HasProperty,IsA,MadeOf,PartOf,Synonym,entropy,nsynsests_source,nsynsests_target
1,HasA,1,HasA,lobby,wall,True,['lobby'],['wall'],1,1,0.109286524,0.80842113,0.002873436,0.021626394,0.04410789,0.010461906,0.0032227244,1.0350707,4,9
3,IsA,3,IsA,call,order,True,['call'],['order'],1,1,0.027292157,0.00056937395,0.00087359885,0.74384445,0.0006940805,0.0023170507,0.22440937,0.98571926,41,24
6,Synonym,3,IsA,keep,store,False,['keep'],['store'],1,1,0.0053054113,0.00059755874,0.00018101365,0.00613842,0.00029091528,0.0007997394,0.98668694,0.12457746,25,6
6,Synonym,6,Synonym,see,view,True,['see'],['view'],1,1,0.00075931347,0.00025435246,0.0008918255,0.038481556,0.00031423706,0.0007524354,0.95854634,0.27080408,25,13
6,Synonym,0,Antonym,brake,pedal,False,['brake'],['pedal'],1,1,0.015131915,0.027010836,0.00045605085,0.070718214,0.0016816725,0.0016613126,0.88333994,0.69647676,7,5
3,IsA,3,IsA,lake,place,True,['lake'],['place'],1,1,0.00021932158,0.0002062018,0.0009403609,0.9976653,0.00027887584,0.00021355477,0.00047631928,0.029163005,3,32
0,Antonym,0,Antonym,boy,female,True,['boy'],['female'],1,1,0.9978725,0.00017091792,0.0006595329,0.00048517878,0.00021778166,0.00022262326,0.00037154707,0.0270993,4,5
1,HasA,0,Antonym,hill,crater,False,['hill'],['crater'],1,1,0.15930194,0.8189919,0.0012680349,0.0023493944,0.0015129468,0.009868363,0.0067074243,0.81918585,6,3
6,Synonym,3,IsA,box,hit,False,['box'],['hit'],1,1,0.0012028407,0.00038073532,0.00046578256,0.12849145,0.0002995658,0.00038611266,0.8687735,0.5857146,13,24
0,Antonym,0,Antonym,slip,balance,True,['slip'],['balance'],1,1,0.93169034,0.00075125863,0.0004740117,0.028608356,0.0007842353,0.0017445368,0.035947364,0.4513731,26,16
3,IsA,5,PartOf,rapid,river,False,['rapid'],['river'],1,1,0.0031423501,0.00074726954,0.001635489,0.6616418,0.0012125103,0.20309213,0.12852846,1.3025227,3,1
3,IsA,3,IsA,level,tool,True,['level'],['tool'],1,1,0.00064419117,0.00013099989,0.0025974377,0.99464536,0.0006605586,0.00020212657,0.001119342,0.058962952,19,8
6,Synonym,6,Synonym,rest,relax,True,['rest'],['relax'],1,1,0.00059451594,0.00021847077,0.00057136157,0.0071452563,0.00021329983,0.0006913278,0.9905657,0.0895253,18,8
2,HasProperty,2,HasProperty,copulate,fun,True,"['cop', '##ulate']",['fun'],2,1,0.0006069488,0.00061694445,0.97771466,0.019508693,0.00062669313,0.00027848937,0.00064760784,0.17247543,1,4
3,IsA,3,IsA,conflict,state,True,['conflict'],['state'],1,1,0.009655737,0.0015076927,0.0015018127,0.7820167,0.0058960454,0.19786169,0.0015603176,0.89096475,9,11
2,HasProperty,2,HasProperty,dice,red,True,['dice'],['red'],1,1,0.00018592423,0.00012480089,0.9989034,0.00034234044,0.00014885161,7.091193e-05,0.0002237082,0.015027426,3,7
3,IsA,5,PartOf,law,theory,False,['law'],['theory'],1,1,0.17331353,0.0017779277,0.0016546431,0.8074003,0.010515727,0.002036373,0.003301579,0.8334807,7,3
3,IsA,6,Synonym,author,artist,False,['author'],['artist'],1,1,0.0007255396,0.00014881307,0.0023729538,0.956207,0.0005358126,0.0011297703,0.03888004,0.29095277,3,1
0,Antonym,0,Antonym,he,female,True,['he'],['female'],1,1,0.9982419,0.00020265713,0.0005666038,0.00026797544,0.00022728665,0.0002325588,0.00026106727,0.022976695,2,5
1,HasA,0,Antonym,paper,ink,False,['paper'],['ink'],1,1,0.20449524,0.74984485,0.008645357,0.0036639874,0.028486324,0.0018594171,0.003004823,1.0568871,9,5
0,Antonym,0,Antonym,hear,sight,True,['hear'],['sight'],1,1,0.99834096,0.00013778181,0.00036863374,0.00039495164,0.00029889293,0.00020431029,0.0002544633,0.021870602,5,9
2,HasProperty,2,HasProperty,love,important,True,['love'],['important'],1,1,7.652803e-05,0.00014005414,0.9988193,0.00060590083,0.00014637917,8.5649386e-05,0.00012626764,0.015675293,10,5
5,PartOf,5,PartOf,song,culture,True,['song'],['culture'],1,1,0.00018358168,0.00028434908,0.00022910886,0.00202818,0.0004259141,0.99650806,0.00034082794,0.04026563,6,8
