pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,Antonym,HasA,HasProperty,IsA,MadeOf,PartOf,Synonym,entropy,nsynsests_source,nsynsests_target
4,MadeOf,1,HasA,lobby,wall,False,['lobby'],['wall'],1,1,0.22992934,0.08078993,0.1707095,0.02144309,0.24662639,0.245645,0.0048568337,2.368036,4,9
0,Antonym,3,IsA,call,order,False,['call'],['order'],1,1,0.7520563,0.010167211,0.14574131,0.013674616,0.012654529,0.05759041,0.008115579,1.2393892,41,24
0,Antonym,3,IsA,keep,store,False,['keep'],['store'],1,1,0.6143163,0.056948494,0.192434,0.02089058,0.04969992,0.06224167,0.0034691063,1.7342988,25,6
0,Antonym,6,Synonym,see,view,False,['see'],['view'],1,1,0.808975,0.0217411,0.092408895,0.009205908,0.01730499,0.046498172,0.0038659715,1.0853578,25,13
0,Antonym,0,Antonym,brake,pedal,True,['brake'],['pedal'],1,1,0.70546037,0.023450624,0.16091713,0.010817166,0.045842182,0.04902533,0.0044870665,1.4289703,7,5
2,HasProperty,3,IsA,lake,place,False,['lake'],['place'],1,1,0.29347354,0.055827886,0.31875935,0.019346928,0.038326688,0.26978317,0.004482417,2.1126099,3,32
2,HasProperty,0,Antonym,boy,female,False,['boy'],['female'],1,1,0.2737486,0.02500863,0.5530501,0.029078234,0.027550563,0.0881905,0.0033732927,1.7451558,4,5
2,HasProperty,0,Antonym,hill,crater,False,['hill'],['crater'],1,1,0.22646254,0.11006683,0.3331785,0.032240395,0.21724342,0.07552229,0.005285972,2.3236365,6,3
2,HasProperty,3,IsA,box,hit,False,['box'],['hit'],1,1,0.15962845,0.040835384,0.59099853,0.022919467,0.09277475,0.08990539,0.0029381083,1.8396716,13,24
0,Antonym,0,Antonym,slip,balance,True,['slip'],['balance'],1,1,0.8579162,0.0060039195,0.08519057,0.009609171,0.019000562,0.019409828,0.0028697934,0.8443384,26,16
2,HasProperty,5,PartOf,rapid,river,False,['rapid'],['river'],1,1,0.28536835,0.015929967,0.58228517,0.031350907,0.04333454,0.037734587,0.0039964626,1.6287864,3,1
0,Antonym,3,IsA,level,tool,False,['level'],['tool'],1,1,0.5033057,0.031446308,0.31371257,0.014587019,0.07106308,0.06079977,0.0050856774,1.8245726,19,8
0,Antonym,6,Synonym,rest,relax,False,['rest'],['relax'],1,1,0.79629403,0.009154456,0.14459564,0.008161429,0.012311191,0.026290648,0.0031926082,1.0262731,18,8
2,HasProperty,2,HasProperty,copulate,fun,True,"['cop', '##ulate']",['fun'],2,1,0.15008898,0.003290165,0.81077695,0.008067688,0.014064281,0.010667828,0.0030442171,0.92110586,1,4
0,Antonym,3,IsA,conflict,state,False,['conflict'],['state'],1,1,0.8188204,0.0075600496,0.112763755,0.008789454,0.015139411,0.033026278,0.0039006236,0.9897301,9,11
2,HasProperty,2,HasProperty,dice,red,True,['dice'],['red'],1,1,0.19897729,0.010508337,0.70487535,0.013362225,0.04692109,0.021524819,0.0038308937,1.3284358,3,7
0,Antonym,5,PartOf,law,theory,False,['law'],['theory'],1,1,0.95372474,0.0026417936,0.014811653,0.0031967717,0.005196623,0.015912665,0.004515686,0.37399903,7,3
2,HasProperty,6,Synonym,author,artist,False,['author'],['artist'],1,1,0.25187916,0.01894885,0.43398356,0.018779226,0.037625972,0.2312003,0.0075828563,1.9597261,3,1
2,HasProperty,0,Antonym,he,female,False,['he'],['female'],1,1,0.28602216,0.030704722,0.481396,0.027738351,0.029271774,0.13999203,0.004875036,1.9056565,2,5
0,Antonym,0,Antonym,paper,ink,True,['paper'],['ink'],1,1,0.48404515,0.039985143,0.28765324,0.010585961,0.113967404,0.058873635,0.004889545,1.914144,9,5
2,HasProperty,0,Antonym,hear,sight,False,['hear'],['sight'],1,1,0.33321893,0.031386945,0.5559208,0.009422116,0.025611525,0.040865384,0.003574261,1.5723146,5,9
0,Antonym,2,HasProperty,love,important,False,['love'],['important'],1,1,0.55480313,0.008350596,0.3555095,0.017896596,0.00840848,0.04895602,0.0060757496,1.4792935,10,5
2,HasProperty,5,PartOf,song,culture,False,['song'],['culture'],1,1,0.25001952,0.024107486,0.50572944,0.008843126,0.03892985,0.16673656,0.005634012,1.8426207,6,8
2,HasProperty,3,IsA,club,weapon,False,['club'],['weapon'],1,1,0.10282433,0.010502977,0.7069391,0.0135847675,0.05969948,0.10231337,0.0041359984,1.4564377,11,2
2,HasProperty,3,IsA,heterosexual,person,False,['heterosexual'],['person'],1,1,0.2962732,0.0037797433,0.6390568,0.023891483,0.01603149,0.010652059,0.010315215,1.3253752,2,3
2,HasProperty,0,Antonym,fear,comfortable,False,['fear'],['comfortable'],1,1,0.29260632,0.004018109,0.6355953,0.02975886,0.012476742,0.016141616,0.009403089,1.3555312,8,5
0,Antonym,6,Synonym,mate,friendly,False,['mate'],['friendly'],1,1,0.50060123,0.012072899,0.40898016,0.01848924,0.014160672,0.040445127,0.005250758,1.5245662,13,5
0,Antonym,5,PartOf,head,hammer,False,['head'],['hammer'],1,1,0.546007,0.024820913,0.2912709,0.015451685,0.056720782,0.061114896,0.004613863,1.737377,42,10
0,Antonym,5,PartOf,head,table,False,['head'],['table'],1,1,0.43879342,0.05825709,0.23671092,0.017446874,0.10871475,0.13608186,0.003994974,2.1258104,42,8
0,Antonym,0,Antonym,lose,tight,True,['lose'],['tight'],1,1,0.9134467,0.0024391564,0.052880634,0.013027369,0.003631209,0.01092413,0.0036508257,0.57650805,11,16
0,Antonym,5,PartOf,button,tv,False,['button'],['tv'],1,1,0.5069848,0.049248178,0.23700766,0.013917067,0.07006185,0.11856798,0.004212435,1.9555358,9,2
0,Antonym,1,HasA,house,basement,False,['house'],['basement'],1,1,0.35901272,0.06736838,0.3024089,0.016435679,0.14024769,0.111360155,0.0031665193,2.1883547,14,2
0,Antonym,1,HasA,envelope,letter,False,['envelope'],['letter'],1,1,0.4347779,0.05120149,0.29689208,0.0146879,0.12673174,0.07165918,0.0040498013,2.0339413,6,8
2,HasProperty,2,HasProperty,swim,relax,True,['swim'],['relax'],1,1,0.2832718,0.0069267247,0.6470348,0.011960178,0.018836997,0.029289119,0.0026804183,1.3279617,6,8
2,HasProperty,6,Synonym,affection,love,False,['affection'],['love'],1,1,0.30407104,0.0069702636,0.6439752,0.007781328,0.010271721,0.022246324,0.0046841945,1.2618073,1,10
0,Antonym,3,IsA,cloudy,weather,False,['cloudy'],['weather'],1,1,0.4698792,0.022263741,0.3962682,0.01635896,0.038518775,0.05358012,0.003130997,1.6937183,3,6
2,HasProperty,3,IsA,cookie,food,False,['cookie'],['food'],1,1,0.14996587,0.027565438,0.71139,0.0122501375,0.042611137,0.05328705,0.0029304244,1.4246744,3,3
0,Antonym,5,PartOf,face,body,False,['face'],['body'],1,1,0.60652333,0.051376767,0.17045207,0.01408287,0.035589878,0.11622993,0.0057450654,1.7541791,22,12
4,MadeOf,3,IsA,leaf,sheet,False,['leaf'],['sheet'],1,1,0.18525386,0.03644504,0.1983551,0.016721785,0.46614307,0.09326514,0.003816064,2.0495338,6,10
0,Antonym,2,HasProperty,human_body,water,False,"['human', '_', 'body']",['water'],3,1,0.47172996,0.040924918,0.35391307,0.013137094,0.06770619,0.04597634,0.00661237,1.8276576,1,10
0,Antonym,0,Antonym,door,hole,True,['door'],['hole'],1,1,0.64034015,0.05611722,0.17877275,0.013862901,0.048638947,0.05757329,0.004694706,1.660169,5,10
2,HasProperty,2,HasProperty,rock,solid,True,['rock'],['solid'],1,1,0.2527153,0.041208617,0.33226955,0.010473103,0.3234535,0.03539359,0.004486411,2.0204465,9,18
0,Antonym,3,IsA,fish,animal,False,['fish'],['animal'],1,1,0.4243782,0.06489501,0.31294793,0.014355656,0.089038506,0.08810577,0.0062788837,2.0586295,6,2
0,Antonym,4,MadeOf,statue,stone,False,['statue'],['stone'],1,1,0.4750364,0.06054244,0.284546,0.016027449,0.094152875,0.0648458,0.0048491266,1.9807899,1,16
0,Antonym,0,Antonym,dark,light,True,['dark'],['light'],1,1,0.7177146,0.03601506,0.16299495,0.011780822,0.028749002,0.03743898,0.0053064832,1.382946,16,47
0,Antonym,6,Synonym,bend,bow,False,['bend'],['bow'],1,1,0.8310197,0.021041246,0.07111883,0.010012746,0.025532063,0.03684621,0.0044291257,1.022067,12,14
0,Antonym,3,IsA,burn,destroy,False,['burn'],['destroy'],1,1,0.52437204,0.01874603,0.37777448,0.010049161,0.026505569,0.037355643,0.0051970687,1.5485804,20,4
0,Antonym,2,HasProperty,person,lazy,False,['person'],['lazy'],1,1,0.80012923,0.0061227335,0.1529622,0.00899775,0.009243086,0.019300729,0.0032442228,0.9771007,3,2
0,Antonym,2,HasProperty,sugar,sweet,False,['sugar'],['sweet'],1,1,0.77450866,0.019770943,0.1363754,0.010271146,0.023387939,0.031733256,0.0039526257,1.173502,4,16
2,HasProperty,1,HasA,fiddle,string,False,['fiddle'],['string'],1,1,0.22386478,0.04189593,0.49343103,0.021630693,0.15072794,0.06491106,0.0035385573,1.9940281,8,17
2,HasProperty,4,MadeOf,cloud,water_vapor,False,['cloud'],"['water', '_', 'vapor']",1,3,0.17449696,0.024696292,0.6721257,0.013938686,0.08281505,0.027413901,0.0045133764,1.5176165,14,1
0,Antonym,0,Antonym,keep,give,True,['keep'],['give'],1,1,0.5042937,0.009218702,0.42563164,0.009407009,0.029353825,0.01851654,0.0035786317,1.4333111,25,45
0,Antonym,0,Antonym,cold,hot,True,['cold'],['hot'],1,1,0.7648841,0.01796823,0.15037099,0.012808879,0.018690348,0.030471224,0.004806285,1.1892978,16,21
