pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,false,hypo,mero,sibl,entropy,nsynsests_source,nsynsests_target
3,sibl,3,sibl,parsley,rue,True,"['par', '##sley']",['rue'],2,1,1.8062037e-05,1.48297095e-05,1.1547693e-05,0.99995553,0.0007760371,2,5
3,sibl,0,false,mint,hystricomorpha,False,['mint'],"['h', '##yst', '##ric', '##omo', '##rp', '##ha']",1,6,2.6019856e-05,3.142847e-05,1.9360008e-05,0.9999232,0.0012802402,8,1
3,sibl,3,sibl,avocado,redbud,True,"['av', '##oca', '##do']","['red', '##bu', '##d']",3,3,1.7351746e-05,3.3874752e-05,1.8088393e-05,0.99993074,0.0011623244,3,1
3,sibl,0,false,mint,nicad,False,['mint'],"['nic', '##ad']",1,2,0.029308926,0.00019843674,0.0006005343,0.969892,0.20089935,8,1
3,sibl,0,false,entire,falchion,False,['entire'],"['fa', '##lch', '##ion']",1,3,0.00015844154,3.2007003e-05,4.1061998e-05,0.99976844,0.0034103338,5,1
3,sibl,3,sibl,macaw,cockatoo,True,"['mac', '##aw']","['cock', '##ato', '##o']",2,3,1.592825e-05,3.6523885e-05,1.9546062e-05,0.999928,0.0012018848,1,1
3,sibl,3,sibl,leek,annual,True,"['lee', '##k']",['annual'],2,1,1.5701624e-05,2.697186e-05,1.4249164e-05,0.999943,0.00097147515,2,4
3,sibl,3,sibl,flax,safflower,True,"['fl', '##ax']","['sa', '##ff', '##lowe', '##r']",2,4,1.523253e-05,1.4044901e-05,9.790027e-06,0.9999609,0.00068938825,2,1
3,sibl,3,sibl,osprey,thoroughbred,True,"['os', '##pre', '##y']",['thoroughbred'],3,1,1.9169063e-05,3.782859e-05,1.1399103e-05,0.9999316,0.0011420001,1,4
3,sibl,3,sibl,yucca,artemisia,True,"['yu', '##cca']","['artemis', '##ia']",2,2,1.4343852e-05,1.7154298e-05,1.21965e-05,0.99995625,0.0007644681,1,1
3,sibl,3,sibl,soapwort,dahlia,True,"['soap', '##wo', '##rt']","['dahl', '##ia']",3,2,1.5072587e-05,1.8194089e-05,1.0918729e-05,0.9999558,0.00077160547,1,1
3,sibl,0,false,barge,russell,False,['barge'],['russell'],1,1,0.001420593,0.000103963335,6.273604e-05,0.9984127,0.017977355,3,7
3,sibl,3,sibl,asparagus,corn,True,"['as', '##para', '##gus']",['corn'],3,1,1.5899574e-05,1.50054975e-05,1.1203199e-05,0.9999579,0.00073885336,2,9
3,sibl,0,false,refinery,yardie,False,['refinery'],"['yard', '##ie']",1,2,0.16522668,0.00036386712,0.000687975,0.8337215,0.6592949,1,1
3,sibl,1,hypo,wheatgrass,grass,False,"['wheat', '##grass']",['grass'],2,1,3.9305887e-05,2.6539346e-05,2.5434001e-05,0.9999087,0.0014985186,1,11
0,false,0,false,marten,defense,True,"['mart', '##en']",['defense'],2,1,0.81164914,0.0005743916,0.0020049799,0.18577158,0.71964496,1,12
3,sibl,0,false,crawfish,mantelet,False,"['cr', '##aw', '##fish']","['man', '##tel', '##et']",3,3,1.9456274e-05,1.7285256e-05,1.5120962e-05,0.99994814,0.0008948775,4,2
3,sibl,3,sibl,kookaburra,whippet,True,"['ko', '##oka', '##bu', '##rra']","['whip', '##pet']",4,2,1.4456517e-05,2.118461e-05,1.1875899e-05,0.99995244,0.0008241985,1,1
0,false,0,false,mint,coke,True,['mint'],['coke'],1,1,0.9175525,0.00019220923,0.0004800699,0.081775256,0.41695586,8,4
3,sibl,0,false,bullock,enamel,False,['bullock'],['enamel'],1,1,0.00035894194,3.2786957e-05,6.2357416e-05,0.9995459,0.006122139,2,5
3,sibl,0,false,serow,pyelogram,False,"['ser', '##ow']","['p', '##ye', '##logram']",2,3,1.6181153e-05,2.2230866e-05,1.4464825e-05,0.9999471,0.0009099772,1,1
3,sibl,1,hypo,barge,vessel,False,['barge'],['vessel'],1,1,0.0022271767,0.000401684,0.0010614382,0.9963097,0.03995526,3,3
3,sibl,3,sibl,senna,buckthorn,True,"['sen', '##na']","['buck', '##thor', '##n']",2,3,1.2894191e-05,1.346432e-05,1.066632e-05,0.9999629,0.0006568695,1,3
0,false,0,false,refinery,esophagoscope,True,['refinery'],"['es', '##op', '##ha', '##gos', '##cope']",1,5,0.99919945,5.2433574e-05,0.00017853027,0.00056959275,0.0102619715,1,1
3,sibl,0,false,parrot,knife,False,['parrot'],['knife'],1,1,0.003020626,0.00012957345,0.00013947161,0.9967103,0.03348331,3,4
3,sibl,0,false,dotterel,jerkin,False,"['dot', '##ter', '##el']","['jerk', '##in']",3,2,6.439467e-05,3.7464666e-05,4.061437e-05,0.99985754,0.002245405,1,1
3,sibl,3,sibl,chick,trout,True,['chick'],['trout'],1,1,2.5758975e-05,3.8124992e-05,1.699388e-05,0.99991906,0.0013382647,2,2
0,false,0,false,mint,crutch,True,['mint'],"['cr', '##ut', '##ch']",1,3,0.9958658,8.1361e-05,0.00016572936,0.003887123,0.04026321,8,2
3,sibl,3,sibl,rhubarb,dandelion,True,"['r', '##hu', '##bar', '##b']","['dan', '##del', '##ion']",4,3,1.1674275e-05,1.9294032e-05,1.2899307e-05,0.99995613,0.00076627464,2,1
3,sibl,2,mero,fish,fishbone,False,['fish'],"['fish', '##bone']",1,2,0.0004825123,3.0674953e-05,0.000120856406,0.999366,0.008263081,6,1
3,sibl,3,sibl,guppy,songbird,True,"['gu', '##ppy']","['song', '##bird']",2,2,2.9511408e-05,6.697438e-05,2.6578777e-05,0.999877,0.001954223,1,1
3,sibl,3,sibl,henbane,flax,True,"['hen', '##bane']","['fl', '##ax']",2,2,1.542401e-05,1.4832446e-05,1.09007315e-05,0.9999589,0.0007235038,1,2
0,false,0,false,refinery,photostat,True,['refinery'],"['photos', '##tat']",1,2,0.99984694,1.8543256e-05,2.4392253e-05,0.00011006121,0.002333207,1,3
3,sibl,3,sibl,wheat,flax,True,['wheat'],"['fl', '##ax']",1,2,2.384839e-05,1.9837946e-05,1.2280712e-05,0.999944,0.00095718785,3,2
3,sibl,3,sibl,caladium,hyacinth,True,"['cal', '##adi', '##um']","['h', '##ya', '##cin', '##th']",3,4,1.3355726e-05,1.4834793e-05,1.1166164e-05,0.99996066,0.00069466035,1,2
3,sibl,1,hypo,blackberry,plant,False,['blackberry'],['plant'],1,1,5.8379737e-05,0.00023643863,0.00018366663,0.9995215,0.0066388506,3,10
3,sibl,0,false,mint,bubblejet,False,['mint'],"['bubble', '##jet']",1,2,0.0007118034,3.978906e-05,7.3461866e-05,0.9991749,0.010223018,8,1
3,sibl,3,sibl,parsley,saxifrage,True,"['par', '##sley']","['sax', '##if', '##rage']",2,3,1.2336931e-05,1.5919e-05,1.2351022e-05,0.99995935,0.0007148478,2,1
3,sibl,0,false,mint,waistcloth,False,['mint'],"['waist', '##cloth']",1,2,0.029747514,0.00012486477,0.0008350765,0.9692926,0.20462492,8,1
0,false,0,false,refinery,dravidian,True,['refinery'],"['dr', '##avi', '##dian']",1,3,0.9733181,0.0002486232,0.0005107439,0.025922531,0.18314032,1,2
