pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,false,hypo,mero,sibl,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8
3,sibl,coordinated,3,sibl,coordinated,parsley,rue,True,"['par', '##sley']",['rue'],2,1,3.512096e-07,9.66072e-05,9.4298985e-06,0.99989367,0.0016068559,2,5,coordinated,minor,part,random,combined,and,",",coordination
0,false,random,0,false,random,mint,hystricomorpha,True,['mint'],"['h', '##yst', '##ric', '##omo', '##rp', '##ha']",1,6,0.99933714,0.0002998204,0.00016966951,0.00019333839,0.008975218,8,1,random,minor,coordinated,part,randomly,the,miscellaneous,unknown
3,sibl,coordinated,3,sibl,coordinated,avocado,redbud,True,"['av', '##oca', '##do']","['red', '##bu', '##d']",3,3,2.1164878e-06,0.00022922983,3.3318138e-05,0.9997354,0.0036887114,3,1,coordinated,minor,part,random,and,combined,",",-
0,false,random,0,false,random,mint,nicad,True,['mint'],"['nic', '##ad']",1,2,0.9994923,0.00021313838,0.00013701063,0.00015751984,0.007079842,8,1,random,minor,coordinated,part,randomly,the,new,in
0,false,random,0,false,random,entire,falchion,True,['entire'],"['fa', '##lch', '##ion']",1,3,0.98925716,0.002982127,0.005550844,0.002209713,0.101520136,5,1,random,part,minor,coordinated,the,in,.,on
3,sibl,coordinated,3,sibl,coordinated,macaw,cockatoo,True,"['mac', '##aw']","['cock', '##ato', '##o']",2,3,1.8621618e-05,0.0007970739,8.86864e-05,0.9990957,0.010994747,1,1,coordinated,minor,part,random,and,",",combined,mixed
3,sibl,coordinated,3,sibl,coordinated,leek,annual,True,"['lee', '##k']",['annual'],2,1,8.8985115e-07,0.00016537716,1.17538075e-05,0.99982196,0.0025446657,2,4,coordinated,minor,part,random,and,combined,",",coordination
3,sibl,coordinated,3,sibl,coordinated,flax,safflower,True,"['fl', '##ax']","['sa', '##ff', '##lowe', '##r']",2,4,4.856134e-07,9.385929e-05,7.551604e-06,0.9998982,0.0015414682,2,1,coordinated,minor,part,random,combined,coordination,and,","
3,sibl,coordinated,3,sibl,coordinated,osprey,thoroughbred,True,"['os', '##pre', '##y']",['thoroughbred'],3,1,4.356963e-05,0.00452609,8.8751185e-05,0.99534166,0.04377781,1,4,coordinated,minor,part,random,mixed,combined,",",and
3,sibl,coordinated,3,sibl,coordinated,yucca,artemisia,True,"['yu', '##cca']","['artemis', '##ia']",2,2,5.50825e-07,0.00012808398,9.27939e-06,0.9998621,0.002021757,1,1,coordinated,minor,part,random,combined,and,coordination,","
3,sibl,coordinated,3,sibl,coordinated,soapwort,dahlia,True,"['soap', '##wo', '##rt']","['dahl', '##ia']",3,2,7.679714e-07,0.00014258306,1.1876568e-05,0.9998448,0.0022554502,1,1,coordinated,minor,part,random,combined,coordination,",",mixed
0,false,random,0,false,random,barge,russell,True,['barge'],['russell'],1,1,0.9940258,0.0013017757,0.0026745626,0.0019977882,0.061843973,3,7,random,part,coordinated,minor,the,.,round,night
3,sibl,coordinated,3,sibl,coordinated,asparagus,corn,True,"['as', '##para', '##gus']",['corn'],3,1,5.5452495e-07,0.00018796802,2.01714e-05,0.9997913,0.002953691,2,9,coordinated,minor,part,random,and,coordination,combined,","
0,false,random,0,false,random,refinery,yardie,True,['refinery'],"['yard', '##ie']",1,2,0.9935946,0.00096153765,0.0011157139,0.0043281023,0.06377548,1,1,random,coordinated,part,minor,the,.,a,randomly
1,hypo,minor,1,hypo,minor,wheatgrass,grass,True,"['wheat', '##grass']",['grass'],2,1,5.711006e-07,0.9999652,7.5348157e-06,2.6646223e-05,0.00059511233,1,11,minor,coordinated,part,major,small,random,low,lesser
0,false,random,0,false,random,marten,defense,True,"['mart', '##en']",['defense'],2,1,0.9844179,0.0026593087,0.0048034196,0.008119283,0.13843215,1,12,random,coordinated,part,minor,the,wild,.,on
0,false,random,0,false,random,crawfish,mantelet,True,"['cr', '##aw', '##fish']","['man', '##tel', '##et']",3,3,0.995067,0.0010115822,0.0023719633,0.0015494257,0.05230887,4,2,random,part,coordinated,minor,the,on,.,round
3,sibl,coordinated,3,sibl,coordinated,kookaburra,whippet,True,"['ko', '##oka', '##bu', '##rra']","['whip', '##pet']",4,2,1.2634018e-05,0.0006964856,4.5911835e-05,0.99924505,0.009260612,1,1,coordinated,minor,part,random,and,",",combined,mixed
0,false,random,0,false,random,mint,coke,True,['mint'],['coke'],1,1,0.99733245,0.00029837008,0.00036274135,0.0020064556,0.02946322,8,4,random,coordinated,part,minor,randomly,the,.,new
0,false,random,0,false,random,bullock,enamel,True,['bullock'],['enamel'],1,1,0.99333936,0.001299441,0.002413978,0.0029471568,0.067799196,2,5,random,coordinated,part,minor,the,.,randomly,in
