pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,false,hypo,mero,sibl,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8
3,sibl,coordinated,3,sibl,coordinated,parsley,rue,True,"['par', '##sley']",['rue'],2,1,1.0193929e-08,2.3954322e-05,2.8134815e-07,0.9999758,0.0004089885,2,5,coordinated,minor,part,",",and,coordination,or,pedal
0,false,random,0,false,random,mint,hystricomorpha,True,['mint'],"['h', '##yst', '##ric', '##omo', '##rp', '##ha']",1,6,0.9999937,1.9640543e-06,3.6788634e-08,4.4310186e-06,0.0001262305,8,1,random,coordinated,minor,part,the,young,first,london
3,sibl,coordinated,3,sibl,coordinated,avocado,redbud,True,"['av', '##oca', '##do']","['red', '##bu', '##d']",3,3,8.760947e-09,1.137247e-05,5.458775e-07,0.9999881,0.00021557213,3,1,coordinated,minor,part,",",and,or,wild,coordination
0,false,random,0,false,random,mint,nicad,True,['mint'],"['nic', '##ad']",1,2,1.0,2.3908216e-08,1.0387227e-09,2.6236862e-08,1.297049e-06,8,1,random,coordinated,minor,part,mint,card,arc,the
0,false,random,0,false,random,entire,falchion,True,['entire'],"['fa', '##lch', '##ion']",1,3,0.999997,1.2502286e-06,1.6934234e-06,7.7116255e-08,6.310358e-05,5,1,random,part,minor,coordinated,human,regular,sample,computer
3,sibl,coordinated,3,sibl,coordinated,macaw,cockatoo,True,"['mac', '##aw']","['cock', '##ato', '##o']",2,3,1.4483971e-06,0.0003304943,3.6340507e-06,0.9996644,0.0043993467,1,1,coordinated,minor,part,random,and,",",the,or
3,sibl,coordinated,3,sibl,coordinated,leek,annual,True,"['lee', '##k']",['annual'],2,1,1.8373392e-08,1.2824746e-05,1.5451003e-07,0.999987,0.00023112529,2,4,coordinated,minor,part,coordination,",",random,wild,spring
3,sibl,coordinated,3,sibl,coordinated,flax,safflower,True,"['fl', '##ax']","['sa', '##ff', '##lowe', '##r']",2,4,5.074094e-09,4.2534575e-06,1.2343874e-07,0.9999956,8.514421e-05,2,1,coordinated,minor,and,part,",",or,coordination,coordinate
3,sibl,coordinated,3,sibl,coordinated,osprey,thoroughbred,True,"['os', '##pre', '##y']",['thoroughbred'],3,1,3.1912346e-06,0.0006094178,1.2997086e-06,0.9993861,0.007477784,1,4,coordinated,minor,random,part,and,human,the,turkey
3,sibl,coordinated,3,sibl,coordinated,yucca,artemisia,True,"['yu', '##cca']","['artemis', '##ia']",2,2,4.844698e-09,1.026963e-05,1.7784735e-07,0.9999895,0.00018935076,1,1,coordinated,minor,part,",",and,or,coordination,wild
