pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,false,hypo,mero,sibl,entropy,nsynsests_source,nsynsests_target
3,sibl,3,sibl,parsley,rue,True,"['par', '##sley']",['rue'],2,1,9.630275e-06,3.950616e-05,2.1971782e-05,0.99992883,0.001180933,2,5
0,false,0,false,mint,hystricomorpha,True,['mint'],"['h', '##yst', '##ric', '##omo', '##rp', '##ha']",1,6,0.9999547,2.7140695e-05,7.926561e-06,1.0262958e-05,0.00078144844,8,1
3,sibl,3,sibl,avocado,redbud,True,"['av', '##oca', '##do']","['red', '##bu', '##d']",3,3,9.373147e-06,3.269653e-05,2.5891492e-05,0.99993205,0.0011362944,3,1
0,false,0,false,mint,nicad,True,['mint'],"['nic', '##ad']",1,2,0.9999609,2.2065808e-05,9.491308e-06,7.546858e-06,0.0006844965,8,1
0,false,0,false,entire,falchion,True,['entire'],"['fa', '##lch', '##ion']",1,3,0.99996316,1.7004617e-05,1.23144555e-05,7.568895e-06,0.00065215613,5,1
3,sibl,3,sibl,macaw,cockatoo,True,"['mac', '##aw']","['cock', '##ato', '##o']",2,3,1.33730455e-05,5.320102e-05,1.580778e-05,0.9999176,0.0013428255,1,1
3,sibl,3,sibl,leek,annual,True,"['lee', '##k']",['annual'],2,1,1.2355409e-05,3.773169e-05,1.6952888e-05,0.999933,0.0011211954,2,4
3,sibl,3,sibl,flax,safflower,True,"['fl', '##ax']","['sa', '##ff', '##lowe', '##r']",2,4,1.3027533e-05,3.5550293e-05,2.2904473e-05,0.9999285,0.0011929871,2,1
3,sibl,3,sibl,osprey,thoroughbred,True,"['os', '##pre', '##y']",['thoroughbred'],3,1,1.1563746e-05,6.514419e-05,1.3869905e-05,0.9999094,0.0014500702,1,4
3,sibl,3,sibl,yucca,artemisia,True,"['yu', '##cca']","['artemis', '##ia']",2,2,1.0762971e-05,3.2383945e-05,2.184493e-05,0.99993503,0.0010925514,1,1
3,sibl,3,sibl,soapwort,dahlia,True,"['soap', '##wo', '##rt']","['dahl', '##ia']",3,2,1.1766993e-05,3.525111e-05,1.7804081e-05,0.99993515,0.0010885749,1,1
0,false,0,false,barge,russell,True,['barge'],['russell'],1,1,0.99994826,2.0416408e-05,1.4793214e-05,1.6555927e-05,0.0008930232,3,7
3,sibl,3,sibl,asparagus,corn,True,"['as', '##para', '##gus']",['corn'],3,1,1.0179691e-05,3.6815785e-05,3.8434682e-05,0.9999145,0.0013980415,2,9
0,false,0,false,refinery,yardie,True,['refinery'],"['yard', '##ie']",1,2,0.99996734,1.4154999e-05,1.1209503e-05,7.3165193e-06,0.00058429805,1,1
1,hypo,1,hypo,wheatgrass,grass,True,"['wheat', '##grass']",['grass'],2,1,4.0854127e-05,0.999741,0.00012892566,8.910674e-05,0.0038337533,1,11
0,false,0,false,marten,defense,True,"['mart', '##en']",['defense'],2,1,0.99995697,2.4308361e-05,9.965139e-06,8.7305625e-06,0.0007468906,1,12
0,false,0,false,crawfish,mantelet,True,"['cr', '##aw', '##fish']","['man', '##tel', '##et']",3,3,0.9999665,1.662794e-05,8.289803e-06,8.624191e-06,0.0005973321,4,2
3,sibl,3,sibl,kookaburra,whippet,True,"['ko', '##oka', '##bu', '##rra']","['whip', '##pet']",4,2,1.1824021e-05,4.1671276e-05,1.8342365e-05,0.9999281,0.0011920993,1,1
0,false,0,false,mint,coke,True,['mint'],['coke'],1,1,0.99996483,1.6454014e-05,8.27981e-06,1.0482514e-05,0.00062538567,8,4
0,false,0,false,bullock,enamel,True,['bullock'],['enamel'],1,1,0.9999628,1.879118e-05,8.709308e-06,9.666664e-06,0.0006560128,2,5
0,false,0,false,serow,pyelogram,True,"['ser', '##ow']","['p', '##ye', '##logram']",2,3,0.9999585,1.8470031e-05,6.869032e-06,1.6040354e-05,0.0007234116,1,1
1,hypo,1,hypo,barge,vessel,True,['barge'],['vessel'],1,1,3.8399674e-05,0.99975187,9.1733804e-05,0.000117983815,0.0036910553,3,3
3,sibl,3,sibl,senna,buckthorn,True,"['sen', '##na']","['buck', '##thor', '##n']",2,3,1.1957403e-05,3.4125314e-05,2.0771431e-05,0.9999331,0.0011214823,1,3
0,false,0,false,refinery,esophagoscope,True,['refinery'],"['es', '##op', '##ha', '##gos', '##cope']",1,5,0.99996376,1.570105e-05,1.259588e-05,7.8587545e-06,0.0006409617,1,1
0,false,0,false,parrot,knife,True,['parrot'],['knife'],1,1,0.9999646,1.6081776e-05,1.1578079e-05,7.769516e-06,0.00062890555,3,4
0,false,0,false,dotterel,jerkin,True,"['dot', '##ter', '##el']","['jerk', '##in']",3,2,0.99995685,1.4857389e-05,2.177317e-05,6.44872e-06,0.00074876955,1,1
3,sibl,3,sibl,chick,trout,True,['chick'],['trout'],1,1,1.23177515e-05,4.6247835e-05,6.259588e-05,0.9998789,0.0019156554,2,2
0,false,0,false,mint,crutch,True,['mint'],"['cr', '##ut', '##ch']",1,3,0.99996126,2.072589e-05,1.2503001e-05,5.5073865e-06,0.000678207,8,2
3,sibl,3,sibl,rhubarb,dandelion,True,"['r', '##hu', '##bar', '##b']","['dan', '##del', '##ion']",4,3,9.970281e-06,3.495513e-05,2.116112e-05,0.99993396,0.0011069959,2,1
2,mero,2,mero,fish,fishbone,True,['fish'],"['fish', '##bone']",1,2,0.0005243138,6.461747e-05,0.9993586,5.2587508e-05,0.008285677,6,1
3,sibl,3,sibl,guppy,songbird,True,"['gu', '##ppy']","['song', '##bird']",2,2,1.39139165e-05,6.0641203e-05,1.510556e-05,0.99991035,0.0014452522,1,1
3,sibl,3,sibl,henbane,flax,True,"['hen', '##bane']","['fl', '##ax']",2,2,1.3548239e-05,3.553064e-05,2.3125369e-05,0.99992776,0.0012045255,1,2
0,false,0,false,refinery,photostat,True,['refinery'],"['photos', '##tat']",1,2,0.9999676,1.4765917e-05,8.612809e-06,9.046794e-06,0.0005802153,1,3
3,sibl,3,sibl,wheat,flax,True,['wheat'],"['fl', '##ax']",1,2,1.2453195e-05,3.9287217e-05,3.5021807e-05,0.9999132,0.0014214619,3,2
3,sibl,3,sibl,caladium,hyacinth,True,"['cal', '##adi', '##um']","['h', '##ya', '##cin', '##th']",3,4,1.4098666e-05,4.7119775e-05,1.5693155e-05,0.9999231,0.0012658335,1,2
1,hypo,1,hypo,blackberry,plant,True,['blackberry'],['plant'],1,1,5.240821e-05,0.99977106,9.231171e-05,8.416274e-05,0.003451937,3,10
0,false,0,false,mint,bubblejet,True,['mint'],"['bubble', '##jet']",1,2,0.9999645,1.9867093e-05,8.445044e-06,7.1033132e-06,0.00062520406,8,1
3,sibl,3,sibl,parsley,saxifrage,True,"['par', '##sley']","['sax', '##if', '##rage']",2,3,1.0537477e-05,3.5654113e-05,2.2718856e-05,0.9999311,0.0011508956,2,1
0,false,0,false,mint,waistcloth,True,['mint'],"['waist', '##cloth']",1,2,0.99996436,1.8048266e-05,1.2337263e-05,5.3671156e-06,0.0006311378,8,1
0,false,0,false,refinery,dravidian,True,['refinery'],"['dr', '##avi', '##dian']",1,3,0.99995875,1.92343e-05,8.551007e-06,1.3439991e-05,0.0007222037,1,2
0,false,0,false,refinery,revetement,True,['refinery'],"['rev', '##ete', '##ment']",1,3,0.9999658,1.6839262e-05,9.308069e-06,8.069163e-06,0.000608482,1,1
2,mero,2,mero,vertebrate,belly,True,"['ve', '##rte', '##brate']",['belly'],3,1,0.00035938324,6.14797e-05,0.9995153,6.3814936e-05,0.006560624,2,6
0,false,0,false,refinery,loungewear,True,['refinery'],"['lounge', '##wear']",1,2,0.99996555,1.6078848e-05,1.0624481e-05,7.6997285e-06,0.00061199715,1,1
0,false,0,false,refinery,dihybrid,True,['refinery'],"['di', '##hy', '##bri', '##d']",1,4,0.9999647,1.6465032e-05,8.013816e-06,1.087995e-05,0.000627594,1,1
3,sibl,3,sibl,tulip,hydrillum,True,"['tu', '##lip']","['h', '##yd', '##rill', '##um']",2,4,1.3769067e-05,4.0243005e-05,1.7875089e-05,0.9999281,0.0011955522,1,0
0,false,0,false,refinery,bluestocking,True,['refinery'],"['blues', '##tock', '##ing']",1,3,0.999966,1.5565698e-05,8.278202e-06,1.0188364e-05,0.00060632365,1,1
3,sibl,3,sibl,peach,fig,True,['peach'],['fig'],1,1,1.3061078e-05,3.5973688e-05,4.3954908e-05,0.999907,0.001513303,5,4
0,false,0,false,refinery,shopper,True,['refinery'],"['shop', '##per']",1,2,0.99996495,1.4830259e-05,1.0517903e-05,9.779289e-06,0.0006253053,1,2
0,false,0,false,tadpole,omnibus,True,"['tad', '##pole']",['omnibus'],2,1,0.9999422,2.9846904e-05,5.9366853e-06,2.1996964e-05,0.00097548624,1,3
3,sibl,3,sibl,peppermint,oleander,True,"['pepper', '##min', '##t']","['ole', '##ander']",3,2,1.0623728e-05,3.4870925e-05,3.4983874e-05,0.99991953,0.0013258324,3,1
3,sibl,3,sibl,peanut,rush,True,['peanut'],['rush'],1,1,5.112872e-05,7.983775e-05,0.0007627812,0.9991062,0.011004226,5,16
0,false,0,false,refinery,weeder,True,['refinery'],"['weed', '##er']",1,2,0.9999651,1.3312955e-05,1.4127819e-05,7.3611977e-06,0.0006189806,1,2
3,sibl,3,sibl,mule,seal,True,['mule'],['seal'],1,1,9.273854e-06,4.5978024e-05,2.431065e-05,0.9999205,0.0013048701,2,15
3,sibl,3,sibl,mouse,rat,True,['mouse'],['rat'],1,1,6.3136645e-06,8.248101e-05,2.634442e-05,0.99988484,0.00179484,6,11
3,sibl,3,sibl,rice,sugarcane,True,['rice'],['sugarcane'],1,1,2.3109284e-05,5.738912e-05,0.000427994,0.99949145,0.006687168,5,2
3,sibl,3,sibl,reed,strawberry,True,['reed'],['strawberry'],1,1,1.2937863e-05,3.281079e-05,2.5205702e-05,0.9999291,0.0011861832,5,3
3,sibl,3,sibl,sisal,maguey,True,"['sis', '##al']","['mag', '##ue', '##y']",2,3,1.25782335e-05,3.3791523e-05,3.1037573e-05,0.99992263,0.0012830817,2,2
3,sibl,3,sibl,cardamom,buckwheat,True,"['card', '##amo', '##m']","['buck', '##w', '##hea', '##t']",3,4,1.11255395e-05,3.3541703e-05,3.063169e-05,0.99992466,0.0012495461,2,2
0,false,0,false,alewife,bakery,True,"['ale', '##wife']",['bakery'],2,1,0.99994206,3.1393654e-05,6.748311e-06,1.9742107e-05,0.000977571,2,1
0,false,0,false,louse,poky,True,"['lou', '##se']","['po', '##ky']",2,2,0.99994016,2.1776981e-05,6.7236947e-06,3.1400956e-05,0.0010088395,4,3
3,sibl,3,sibl,bat,pachyderm,True,['bat'],"['pac', '##hy', '##der', '##m']",1,4,1.556728e-05,9.332676e-05,1.3204273e-05,0.9998779,0.0018881478,10,1
3,sibl,3,sibl,cicada,cockroach,True,"['ci', '##ca', '##da']","['cock', '##ro', '##ach']",3,3,1.4111707e-05,5.0663697e-05,1.6440192e-05,0.9999188,0.0013286725,1,1
0,false,0,false,shadfly,jet,True,"['sha', '##df', '##ly']",['jet'],3,1,0.999542,0.00011539137,1.8583234e-05,0.0003241559,0.0062195784,1,9
3,sibl,3,sibl,tangerine,casuarina,True,"['tang', '##erine']","['cas', '##ua', '##rina']",2,3,9.757127e-06,3.258815e-05,4.1310635e-05,0.9999163,0.0013704832,4,1
3,sibl,3,sibl,oxali,glasswort,True,"['ox', '##ali']","['glass', '##wo', '##rt']",2,3,1.1639733e-05,3.0464433e-05,3.235341e-05,0.9999255,0.0012377987,0,2
0,false,0,false,songbird,coprolith,True,"['song', '##bird']","['cop', '##rol', '##ith']",2,3,0.9999589,2.3944052e-05,6.605546e-06,1.0589036e-05,0.0007155466,1,1
0,false,0,false,bicycle,rustler,True,['bicycle'],"['rust', '##ler']",1,2,0.99995494,1.2230403e-05,2.6001035e-05,6.7691785e-06,0.00077677995,2,1
3,sibl,3,sibl,protea,daphne,True,"['pro', '##tea']",['daphne'],2,1,1.2653321e-05,3.8956918e-05,2.1832311e-05,0.99992657,0.0012204737,1,2
1,hypo,1,hypo,bloodworm,polychaete,True,"['blood', '##worm']","['poly', '##cha', '##ete']",2,3,5.0646173e-05,0.99976736,7.827045e-05,0.0001036655,0.0034979733,1,1
1,hypo,1,hypo,casuarina,tree,True,"['cas', '##ua', '##rina']",['tree'],3,1,4.3365948e-05,0.9997677,7.401446e-05,0.00011492613,0.0034833997,1,7
0,false,0,false,refinery,godfather,True,['refinery'],['godfather'],1,1,0.9999589,1.4270456e-05,8.294737e-06,1.8453838e-05,0.00071907666,1,2
3,sibl,3,sibl,hen,mule,True,['hen'],['mule'],1,1,1.0486817e-05,4.551531e-05,3.0263516e-05,0.9999137,0.0014086855,4,2
1,hypo,1,hypo,beaver,vertebrate,True,['beaver'],"['ve', '##rte', '##brate']",1,3,6.4176085e-05,0.9997762,7.904725e-05,8.07455e-05,0.00339186,8,2
2,mero,2,mero,craniate,tail,True,"['cr', '##ania', '##te']",['tail'],3,1,0.00022560173,0.00012110061,0.999582,7.1245915e-05,0.0058930144,1,11
3,sibl,3,sibl,pet,homeotherm,True,['pet'],"['home', '##oth', '##er', '##m']",1,4,1.4046383e-05,6.210731e-05,1.4804743e-05,0.99990904,0.0014630997,7,1
0,false,0,false,selachian,trail,True,"['se', '##la', '##chia', '##n']",['trail'],4,1,0.9999429,3.143922e-05,7.950194e-06,1.7687109e-05,0.00096643646,1,8
0,false,0,false,refinery,bowerbird,True,['refinery'],"['bow', '##er', '##bird']",1,3,0.9999659,1.3912885e-05,1.05557265e-05,9.505859e-06,0.00060647505,1,1
1,hypo,1,hypo,nematode,animal,True,"['ne', '##mat', '##ode']",['animal'],3,1,4.63728e-05,0.99974006,5.60336e-05,0.00015760008,0.003824829,1,2
0,false,0,false,refinery,substitute,True,['refinery'],['substitute'],1,1,0.99996364,1.559578e-05,7.683899e-06,1.30720855e-05,0.0006441125,1,9
3,sibl,3,sibl,mullein,saxifrage,True,"['mu', '##lle', '##in']","['sax', '##if', '##rage']",3,3,1.090995e-05,4.0030132e-05,1.647757e-05,0.9999325,0.0011236893,1,1
0,false,0,false,mint,cristal,True,['mint'],"['cr', '##ista', '##l']",1,3,0.9999597,2.1202208e-05,8.301471e-06,1.075867e-05,0.0007049788,8,1
0,false,0,false,refinery,mimosa,True,['refinery'],"['mi', '##mos', '##a']",1,3,0.9999645,1.7214275e-05,8.252335e-06,1.0126874e-05,0.0006310584,1,3
3,sibl,3,sibl,cauliflower,radish,True,"['ca', '##uli', '##flower']","['ra', '##dis', '##h']",3,3,1.0719258e-05,4.0799583e-05,1.6652008e-05,0.9999318,0.0011345749,2,5
0,false,0,false,cyprinodont,fireguard,True,"['cy', '##pr', '##ino', '##don', '##t']","['fire', '##guard']",5,2,0.9999609,2.0685482e-05,1.151907e-05,6.8005756e-06,0.0006838401,1,2
0,false,0,false,apteryx,worktable,True,"['apt', '##ery', '##x']","['work', '##table']",3,2,0.999959,2.2547738e-05,9.019916e-06,9.385492e-06,0.0007149588,1,1
3,sibl,3,sibl,thoroughbred,rhea,True,['thoroughbred'],['rhea'],1,1,1.1533458e-05,5.9163056e-05,1.7074533e-05,0.99991226,0.0014171312,4,3
3,sibl,0,false,badger,sawbuck,False,['badger'],"['saw', '##buck']",1,2,5.5588625e-05,0.00010173541,2.0806054e-05,0.99982184,0.0027156367,4,1
3,sibl,3,sibl,rosemary,amaranth,True,['rosemary'],"['amara', '##nt', '##h']",1,3,1.04902265e-05,3.7340134e-05,2.0484995e-05,0.9999317,0.0011403454,2,2
0,false,0,false,invertebrate,defroster,True,"['in', '##vert', '##eb', '##rate']","['def', '##ros', '##ter']",4,3,0.9982014,1.9792631e-05,0.0017655649,1.3338511e-05,0.019265044,2,1
3,sibl,3,sibl,aster,stock,True,"['as', '##ter']",['stock'],2,1,1.282806e-05,4.936208e-05,1.7563016e-05,0.99992025,0.0013071424,2,27
3,sibl,3,sibl,lamb,spearmint,True,['lamb'],"['spear', '##min', '##t']",1,3,1.0805079e-05,3.970869e-05,3.4119177e-05,0.99991536,0.0013872088,6,1
1,hypo,1,hypo,warthog,swine,True,"['war', '##th', '##og']","['sw', '##ine']",3,2,3.790216e-05,0.998808,0.00015206402,0.0010020885,0.014187698,1,1
0,false,0,false,louse,smocking,True,"['lou', '##se']","['sm', '##ock', '##ing']",2,3,0.9999604,2.0096924e-05,6.3444004e-06,1.3104297e-05,0.00069266616,4,2
2,mero,0,false,panther,strobile,False,['panther'],"['st', '##ro', '##bil', '##e']",1,4,0.10315463,0.00015220756,0.8966359,5.7310637e-05,0.48192358,3,1
3,sibl,3,sibl,zebra,otter,True,['zebra'],['otter'],1,1,1.2612671e-05,4.772923e-05,2.374193e-05,0.99991596,0.0013763813,1,2
0,false,0,false,titmouse,crate,True,"['ti', '##tm', '##ouse']",['crate'],3,1,0.9999486,2.1242795e-05,5.550469e-06,2.4579243e-05,0.0008770492,1,3
3,sibl,3,sibl,mango,ash,True,['mango'],['ash'],1,1,1.5840973e-05,3.075844e-05,4.0030965e-05,0.99991333,0.001423361,2,4
3,sibl,3,sibl,plumbago,celery,True,"['plum', '##bag', '##o']","['ce', '##ler', '##y']",3,3,1.1651574e-05,2.9858737e-05,4.5244673e-05,0.9999132,0.0014179446,2,2
0,false,0,false,fish,stonework,True,['fish'],"['stone', '##work']",1,2,0.9999651,1.7949289e-05,7.731062e-06,9.228046e-06,0.0006189979,6,1
0,false,0,false,refinery,protoctist,True,['refinery'],"['proto', '##ct', '##ist']",1,3,0.9999573,2.2279188e-05,1.0587656e-05,9.735118e-06,0.0007428426,1,1
0,false,0,false,characin,commodity,True,"['char', '##ac', '##in']",['commodity'],3,1,0.7070115,0.004530426,0.00016076512,0.28829733,0.90825605,1,1
3,sibl,3,sibl,agapanthus,onion,True,"['ag', '##apa', '##nt', '##hus']",['onion'],4,1,1.1345912e-05,4.3516768e-05,1.8720773e-05,0.99992645,0.0012169778,1,3
0,false,0,false,mosquito,spackle,True,['mosquito'],"['spa', '##ckle']",1,2,0.99996185,2.0349524e-05,7.3774013e-06,1.0396514e-05,0.00066996,1,1
0,false,0,false,refinery,plughole,True,['refinery'],"['plug', '##hole']",1,2,0.9999654,1.4063219e-05,1.1602196e-05,8.958908e-06,0.000617159,1,1
0,false,0,false,refinery,bean,True,['refinery'],['bean'],1,1,0.9562918,0.0009950345,0.0015888206,0.04112445,0.27568638,1,5
3,sibl,3,sibl,pondweed,yarrow,True,"['pond', '##weed']","['ya', '##rrow']",2,2,1.1501625e-05,3.7657817e-05,1.975596e-05,0.9999311,0.0011502976,2,1
0,false,0,false,pedicab,sedum,True,"['pe', '##dic', '##ab']","['se', '##du', '##m']",3,3,0.9997949,8.80265e-05,3.785056e-05,7.910363e-05,0.003115418,1,1
3,sibl,3,sibl,gladiolus,yarrow,True,"['glad', '##iol', '##us']","['ya', '##rrow']",3,2,1.0074095e-05,3.7843685e-05,2.0248965e-05,0.9999318,0.0011372163,2,1
0,false,0,false,refinery,restharrow,True,['refinery'],"['rest', '##har', '##row']",1,3,0.999966,1.5328322e-05,9.089908e-06,9.5675605e-06,0.0006059222,1,2
0,false,0,false,mint,team,True,['mint'],['team'],1,1,0.9999517,3.0492149e-05,9.457654e-06,8.341497e-06,0.0008256508,8,3
3,sibl,3,sibl,neem,hickory,True,"['nee', '##m']",['hickory'],2,1,1.3899919e-05,3.443884e-05,2.5487258e-05,0.9999262,0.0012302311,1,2
2,mero,2,mero,car,accelerator,True,['car'],['accelerator'],1,1,0.00020940378,7.1391536e-05,0.9996544,6.484534e-05,0.0049432134,5,4
3,sibl,3,sibl,strawberry,banana,True,['strawberry'],['banana'],1,1,1.5399004e-05,8.9589885e-05,0.00094205874,0.998953,0.012430042,3,2
0,false,0,false,refinery,scope,True,['refinery'],['scope'],1,1,0.9999651,1.6204902e-05,8.215174e-06,1.0464547e-05,0.0006201701,1,4
1,hypo,1,hypo,sunflower,spermatophyte,True,"['sun', '##flower']","['sperm', '##ato', '##phy', '##te']",2,4,5.175788e-05,0.99977666,8.203281e-05,8.966486e-05,0.0033782872,1,1
0,false,0,false,orangutan,hesperus,True,"['or', '##ang', '##uta', '##n']","['he', '##sper', '##us']",4,3,0.9998221,4.9212515e-05,5.2178652e-06,0.00012350628,0.0026561557,1,1
0,false,0,false,refinery,woodscrew,True,['refinery'],"['woods', '##cre', '##w']",1,3,0.99996626,1.574279e-05,9.146146e-06,8.814329e-06,0.00060085935,1,1
1,hypo,1,hypo,neem,tree,True,"['nee', '##m']",['tree'],2,1,4.402271e-05,0.99976605,7.288791e-05,0.00011708619,0.0035056486,1,7
0,false,0,false,refinery,szilard,True,['refinery'],"['s', '##zi', '##lard']",1,3,0.99995077,1.1977919e-05,2.2513217e-05,1.4797301e-05,0.00085202017,1,1
3,sibl,3,sibl,lorikeet,cock,True,"['lori', '##kee', '##t']",['cock'],3,1,1.6683298e-05,5.7482033e-05,1.4550737e-05,0.9999113,0.0014362655,1,8
0,false,0,false,snake,cloisonne,True,['snake'],"['cl', '##ois', '##onne']",1,3,0.9999615,1.9049157e-05,1.0676064e-05,8.746803e-06,0.00067752734,8,2
3,sibl,3,sibl,manzanita,broom,True,"['man', '##zan', '##ita']",['broom'],3,1,1.40682905e-05,3.6817237e-05,1.993926e-05,0.9999292,0.0011825183,2,5
3,sibl,3,sibl,angelica,sesame,True,['angelica'],['sesame'],1,1,1.52995e-05,4.4512602e-05,5.3683332e-05,0.9998865,0.001813407,3,1
3,sibl,3,sibl,porcupine,vole,True,"['por', '##cup', '##ine']","['vol', '##e']",3,2,1.034813e-05,6.939608e-05,1.5947755e-05,0.9999043,0.0015222176,1,1
3,sibl,3,sibl,wheatgrass,perennial,True,"['wheat', '##grass']",['perennial'],2,1,1.0608715e-05,4.5708322e-05,2.3109285e-05,0.9999206,0.0013047338,1,4
0,false,0,false,refinery,wrapper,True,['refinery'],"['wrap', '##per']",1,2,0.999967,1.4824675e-05,1.122196e-05,6.988164e-06,0.00058966066,1,3
1,hypo,1,hypo,dugong,placental,True,"['dug', '##ong']","['place', '##ntal']",2,2,5.790612e-05,0.99977654,8.179852e-05,8.380223e-05,0.0033829568,1,2
0,false,0,false,coypu,maser,True,"['co', '##yp', '##u']","['mas', '##er']",3,2,0.9999547,2.0368698e-05,6.4067162e-06,1.8433306e-05,0.00078302645,1,1
0,false,0,false,caiman,dewlap,True,"['cai', '##man']","['dew', '##la', '##p']",2,3,0.9999639,1.6578178e-05,8.689737e-06,1.0890021e-05,0.000641011,1,1
0,false,0,false,dormouse,hybridoma,True,"['dorm', '##ouse']","['hybrid', '##oma']",2,2,0.99991155,2.6841994e-05,5.883159e-06,5.5751887e-05,0.0014252337,1,1
3,sibl,3,sibl,lotus,crocus,True,['lotus'],"['cr', '##oc', '##us']",1,3,1.0650807e-05,3.4558216e-05,2.1596936e-05,0.99993324,0.0011191451,3,1
3,sibl,3,sibl,walrus,glutton,True,"['wal', '##rus']","['g', '##lu', '##tton']",2,3,8.846996e-06,4.0453757e-05,2.263451e-05,0.9999281,0.0011918432,1,2
3,sibl,3,sibl,centipede,tick,True,"['cent', '##ipe', '##de']",['tick'],3,1,1.4853604e-05,7.1667804e-05,3.215601e-05,0.99988127,0.0018760919,1,8
0,false,0,false,snake,insulant,True,['snake'],"['ins', '##ula', '##nt']",1,3,0.9999554,2.292644e-05,8.696354e-06,1.30091985e-05,0.0007751852,8,1
3,sibl,3,sibl,balloon,tank,True,['balloon'],['tank'],1,1,1.0279383e-05,0.00010212377,3.4250133e-05,0.9998534,0.0022437968,4,8
0,false,0,false,woodchuck,seawall,True,"['wood', '##chu', '##ck']","['sea', '##wall']",3,2,0.99995184,2.2001077e-05,8.186074e-06,1.7898932e-05,0.000830303,1,1
3,sibl,3,sibl,ash,rattan,True,['ash'],"['rat', '##tan']",1,2,1.0264992e-05,3.5037352e-05,2.0295862e-05,0.99993443,0.0010996578,4,3
0,false,0,false,refinery,budgerygah,True,['refinery'],"['budge', '##ry', '##ga', '##h']",1,4,0.9999536,1.5809646e-05,9.015714e-06,2.1475706e-05,0.0008029911,1,1
