pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,false,hypo,mero,sibl,entropy,nsynsests_source,nsynsests_target
3,sibl,3,sibl,parsley,rue,True,"['Ġpars', 'ley']","['Ġr', 'ue']",2,2,3.7192476e-05,9.571583e-05,8.392236e-05,0.9997832,0.0032742387,2,5
3,sibl,0,false,mint,hystricomorpha,False,['Ġmint'],"['Ġhy', 'st', 'ric', 'om', 'or', 'pha']",1,6,3.9612725e-05,0.00026093936,9.713771e-05,0.9996024,0.0055540185,8,1
3,sibl,3,sibl,avocado,redbud,True,['Ġavocado'],"['Ġred', 'b', 'ud']",1,3,3.123108e-05,8.081488e-05,8.727812e-05,0.99980074,0.0030305767,3,1
3,sibl,0,false,mint,nicad,False,['Ġmint'],"['Ġnic', 'ad']",1,2,3.300665e-05,0.000106440035,9.0883535e-05,0.9997696,0.0034485268,8,1
3,sibl,0,false,entire,falchion,False,['Ġentire'],"['Ġfal', 'ch', 'ion']",1,3,4.1710613e-05,9.461363e-05,9.544577e-05,0.9997682,0.003480584,5,1
3,sibl,3,sibl,macaw,cockatoo,True,"['Ġmac', 'aw']","['Ġcock', 'at', 'oo']",2,3,2.991956e-05,0.00012335036,9.6711025e-05,0.99974996,0.0037016831,1,1
3,sibl,3,sibl,leek,annual,True,"['Ġle', 'ek']",['Ġannual'],2,1,5.4079996e-05,0.00011085252,7.781016e-05,0.99975723,0.0036353425,2,4
3,sibl,3,sibl,flax,safflower,True,"['Ġfl', 'ax']","['Ġsa', 'ff', 'lower']",2,3,2.8520915e-05,8.742552e-05,8.207066e-05,0.99980205,0.0030088797,2,1
3,sibl,3,sibl,osprey,thoroughbred,True,"['Ġo', 'sp', 'rey']","['Ġthorough', 'bred']",3,2,3.91059e-05,0.00022054426,0.00017181049,0.9995685,0.0060226438,1,4
3,sibl,3,sibl,yucca,artemisia,True,"['Ġy', 'u', 'cca']","['Ġart', 'emis', 'ia']",3,3,3.0719282e-05,9.690705e-05,7.535148e-05,0.99979705,0.003077348,1,1
3,sibl,3,sibl,soapwort,dahlia,True,"['Ġsoap', 'w', 'ort']","['Ġd', 'ahl', 'ia']",3,3,2.7683947e-05,9.5276046e-05,8.4259496e-05,0.99979275,0.0031312,1,1
3,sibl,0,false,barge,russell,False,"['Ġb', 'arge']","['Ġr', 'us', 'sell']",2,3,3.5460547e-05,0.00010629296,9.895204e-05,0.99975926,0.0035908015,3,7
3,sibl,3,sibl,asparagus,corn,True,"['Ġas', 'par', 'agus']",['Ġcorn'],3,1,3.2027274e-05,9.493858e-05,8.850396e-05,0.9997845,0.003249242,2,9
3,sibl,0,false,refinery,yardie,False,['Ġrefinery'],"['Ġyard', 'ie']",1,2,6.646206e-05,7.784748e-05,0.00016645802,0.9996892,0.004522603,1,1
3,sibl,1,hypo,wheatgrass,grass,False,"['Ġwheat', 'grass']",['Ġgrass'],2,1,2.838176e-05,0.00010549026,0.00010369357,0.9997625,0.0035373461,1,11
3,sibl,0,false,marten,defense,False,"['Ġmart', 'en']",['Ġdefense'],2,1,3.196264e-05,0.00010314431,0.00011289867,0.999752,0.0036814213,1,12
3,sibl,0,false,crawfish,mantelet,False,"['Ġcraw', 'fish']","['Ġm', 'ante', 'let']",2,3,2.9746256e-05,0.00011756931,8.878372e-05,0.9997639,0.003517608,4,2
3,sibl,3,sibl,kookaburra,whippet,True,"['Ġk', 'ook', 'ab', 'ur', 'ra']","['Ġwh', 'ipp', 'et']",5,3,2.9328936e-05,0.00014951588,0.00010392825,0.9997172,0.004124652,1,1
