pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,Ġrandom,2,random,Ġrandom,van,co-ordinate,True,['Ġvan'],"['Ġco', '-', 'ordinate']",1,3,6.9506386e-05,0.0030679957,0.99686253,0.031092484,5,5,Ġrandom,Ġsubclass,Ġcoordinated,random,Ġrandomly,ĠRandom
2,random,Ġrandom,1,hyper,Ġsubclass,phone,good,False,['Ġphone'],['Ġgood'],1,1,0.00036450024,0.29488352,0.7047519,0.8794516,4,27,Ġrandom,Ġsubclass,Ġcoordinated,Ġrandomly,Ġclass,random
1,hyper,Ġsubclass,1,hyper,Ġsubclass,orbital,circular,True,['Ġorbital'],['Ġcircular'],1,1,0.018627036,0.9748599,0.0065130633,0.19015,2,3,Ġsubclass,Ġcoordinated,Ġrandom,Ġclass,Ġor,Ġcoordinate
0,coord,Ġcoordinated,1,hyper,Ġsubclass,trumpet,horn,False,['Ġtrumpet'],['Ġhorn'],1,1,0.9999522,2.6820337e-05,2.0978414e-05,0.0008022854,4,12,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġsynchronized,Ġcoordination
0,coord,Ġcoordinated,0,coord,Ġcoordinated,dishwasher,telephone,True,"['Ġdish', 'washer']",['Ġtelephone'],2,1,0.9997528,0.00013229852,0.00011492541,0.003565115,2,3,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġsynchronized,Ġcoordination
1,hyper,Ġsubclass,1,hyper,Ġsubclass,evidence,argue,True,['Ġevidence'],['Ġargue'],1,1,0.0005321688,0.96929014,0.030177737,0.20181416,6,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġrandomly,Ġgroup
2,random,Ġrandom,2,random,Ġrandom,coconut,accumulate,True,['Ġcoconut'],['Ġaccumulate'],1,1,1.1733457e-05,0.0012090283,0.99877924,0.013670121,3,2,Ġrandom,Ġsubclass,Ġrandomly,Ġcoordinated,ĠRandom,Ġrandomized
2,random,Ġrandom,2,random,Ġrandom,coupling,fruit,True,['Ġcoupling'],['Ġfruit'],1,1,3.9660463e-05,0.0024568061,0.99750346,0.025475044,7,5,Ġrandom,Ġsubclass,Ġcoordinated,random,Ġrandomly,ĠRandom
0,coord,Ġcoordinated,0,coord,Ġcoordinated,hatchet,spear,True,"['Ġhat', 'chet']",['Ġspear'],2,1,0.99966395,0.00017914484,0.00015698477,0.0046984814,2,4,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġsynchronized,Ġcoordination
1,hyper,Ġsubclass,2,random,Ġrandom,hospital,place,False,['Ġhospital'],['Ġplace'],1,1,0.001061959,0.9085128,0.09042526,0.44976482,2,32,Ġsubclass,Ġrandom,Ġcoordinated,Ġother,Ġtype,Ġclass
1,hyper,Ġsubclass,1,hyper,Ġsubclass,hate,dislike,True,['Ġhate'],['Ġdislike'],1,1,0.00030655973,0.9985147,0.0011787193,0.017186498,2,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,",",Ġor
1,hyper,Ġsubclass,1,hyper,Ġsubclass,crystal,rock,True,['Ġcrystal'],['Ġrock'],1,1,0.00046533032,0.9753464,0.024188241,0.17015642,6,9,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġtype,Ġspecific
1,hyper,Ġsubclass,1,hyper,Ġsubclass,normative,appropriate,True,['Ġnormative'],['Ġappropriate'],1,1,0.0005907932,0.9952272,0.0041819764,0.046249807,2,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġor,","
1,hyper,Ġsubclass,2,random,Ġrandom,dress,uniform,False,['Ġdress'],['Ġuniform'],1,1,0.017411012,0.96734124,0.015247744,0.2401103,21,6,Ġsubclass,Ġcoordinated,Ġrandom,Ġclass,Ġcoordinate,Ġgroup
2,random,Ġrandom,2,random,Ġrandom,pine,hint,True,['Ġpine'],['Ġhint'],1,1,5.057858e-05,0.007662702,0.9922867,0.065659694,3,6,Ġrandom,Ġsubclass,Ġcoordinated,Ġrandomly,random,Ġclass
1,hyper,Ġsubclass,1,hyper,Ġsubclass,cut,free,True,['Ġcut'],['Ġfree'],1,1,0.00028422888,0.99536705,0.004348764,0.04413366,70,22,Ġsubclass,Ġrandom,Ġcoordinated,Ġor,Ġclass,Ġand
0,coord,Ġcoordinated,0,coord,Ġcoordinated,fridge,washer,True,['Ġfridge'],"['Ġwas', 'her']",1,2,0.9999366,3.567104e-05,2.7724947e-05,0.0010381545,1,3,Ġcoordinated,Ġsubclass,Ġrandom,Ġsynchronized,Ġcoordinate,Ġcoordination
0,coord,Ġcoordinated,0,coord,Ġcoordinated,grasshopper,cricket,True,"['Ġgrass', 'ho', 'pper']",['Ġcricket'],3,1,0.99992406,5.897757e-05,1.6928196e-05,0.0012063822,2,3,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġorganized,Ġsynchronized
0,coord,Ġcoordinated,0,coord,Ġcoordinated,donkey,bull,True,['Ġdonkey'],['Ġbull'],1,1,0.99992573,5.0377424e-05,2.3789533e-05,0.0011915918,2,15,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġcoordination,Ġsynchronized
0,coord,Ġcoordinated,0,coord,Ġcoordinated,cow,beaver,True,['Ġcow'],"['Ġbe', 'aver']",1,2,0.99996626,2.5778867e-05,8.001106e-06,0.00057709886,4,8,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġsynchronized,Ġcoordination
0,coord,Ġcoordinated,0,coord,Ġcoordinated,grenade,rifle,True,['Ġgrenade'],['Ġrifle'],1,1,0.99949014,0.00039704016,0.000112852314,0.006701175,1,3,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġsynchronized,Ġorganized
1,hyper,Ġsubclass,1,hyper,Ġsubclass,dog,animal,True,['Ġdog'],['Ġanimal'],1,1,8.701455e-05,0.90036154,0.09955146,0.46885815,8,2,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġother,Ġtype
0,coord,Ġcoordinated,0,coord,Ġcoordinated,box,case,True,['Ġbox'],['Ġcase'],1,1,0.8541385,0.13025542,0.015606064,0.67097145,13,22,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġor,Ġand
2,random,Ġrandom,1,hyper,Ġsubclass,foot,anatomy,False,['Ġfoot'],['Ġanatomy'],1,1,0.00022565533,0.4587869,0.54098743,0.9979527,14,3,Ġrandom,Ġsubclass,Ġcoordinated,Ġclass,Ġspecific,Ġtype
2,random,Ġrandom,2,random,Ġrandom,scarf,septicaemia,True,['Ġscarf'],"['Ġse', 'pt', 'ica', 'emia']",1,4,2.8758954e-05,0.0013582293,0.998613,0.015369246,5,1,Ġrandom,Ġsubclass,Ġcoordinated,Ġrandomly,random,ĠRandom
1,hyper,Ġsubclass,1,hyper,Ġsubclass,hospital,structure,True,['Ġhospital'],['Ġstructure'],1,1,0.0011388814,0.91656125,0.08229988,0.42286867,2,6,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġtype,Ġother
2,random,Ġrandom,2,random,Ġrandom,guitar,information,True,['Ġguitar'],['Ġinformation'],1,1,5.7509055e-06,0.0005346348,0.9994597,0.0066904416,1,5,Ġrandom,Ġsubclass,Ġrandomly,Ġcoordinated,ĠRandom,random
2,random,Ġrandom,2,random,Ġrandom,coyote,attempt,True,"['Ġcoy', 'ote']",['Ġattempt'],2,1,8.747468e-06,0.0006345144,0.9993568,0.0078146355,3,4,Ġrandom,Ġsubclass,Ġcoordinated,Ġrandomly,ĠRandom,Ġrandomized
2,random,Ġrandom,2,random,Ġrandom,desk,bracket,True,['Ġdesk'],['Ġbracket'],1,1,0.40660754,0.029508756,0.5638837,1.1439465,1,7,Ġrandom,Ġcoordinated,Ġsubclass,Ġcoordinate,Ġrandomly,Ġcoordination
1,hyper,Ġsubclass,1,hyper,Ġsubclass,penguin,creature,True,"['Ġpengu', 'in']",['Ġcreature'],2,1,5.623188e-05,0.9619027,0.03804105,0.2341091,1,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġtype,Ġother
0,coord,Ġcoordinated,0,coord,Ġcoordinated,spoon,hatchet,True,['Ġspoon'],"['Ġhat', 'chet']",1,2,0.99986494,5.02088e-05,8.489482e-05,0.0020600245,5,2,Ġcoordinated,Ġrandom,Ġsubclass,Ġsynchronized,Ġcoordination,Ġcoordinate
2,random,Ġrandom,2,random,Ġrandom,civilization,human,True,['Ġcivilization'],['Ġhuman'],1,1,0.00095289556,0.2321656,0.7668815,0.79234076,4,4,Ġrandom,Ġsubclass,Ġcoordinated,Ġrandomly,Ġclass,Ġspecific
2,random,Ġrandom,2,random,Ġrandom,clarinet,ideal,True,"['Ġclar', 'inet']",['Ġideal'],2,1,2.1864204e-05,0.00018827291,0.9997899,0.002971425,1,5,Ġrandom,Ġsubclass,Ġcoordinated,Ġrandomly,ĠRandom,Ġrandomized
1,hyper,Ġsubclass,1,hyper,Ġsubclass,educator,profession,True,['Ġeducator'],['Ġprofession'],1,1,4.0122017e-05,0.9849429,0.015017024,0.11310638,1,4,Ġsubclass,Ġrandom,Ġclass,Ġcoordinated,Ġother,Ġspecific
1,hyper,Ġsubclass,2,random,Ġrandom,invade,turn,False,['Ġinvade'],['Ġturn'],1,1,0.0006784267,0.9754985,0.023823127,0.1704946,4,38,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġcoordinate,Ġgroup
0,coord,Ġcoordinated,0,coord,Ġcoordinated,lion,panther,True,['Ġlion'],"['Ġpant', 'her']",1,2,0.9999068,7.267895e-05,2.0550542e-05,0.0014536633,4,3,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġsynchronized,Ġcoordinating
0,coord,Ġcoordinated,2,random,Ġrandom,cow,broccoli,False,['Ġcow'],['Ġbroccoli'],1,1,0.6952127,0.0013562035,0.30343106,0.8996113,4,2,Ġcoordinated,Ġrandom,Ġsubclass,Ġand,Ġcoordinate,Ġrandomly
0,coord,Ġcoordinated,0,coord,Ġcoordinated,radio,toaster,True,['Ġradio'],"['Ġto', 'aster']",1,2,0.9998542,8.359146e-05,6.223921e-05,0.002212268,5,2,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġsynchronized,Ġcoordination
