pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,Ġrandom,2,random,Ġrandom,van,co-ordinate,True,['Ġvan'],"['Ġco', '-', 'ordinate']",1,3,0.00023546917,6.110603e-05,0.99970335,0.004121127,5,5,Ġrandom,Ġcoordinated,Ġsubclass,Ġrandomly,random,ĠRandom
1,hyper,Ġsubclass,1,hyper,Ġsubclass,phone,good,True,['Ġphone'],['Ġgood'],1,1,0.00015898209,0.7882985,0.21154253,0.7466019,4,27,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġother,Ġnon
1,hyper,Ġsubclass,1,hyper,Ġsubclass,orbital,circular,True,['Ġorbital'],['Ġcircular'],1,1,9.982764e-05,0.99979323,0.00010701651,0.0030367088,2,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġgeneralized,Ġclass,Ġdistinct
0,coord,Ġcoordinated,1,hyper,Ġsubclass,trumpet,horn,False,['Ġtrumpet'],['Ġhorn'],1,1,0.99993455,6.2853964e-05,2.6527089e-06,0.0010210192,4,12,Ġcoordinated,Ġsubclass,Ġsynchronized,Ġcoordinate,Ġcoordination,Ġrandom
0,coord,Ġcoordinated,0,coord,Ġcoordinated,dishwasher,telephone,True,"['Ġdish', 'washer']",['Ġtelephone'],2,1,0.99999976,1.8106547e-08,2.8851423e-07,7.077575e-06,2,3,Ġcoordinated,Ġsynchronized,Ġcoordinate,Ġcoordinating,Ġrandom,Ġcoordination
1,hyper,Ġsubclass,1,hyper,Ġsubclass,evidence,argue,True,['Ġevidence'],['Ġargue'],1,1,4.391675e-05,0.9845573,0.015398782,0.11545852,6,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġselect,Ġrandomly
2,random,Ġrandom,2,random,Ġrandom,coconut,accumulate,True,['Ġcoconut'],['Ġaccumulate'],1,1,2.4447787e-05,3.8495564e-05,0.99993706,0.0010298779,3,2,Ġrandom,Ġsubclass,Ġrandomly,random,Ġcoordinated,ĠRandom
2,random,Ġrandom,2,random,Ġrandom,coupling,fruit,True,['Ġcoupling'],['Ġfruit'],1,1,1.4526032e-05,0.00014170489,0.9998437,0.0022704857,7,5,Ġrandom,Ġsubclass,Ġrandomly,Ġcoordinated,random,ĠRandom
0,coord,Ġcoordinated,0,coord,Ġcoordinated,hatchet,spear,True,"['Ġhat', 'chet']",['Ġspear'],2,1,0.99997544,2.3278088e-05,1.3242026e-06,0.00041955026,2,4,Ġcoordinated,Ġsubclass,Ġcoordination,Ġcoordinate,Ġsynchronized,Ġrandom
1,hyper,Ġsubclass,2,random,Ġrandom,hospital,place,False,['Ġhospital'],['Ġplace'],1,1,7.8335186e-05,0.99042434,0.009497324,0.07862242,2,32,Ġsubclass,Ġrandom,Ġcoordinated,Ġother,Ġtype,Ġclass
