pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,COORD,HYPER,RANDOM,entropy,nsynsests_source,nsynsests_target
2,RANDOM,2,RANDOM,van,co-ordinate,True,['Ġvan'],"['Ġco', '-', 'ordinate']",1,3,1.8786473e-05,0.0016274581,0.99835384,0.01774348,5,5
1,HYPER,1,HYPER,phone,good,True,['Ġphone'],['Ġgood'],1,1,7.29415e-05,0.92779875,0.072128356,0.37491626,4,27
1,HYPER,1,HYPER,orbital,circular,True,['Ġorbital'],['Ġcircular'],1,1,4.6320918e-05,0.9955094,0.004444351,0.041858267,2,3
0,COORD,1,HYPER,trumpet,horn,False,['Ġtrumpet'],['Ġhorn'],1,1,0.99955386,0.00041000504,3.6076057e-05,0.005789254,4,12
0,COORD,0,COORD,dishwasher,telephone,True,"['Ġdish', 'washer']",['Ġtelephone'],2,1,0.999835,0.00013878618,2.617964e-05,0.002414928,2,3
1,HYPER,1,HYPER,evidence,argue,True,['Ġevidence'],['Ġargue'],1,1,3.527116e-05,0.9929235,0.0070412774,0.061039653,6,3
2,RANDOM,2,RANDOM,coconut,accumulate,True,['Ġcoconut'],['Ġaccumulate'],1,1,2.2106236e-05,0.0010183305,0.99895954,0.0119639365,3,2
2,RANDOM,2,RANDOM,coupling,fruit,True,['Ġcoupling'],['Ġfruit'],1,1,1.1318017e-05,0.0012165874,0.9987721,0.013736534,7,5
0,COORD,0,COORD,hatchet,spear,True,"['Ġhat', 'chet']",['Ġspear'],2,1,0.9997726,0.0002006063,2.676866e-05,0.0031987277,2,4
1,HYPER,2,RANDOM,hospital,place,False,['Ġhospital'],['Ġplace'],1,1,3.126848e-05,0.98605055,0.013918151,0.106283404,2,32
1,HYPER,1,HYPER,hate,dislike,True,['Ġhate'],['Ġdislike'],1,1,6.0045346e-05,0.99600714,0.003932856,0.038015343,2,3
1,HYPER,1,HYPER,crystal,rock,True,['Ġcrystal'],['Ġrock'],1,1,5.1580097e-05,0.99556845,0.004379981,0.041430365,6,9
1,HYPER,1,HYPER,normative,appropriate,True,['Ġnormative'],['Ġappropriate'],1,1,4.529907e-05,0.99556386,0.0043908576,0.04142549,2,3
1,HYPER,2,RANDOM,dress,uniform,False,['Ġdress'],['Ġuniform'],1,1,0.00047028274,0.99564517,0.0038845867,0.04257545,21,6
2,RANDOM,2,RANDOM,pine,hint,True,['Ġpine'],['Ġhint'],1,1,1.8076431e-05,0.0011155349,0.99886644,0.01286048,3,6
1,HYPER,1,HYPER,cut,free,True,['Ġcut'],['Ġfree'],1,1,4.257585e-05,0.9952762,0.0046812235,0.043644562,70,22
0,COORD,0,COORD,fridge,washer,True,['Ġfridge'],"['Ġwas', 'her']",1,2,0.9998202,0.0001541795,2.5643192e-05,0.0026028892,1,3
0,COORD,0,COORD,grasshopper,cricket,True,"['Ġgrass', 'ho', 'pper']",['Ġcricket'],3,1,0.9997818,0.00019486748,2.3412425e-05,0.0030767028,2,3
0,COORD,0,COORD,donkey,bull,True,['Ġdonkey'],['Ġbull'],1,1,0.9998043,0.00017151178,2.4222829e-05,0.0027992073,2,15
0,COORD,0,COORD,cow,beaver,True,['Ġcow'],"['Ġbe', 'aver']",1,2,0.9998234,0.00015425253,2.2439595e-05,0.0025546995,4,8
0,COORD,0,COORD,grenade,rifle,True,['Ġgrenade'],['Ġrifle'],1,1,0.9996371,0.00032391885,3.8993992e-05,0.0048494344,1,3
1,HYPER,1,HYPER,dog,animal,True,['Ġdog'],['Ġanimal'],1,1,5.7274032e-05,0.9577812,0.042161517,0.25300255,8,2
0,COORD,0,COORD,box,case,True,['Ġbox'],['Ġcase'],1,1,0.998078,0.0016339575,0.00028808543,0.021284668,13,22
1,HYPER,1,HYPER,foot,anatomy,True,['Ġfoot'],['Ġanatomy'],1,1,2.7897595e-05,0.9880904,0.011881721,0.09348622,14,3
2,RANDOM,2,RANDOM,scarf,septicaemia,True,['Ġscarf'],"['Ġse', 'pt', 'ica', 'emia']",1,4,1.7643917e-05,0.0011752968,0.9988071,0.01343749,5,1
1,HYPER,1,HYPER,hospital,structure,True,['Ġhospital'],['Ġstructure'],1,1,3.3094242e-05,0.99112976,0.008837175,0.07352164,2,6
2,RANDOM,2,RANDOM,guitar,information,True,['Ġguitar'],['Ġinformation'],1,1,1.8871207e-05,0.0012827687,0.99869835,0.0144957565,1,5
2,RANDOM,2,RANDOM,coyote,attempt,True,"['Ġcoy', 'ote']",['Ġattempt'],2,1,2.8571661e-05,0.0011194604,0.998852,0.013060582,3,4
2,RANDOM,2,RANDOM,desk,bracket,True,['Ġdesk'],['Ġbracket'],1,1,2.057797e-05,0.0011870875,0.9987923,0.013598129,1,7
1,HYPER,1,HYPER,penguin,creature,True,"['Ġpengu', 'in']",['Ġcreature'],2,1,4.235218e-05,0.9754655,0.024492212,0.16664433,1,3
0,COORD,0,COORD,spoon,hatchet,True,['Ġspoon'],"['Ġhat', 'chet']",1,2,0.99980444,0.00016954548,2.5947806e-05,0.0028010472,5,2
2,RANDOM,2,RANDOM,civilization,human,True,['Ġcivilization'],['Ġhuman'],1,1,9.121412e-06,0.0015677736,0.9984231,0.017032957,4,4
2,RANDOM,2,RANDOM,clarinet,ideal,True,"['Ġclar', 'inet']",['Ġideal'],2,1,2.5012341e-05,0.0011256478,0.9988493,0.013067224,1,5
1,HYPER,1,HYPER,educator,profession,True,['Ġeducator'],['Ġprofession'],1,1,4.010252e-05,0.99429035,0.0056695817,0.05110895,1,4
2,RANDOM,2,RANDOM,invade,turn,True,['Ġinvade'],['Ġturn'],1,1,2.3192904e-05,0.00878501,0.9911918,0.07301661,4,38
0,COORD,0,COORD,lion,panther,True,['Ġlion'],"['Ġpant', 'her']",1,2,0.99981004,0.00016557073,2.4462266e-05,0.0027285519,4,3
2,RANDOM,2,RANDOM,cow,broccoli,True,['Ġcow'],['Ġbroccoli'],1,1,0.00073009345,0.000736729,0.9985331,0.01738874,4,2
0,COORD,0,COORD,radio,toaster,True,['Ġradio'],"['Ġto', 'aster']",1,2,0.99979895,0.00017270328,2.8392407e-05,0.0028775525,5,2
2,RANDOM,2,RANDOM,noise,creature,True,['Ġnoise'],['Ġcreature'],1,1,1.6699138e-05,0.0017868553,0.9981964,0.019175738,7,3
