pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,COORD,HYPER,RANDOM,entropy,nsynsests_source,nsynsests_target
2,RANDOM,2,RANDOM,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,0.00022249998,0.004728222,0.9950493,0.046347525,5,5
1,HYPER,1,HYPER,phone,good,True,['phone'],['good'],1,1,0.0035901875,0.6212574,0.3751524,0.9864337,4,27
1,HYPER,1,HYPER,orbital,circular,True,['orbital'],['circular'],1,1,0.004135266,0.99009997,0.0057647717,0.0898354,2,3
0,COORD,1,HYPER,trumpet,horn,False,['trumpet'],['horn'],1,1,0.99727494,0.0022558896,0.0004692935,0.028949307,4,12
0,COORD,0,COORD,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9983809,0.00092815235,0.00069091574,0.018937645,2,3
2,RANDOM,1,HYPER,evidence,argue,False,['evidence'],['argue'],1,1,0.0007450047,0.37446934,0.6247856,0.96235293,6,3
2,RANDOM,2,RANDOM,coconut,accumulate,True,['coconut'],['accumulate'],1,1,0.0002828769,0.0029009983,0.9968161,0.032373697,3,2
2,RANDOM,2,RANDOM,coupling,fruit,True,['coupling'],['fruit'],1,1,0.00034058423,0.006017439,0.99364203,0.057455264,7,5
0,COORD,0,COORD,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.99808156,0.0012889955,0.00062935334,0.021831179,2,4
1,HYPER,2,RANDOM,hospital,place,False,['hospital'],['place'],1,1,0.001276187,0.98297095,0.015752865,0.1309585,2,32
1,HYPER,1,HYPER,hate,dislike,True,['hate'],['dislike'],1,1,0.00405301,0.99046576,0.005481268,0.08706895,2,3
1,HYPER,1,HYPER,crystal,rock,True,['crystal'],['rock'],1,1,0.0018053862,0.9904373,0.00775732,0.084563754,6,9
1,HYPER,1,HYPER,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,0.0017958264,0.99010193,0.008102293,0.08687927,2,3
1,HYPER,2,RANDOM,dress,uniform,False,['dress'],['uniform'],1,1,0.0050580464,0.99076194,0.004180008,0.0848763,21,6
2,RANDOM,2,RANDOM,pine,hint,True,['pine'],['hint'],1,1,0.00020812618,0.00474299,0.9950488,0.0462865,3,6
1,HYPER,1,HYPER,cut,free,True,['cut'],['free'],1,1,0.0008032069,0.8443993,0.15479752,0.6309389,70,22
0,COORD,0,COORD,fridge,washer,True,['fridge'],"['wash', '##er']",1,2,0.9979772,0.0011472583,0.00087559014,0.023015058,1,3
0,COORD,0,COORD,grasshopper,cricket,True,"['grass', '##hopper']",['cricket'],2,1,0.99876875,0.00070276204,0.0005285343,0.014889907,2,3
0,COORD,0,COORD,donkey,bull,True,['donkey'],['bull'],1,1,0.998741,0.0005435806,0.00071546825,0.015186304,2,15
0,COORD,0,COORD,cow,beaver,True,['cow'],['beaver'],1,1,0.99874914,0.0005760307,0.00067487767,0.015111022,4,8
0,COORD,0,COORD,grenade,rifle,True,['grenade'],['rifle'],1,1,0.9984706,0.0010191345,0.000510278,0.01791399,1,3
1,HYPER,1,HYPER,dog,animal,True,['dog'],['animal'],1,1,0.0016138824,0.9673373,0.031048832,0.21684682,8,2
0,COORD,0,COORD,box,case,True,['box'],['case'],1,1,0.9941909,0.004634404,0.0011747243,0.055722937,13,22
1,HYPER,1,HYPER,foot,anatomy,True,['foot'],['anatomy'],1,1,0.00083934725,0.53573644,0.46342427,1.0051695,14,3
2,RANDOM,2,RANDOM,scarf,septicaemia,True,['scarf'],"['sept', '##ica', '##emia']",1,3,0.0016364966,0.0013613595,0.9970022,0.03242565,5,1
1,HYPER,1,HYPER,hospital,structure,True,['hospital'],['structure'],1,1,0.0012597947,0.9760453,0.02269488,0.17022498,2,6
2,RANDOM,2,RANDOM,guitar,information,True,['guitar'],['information'],1,1,0.00025917514,0.002848281,0.99689263,0.03164813,1,5
2,RANDOM,2,RANDOM,coyote,attempt,True,['coyote'],['attempt'],1,1,0.00030917328,0.0019284267,0.99776244,0.024220489,3,4
2,RANDOM,2,RANDOM,desk,bracket,True,['desk'],['bracket'],1,1,0.0002601609,0.0041150306,0.99562484,0.042007398,1,7
1,HYPER,1,HYPER,penguin,creature,True,['penguin'],['creature'],1,1,0.0018477874,0.9408773,0.057274915,0.3358148,1,3
0,COORD,0,COORD,spoon,hatchet,True,['spoon'],"['hatch', '##et']",1,2,0.99805045,0.0012781527,0.00067136576,0.022171719,5,2
2,RANDOM,2,RANDOM,civilization,human,True,['civilization'],['human'],1,1,0.0004665287,0.020282025,0.9792515,0.14884263,4,4
2,RANDOM,2,RANDOM,clarinet,ideal,True,['clarinet'],['ideal'],1,1,0.00031092472,0.0017883833,0.9979007,0.022970868,1,5
1,HYPER,1,HYPER,educator,profession,True,['educator'],['profession'],1,1,0.0015655927,0.9903985,0.008035904,0.08429962,1,4
1,HYPER,2,RANDOM,invade,turn,False,['invade'],['turn'],1,1,0.00095241214,0.9577246,0.041323047,0.25919962,4,38
0,COORD,0,COORD,lion,panther,True,['lion'],['panther'],1,1,0.9988167,0.00061013683,0.0005732181,0.014394427,4,3
0,COORD,2,RANDOM,cow,broccoli,False,['cow'],"['bro', '##cco', '##li']",1,3,0.97586185,0.001129863,0.023008365,0.17066595,4,2
0,COORD,0,COORD,radio,toaster,True,['radio'],"['toast', '##er']",1,2,0.99847907,0.0008066354,0.0007143443,0.01794707,5,2
2,RANDOM,2,RANDOM,noise,creature,True,['noise'],['creature'],1,1,0.0003744527,0.015816076,0.9838095,0.12204936,7,3
2,RANDOM,2,RANDOM,trout,invaluable,True,['trout'],"['in', '##val', '##ua', '##ble']",1,4,0.00032783303,0.0018438261,0.9978283,0.023671815,2,1
2,RANDOM,2,RANDOM,gorilla,participate,True,['gorilla'],['participate'],1,1,0.00026903138,0.0025493545,0.99718165,0.029215327,1,2
0,COORD,0,COORD,willow,cedar,True,['willow'],['cedar'],1,1,0.9985838,0.00088421954,0.0005319878,0.016796686,2,3
2,RANDOM,2,RANDOM,dishwasher,valour,True,"['dish', '##wash', '##er']","['val', '##our']",3,2,0.00031341228,0.005164428,0.9945221,0.05076426,2,1
2,RANDOM,2,RANDOM,cockroach,side,True,"['cock', '##ro', '##ach']",['side'],3,1,0.00033602415,0.002928991,0.9967349,0.03322874,1,14
1,HYPER,1,HYPER,emperor,ruler,True,['emperor'],['ruler'],1,1,0.004712421,0.9906673,0.004620342,0.085668646,4,2
1,HYPER,1,HYPER,roll,move,True,['roll'],['move'],1,1,0.0012627664,0.96798754,0.030749673,0.21206078,33,21
2,RANDOM,2,RANDOM,wing,shine,True,['wing'],['shine'],1,1,0.00032181875,0.02427677,0.9754014,0.16900913,12,11
2,RANDOM,2,RANDOM,contrast,rock,True,['contrast'],['rock'],1,1,0.00029090839,0.01194404,0.98776513,0.0972536,7,9
2,RANDOM,2,RANDOM,whisk,game,True,"['w', '##his', '##k']",['game'],3,1,0.00073656917,0.2670026,0.73226076,0.845528,6,14
1,HYPER,2,RANDOM,falcon,creature,False,['falcon'],['creature'],1,1,0.0017320083,0.91756594,0.080702074,0.42282262,2,3
2,RANDOM,2,RANDOM,black,utensil,True,['black'],"['ut', '##ens', '##il']",1,3,0.00029645266,0.013865482,0.985838,0.10934313,22,1
1,HYPER,1,HYPER,revolver,firearm,True,['revolver'],['firearm'],1,1,0.0019218856,0.98972905,0.00834903,0.08972627,2,1
2,RANDOM,2,RANDOM,axe,consulting,True,['axe'],['consulting'],1,1,0.00030343747,0.0020521104,0.9976445,0.025262978,3,4
2,RANDOM,2,RANDOM,pigeon,blend,True,['pigeon'],['blend'],1,1,0.00031592848,0.0038382367,0.99584585,0.04045751,1,6
1,HYPER,2,RANDOM,defense,air,False,['defense'],['air'],1,1,0.0009556021,0.79764855,0.20139587,0.7353648,12,15
1,HYPER,1,HYPER,bus,artifact,True,['bus'],['artifact'],1,1,0.0016993488,0.94340414,0.054896567,0.32479015,7,1
2,RANDOM,2,RANDOM,truck,vanish,True,['truck'],['vanish'],1,1,0.00027642067,0.004142036,0.99558157,0.04241393,3,5
1,HYPER,1,HYPER,customer,person,True,['customer'],['person'],1,1,0.0013055118,0.9791363,0.019558154,0.15330578,1,3
0,COORD,0,COORD,goldfish,salmon,True,"['gold', '##fish']",['salmon'],2,1,0.9987363,0.0007016935,0.00056189764,0.015240368,1,5
2,RANDOM,2,RANDOM,mackerel,cover,True,"['mack', '##ere', '##l']",['cover'],3,1,0.0002526266,0.0033687179,0.9963787,0.035903417,2,36
2,RANDOM,2,RANDOM,moth,secession,True,['moth'],['secession'],1,1,0.00025685126,0.0023583812,0.9973847,0.027415346,1,3
1,HYPER,1,HYPER,lobster,creature,True,['lobster'],['creature'],1,1,0.0017614333,0.95645535,0.041783195,0.26895502,2,3
2,RANDOM,2,RANDOM,villa,work,True,['villa'],['work'],1,1,0.0003478007,0.005821351,0.9938308,0.05608893,4,34
0,COORD,0,COORD,sword,pistol,True,['sword'],['pistol'],1,1,0.998206,0.0011891925,0.0006047261,0.020605104,1,1
0,COORD,0,COORD,shirt,stocking,True,['shirt'],"['stock', '##ing']",1,2,0.99470323,0.003829521,0.0014672494,0.05217785,2,9
2,RANDOM,2,RANDOM,beauty,business,True,['beauty'],['business'],1,1,0.00038841288,0.03980244,0.9598091,0.24632391,3,9
1,HYPER,1,HYPER,cannon,arm,True,['cannon'],['arm'],1,1,0.0015139704,0.9487871,0.049698904,0.30136967,8,8
1,HYPER,1,HYPER,immortal,everlasting,True,['immortal'],"['ever', '##las', '##ting']",1,3,0.0010084908,0.9694988,0.029492667,0.20328997,3,3
2,RANDOM,2,RANDOM,symphonic,fall,True,['symphonic'],['fall'],1,1,0.00028986266,0.016327042,0.9833831,0.12410637,2,44
2,RANDOM,2,RANDOM,cottage,vehicle,True,['cottage'],['vehicle'],1,1,0.00052201445,0.0027567304,0.9967212,0.0338543,1,4
2,RANDOM,2,RANDOM,dishwasher,concern,True,"['dish', '##wash', '##er']",['concern'],3,1,0.0003017347,0.0024578406,0.9972404,0.028809873,2,7
0,COORD,0,COORD,moth,bee,True,['moth'],['bee'],1,1,0.9987809,0.000692505,0.0005265698,0.014760995,1,2
2,RANDOM,2,RANDOM,goose,video,True,['goose'],['video'],1,1,0.0002846875,0.0059952,0.9937202,0.056641106,6,4
1,HYPER,1,HYPER,pick,device,True,['pick'],['device'],1,1,0.0013882755,0.9429486,0.055663258,0.32504836,21,5
1,HYPER,1,HYPER,dinner,meal,True,['dinner'],['meal'],1,1,0.003569719,0.99188423,0.004546008,0.07605591,2,3
1,HYPER,1,HYPER,football,sport,True,['football'],['sport'],1,1,0.0016764299,0.990897,0.0074266084,0.08105924,2,9
2,RANDOM,2,RANDOM,tiger,content,True,['tiger'],['content'],1,1,0.00033187697,0.0021886027,0.9974795,0.02680525,2,10
1,HYPER,1,HYPER,cedar,tree,True,['cedar'],['tree'],1,1,0.0017535469,0.986876,0.011370481,0.10830087,3,7
2,RANDOM,2,RANDOM,van,think,True,['van'],['think'],1,1,0.00025760822,0.0024158396,0.9973265,0.027924675,5,14
1,HYPER,2,RANDOM,rain,evergreen,False,['rain'],['evergreen'],1,1,0.0007793379,0.9571428,0.04207787,0.26086196,4,2
1,HYPER,1,HYPER,dishwasher,artefact,True,"['dish', '##wash', '##er']","['arte', '##fa', '##ct']",3,3,0.0018438468,0.96196675,0.03618936,0.2438464,2,1
2,RANDOM,2,RANDOM,cow,barrio,True,['cow'],['barrio'],1,1,0.00028942153,0.0024052598,0.9973053,0.028209137,4,2
0,COORD,0,COORD,donkey,gorilla,True,['donkey'],['gorilla'],1,1,0.99883026,0.000600227,0.0005694553,0.014247921,2,1
2,RANDOM,2,RANDOM,jet,question,True,['jet'],['question'],1,1,0.00025675315,0.0034153566,0.99632794,0.03633488,9,11
2,RANDOM,2,RANDOM,turtle,listed,True,['turtle'],['listed'],1,1,0.00039165074,0.002263389,0.99734503,0.028147228,4,6
2,RANDOM,2,RANDOM,freezer,build,True,"['freeze', '##r']",['build'],2,1,0.0003002537,0.010023004,0.9896768,0.08488773,1,12
1,HYPER,2,RANDOM,couch,object,False,['couch'],['object'],1,1,0.0016744847,0.9321774,0.06614805,0.36907214,4,7
0,COORD,0,COORD,helicopter,motorcycle,True,['helicopter'],['motorcycle'],1,1,0.9985318,0.000956689,0.0005114874,0.01730395,1,2
2,RANDOM,2,RANDOM,boy,standard,True,['boy'],['standard'],1,1,0.00024191833,0.0046692234,0.9950889,0.04612598,4,11
1,HYPER,1,HYPER,manual,functional,True,['manual'],['functional'],1,1,0.0016950542,0.9895235,0.008781401,0.09062555,5,6
2,RANDOM,2,RANDOM,moth,build,True,['moth'],['build'],1,1,0.00025634433,0.0038449762,0.99589866,0.03981043,1,12
0,COORD,0,COORD,wardrobe,desk,True,['wardrobe'],['desk'],1,1,0.99597484,0.0032807793,0.0007444283,0.04060332,3,1
