pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,COORD,HYPER,RANDOM,entropy,nsynsests_source,nsynsests_target
2,RANDOM,2,RANDOM,van,co-ordinate,True,['Ġvan'],"['Ġco', '-', 'ordinate']",1,3,9.061621e-05,0.00023787399,0.9996716,0.0045542815,5,5
1,HYPER,1,HYPER,phone,good,True,['Ġphone'],['Ġgood'],1,1,0.00017064907,0.99462056,0.0052088224,0.049383957,4,27
1,HYPER,1,HYPER,orbital,circular,True,['Ġorbital'],['Ġcircular'],1,1,0.0007666942,0.99812704,0.0011062392,0.02149754,2,3
0,COORD,1,HYPER,trumpet,horn,False,['Ġtrumpet'],['Ġhorn'],1,1,0.9993042,0.0006372721,5.8518144e-05,0.008591477,4,12
0,COORD,0,COORD,dishwasher,telephone,True,"['Ġdish', 'washer']",['Ġtelephone'],2,1,0.9997483,0.0001809851,7.063065e-05,0.0035868525,2,3
1,HYPER,1,HYPER,evidence,argue,True,['Ġevidence'],['Ġargue'],1,1,0.00016649738,0.9779424,0.021891177,0.15425587,6,3
2,RANDOM,2,RANDOM,coconut,accumulate,True,['Ġcoconut'],['Ġaccumulate'],1,1,0.00010280315,0.00020058913,0.9996966,0.0042634783,3,2
2,RANDOM,2,RANDOM,coupling,fruit,True,['Ġcoupling'],['Ġfruit'],1,1,9.100948e-05,0.00023267875,0.99967635,0.0044968207,7,5
0,COORD,0,COORD,hatchet,spear,True,"['Ġhat', 'chet']",['Ġspear'],2,1,0.99960476,0.00034166512,5.3626358e-05,0.005265195,2,4
1,HYPER,2,RANDOM,hospital,place,False,['Ġhospital'],['Ġplace'],1,1,0.00020807385,0.99598336,0.003808677,0.03893658,2,32
1,HYPER,1,HYPER,hate,dislike,True,['Ġhate'],['Ġdislike'],1,1,0.00039699656,0.99823064,0.0013724577,0.020086795,2,3
1,HYPER,1,HYPER,crystal,rock,True,['Ġcrystal'],['Ġrock'],1,1,0.00059919764,0.99807775,0.0013230806,0.021835914,6,9
1,HYPER,1,HYPER,normative,appropriate,True,['Ġnormative'],['Ġappropriate'],1,1,0.00044032198,0.99810886,0.0014507924,0.021314323,2,3
1,HYPER,2,RANDOM,dress,uniform,False,['Ġdress'],['Ġuniform'],1,1,0.0010232748,0.9977627,0.0012140702,0.02514733,21,6
2,RANDOM,2,RANDOM,pine,hint,True,['Ġpine'],['Ġhint'],1,1,9.092361e-05,0.00030043232,0.9996087,0.005300331,3,6
2,RANDOM,1,HYPER,cut,free,False,['Ġcut'],['Ġfree'],1,1,0.00018408983,0.37846613,0.62134975,0.9593748,70,22
0,COORD,0,COORD,fridge,washer,True,['Ġfridge'],"['Ġwas', 'her']",1,2,0.9996927,0.00023822181,6.907638e-05,0.0042651347,1,3
0,COORD,0,COORD,grasshopper,cricket,True,"['Ġgrass', 'ho', 'pper']",['Ġcricket'],3,1,0.99977654,0.00013944432,8.401917e-05,0.0032458804,2,3
0,COORD,0,COORD,donkey,bull,True,['Ġdonkey'],['Ġbull'],1,1,0.99975055,0.00018681663,6.261896e-05,0.0035481076,2,15
0,COORD,0,COORD,cow,beaver,True,['Ġcow'],"['Ġbe', 'aver']",1,2,0.99976236,0.00017360403,6.400663e-05,0.003403156,4,8
0,COORD,0,COORD,grenade,rifle,True,['Ġgrenade'],['Ġrifle'],1,1,0.99967813,0.00026420623,5.7693887e-05,0.0044170464,1,3
1,HYPER,1,HYPER,dog,animal,True,['Ġdog'],['Ġanimal'],1,1,0.00016473792,0.9935969,0.006238327,0.056971822,8,2
0,COORD,0,COORD,box,case,True,['Ġbox'],['Ġcase'],1,1,0.9716771,0.028124662,0.00019819014,0.18761382,13,22
1,HYPER,1,HYPER,foot,anatomy,True,['Ġfoot'],['Ġanatomy'],1,1,0.00013952909,0.9934164,0.0064440914,0.05815258,14,3
2,RANDOM,2,RANDOM,scarf,septicaemia,True,['Ġscarf'],"['Ġse', 'pt', 'ica', 'emia']",1,4,0.00010108927,0.00025148535,0.9996474,0.004857285,5,1
1,HYPER,1,HYPER,hospital,structure,True,['Ġhospital'],['Ġstructure'],1,1,0.00016690676,0.99439394,0.0054391306,0.051074848,2,6
2,RANDOM,2,RANDOM,guitar,information,True,['Ġguitar'],['Ġinformation'],1,1,0.00011035045,0.00019537032,0.99969435,0.0042989478,1,5
2,RANDOM,2,RANDOM,coyote,attempt,True,"['Ġcoy', 'ote']",['Ġattempt'],2,1,0.00014056473,0.00023016425,0.99962926,0.0051150466,3,4
2,RANDOM,2,RANDOM,desk,bracket,True,['Ġdesk'],['Ġbracket'],1,1,6.7945024e-05,0.00038152852,0.9995505,0.00592164,1,7
1,HYPER,1,HYPER,penguin,creature,True,"['Ġpengu', 'in']",['Ġcreature'],2,1,0.0001777057,0.9941586,0.0056637563,0.052891146,1,3
0,COORD,0,COORD,spoon,hatchet,True,['Ġspoon'],"['Ġhat', 'chet']",1,2,0.99968064,0.00026309304,5.625166e-05,0.0043835538,5,2
1,HYPER,2,RANDOM,civilization,human,False,['Ġcivilization'],['Ġhuman'],1,1,0.00019422977,0.9962154,0.003590314,0.037003797,4,4
2,RANDOM,2,RANDOM,clarinet,ideal,True,"['Ġclar', 'inet']",['Ġideal'],2,1,0.00016550614,0.00018952097,0.999645,0.0049344613,1,5
1,HYPER,1,HYPER,educator,profession,True,['Ġeducator'],['Ġprofession'],1,1,0.00025344556,0.9970505,0.0026960624,0.03028729,1,4
2,RANDOM,2,RANDOM,invade,turn,True,['Ġinvade'],['Ġturn'],1,1,0.00027234192,0.17824449,0.82148314,0.6797625,4,38
0,COORD,0,COORD,lion,panther,True,['Ġlion'],"['Ġpant', 'her']",1,2,0.99975747,0.00018001931,6.259455e-05,0.0034634348,4,3
0,COORD,2,RANDOM,cow,broccoli,False,['Ġcow'],['Ġbroccoli'],1,1,0.99972636,0.00013451735,0.00013907385,0.003906324,4,2
0,COORD,0,COORD,radio,toaster,True,['Ġradio'],"['Ġto', 'aster']",1,2,0.9997099,0.0002265234,6.351779e-05,0.004046726,5,2
2,RANDOM,2,RANDOM,noise,creature,True,['Ġnoise'],['Ġcreature'],1,1,8.065222e-05,0.0003652829,0.9995541,0.0059109163,7,3
2,RANDOM,2,RANDOM,trout,invaluable,True,['Ġtrout'],['Ġinvaluable'],1,1,0.00012253322,0.00019850674,0.99967897,0.0044966773,2,1
2,RANDOM,2,RANDOM,gorilla,participate,True,['Ġgorilla'],['Ġparticipate'],1,1,0.000100161196,0.00023255529,0.9996673,0.004617579,1,2
0,COORD,0,COORD,willow,cedar,True,"['Ġwill', 'ow']","['Ġc', 'edar']",2,2,0.9997677,0.00016701255,6.529137e-05,0.0033384315,2,3
2,RANDOM,2,RANDOM,dishwasher,valour,True,"['Ġdish', 'washer']","['Ġval', 'our']",2,2,0.00013812144,0.00018951224,0.9996724,0.0045868913,2,1
2,RANDOM,2,RANDOM,cockroach,side,True,"['Ġcock', 'roach']",['Ġside'],2,1,0.000119586184,0.00020182085,0.9996786,0.004499036,1,14
1,HYPER,1,HYPER,emperor,ruler,True,['Ġemperor'],['Ġruler'],1,1,0.00042223107,0.998078,0.0014997448,0.021572491,4,2
1,HYPER,1,HYPER,roll,move,True,['Ġroll'],['Ġmove'],1,1,0.00025671162,0.99756634,0.0021769055,0.025820086,33,21
2,RANDOM,2,RANDOM,wing,shine,True,['Ġwing'],['Ġshine'],1,1,9.298074e-05,0.0029208763,0.9969862,0.03017883,12,11
