pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,random,2,random,random,van,co-ordinate,True,['van'],"['co', '-', 'or', '##dina', '##te']",1,5,1.2740547e-05,0.005366304,0.99462104,0.04841851,5,5,random,minor,coordinated,randomly,van,major
1,hyper,minor,1,hyper,minor,phone,good,True,['phone'],['good'],1,1,0.00021577172,0.95673287,0.0430514,0.25903717,4,27,minor,random,coordinated,major,small,zero
1,hyper,minor,1,hyper,minor,orbital,circular,True,['orbital'],['circular'],1,1,0.00028872502,0.99555725,0.0041540475,0.04265389,2,3,minor,random,coordinated,major,lesser,small
0,coord,coordinated,1,hyper,minor,trumpet,horn,False,['trumpet'],['horn'],1,1,0.9991738,0.0008158141,1.0304717e-05,0.009731881,4,12,coordinated,minor,random,related,similar,coordinate
0,coord,coordinated,0,coord,coordinated,dishwasher,telephone,True,"['dish', '##wash', '##er']",['telephone'],3,1,0.9999713,2.2600027e-05,6.1024057e-06,0.0004958617,2,3,coordinated,minor,random,similar,coordinate,related
1,hyper,minor,1,hyper,minor,evidence,argue,True,['evidence'],['argue'],1,1,0.00017165639,0.9794708,0.020357523,0.14583287,6,3,minor,random,coordinated,major,small,lesser
2,random,random,2,random,random,coconut,accumulate,True,['coconut'],['accumulate'],1,1,8.988139e-06,0.0024833456,0.9975076,0.025231548,3,2,random,minor,coordinated,randomly,natural,major
2,random,random,2,random,random,coupling,fruit,True,['coupling'],['fruit'],1,1,8.767593e-05,0.05483411,0.94507825,0.3078883,7,5,random,minor,coordinated,major,randomly,regular
0,coord,coordinated,0,coord,coordinated,hatchet,spear,True,"['hatch', '##et']",['spear'],2,1,0.9994849,0.0004466114,6.8560985e-05,0.0066614994,2,4,coordinated,minor,random,similar,related,coordinate
1,hyper,minor,2,random,random,hospital,place,False,['hospital'],['place'],1,1,0.0008564916,0.98662055,0.012522907,0.107035555,2,32,minor,random,coordinated,major,small,lesser
1,hyper,minor,1,hyper,minor,hate,dislike,True,['hate'],['dislike'],1,1,0.00011883053,0.99808216,0.0017989643,0.020717595,2,3,minor,random,coordinated,major,lesser,small
1,hyper,minor,1,hyper,minor,crystal,rock,True,['crystal'],['rock'],1,1,0.0001387349,0.9948506,0.0050107255,0.047473602,6,9,minor,random,coordinated,major,small,lesser
1,hyper,minor,1,hyper,minor,normative,appropriate,True,"['norma', '##tive']",['appropriate'],2,1,6.768394e-05,0.9961153,0.003816969,0.03719405,2,3,minor,random,coordinated,major,lesser,small
1,hyper,minor,2,random,random,dress,uniform,False,['dress'],['uniform'],1,1,0.0013118873,0.99666876,0.0020193611,0.035435237,21,6,minor,random,coordinated,major,lesser,small
2,random,random,2,random,random,pine,hint,True,['pine'],['hint'],1,1,2.0364148e-05,0.0053180316,0.9946616,0.048175547,3,6,random,minor,coordinated,randomly,major,natural
1,hyper,minor,1,hyper,minor,cut,free,True,['cut'],['free'],1,1,0.00010906688,0.89293545,0.10695547,0.49223903,70,22,minor,random,coordinated,major,small,lesser
0,coord,coordinated,0,coord,coordinated,fridge,washer,True,['fridge'],"['wash', '##er']",1,2,0.9999808,1.495451e-05,4.2656866e-06,0.00034349036,1,3,coordinated,minor,random,similar,synchronized,coordinate
0,coord,coordinated,0,coord,coordinated,grasshopper,cricket,True,"['grass', '##hopper']",['cricket'],2,1,0.99924016,0.000741842,1.7956489e-05,0.009091437,2,3,coordinated,minor,related,random,similar,coordinate
0,coord,coordinated,0,coord,coordinated,donkey,bull,True,['donkey'],['bull'],1,1,0.9995179,0.0004598352,2.2338189e-05,0.006138636,2,15,coordinated,minor,random,related,similar,coordinate
0,coord,coordinated,0,coord,coordinated,cow,beaver,True,['cow'],['beaver'],1,1,0.99958485,0.00037918417,3.6021207e-05,0.0054398645,4,8,coordinated,minor,random,related,similar,twin
0,coord,coordinated,0,coord,coordinated,grenade,rifle,True,['grenade'],['rifle'],1,1,0.99382186,0.0060469722,0.00013116247,0.055140696,1,3,coordinated,minor,random,related,similar,same
1,hyper,minor,1,hyper,minor,dog,animal,True,['dog'],['animal'],1,1,0.0003039817,0.9836013,0.016094754,0.12289567,8,2,minor,random,coordinated,major,small,lesser
1,hyper,minor,0,coord,coordinated,box,case,False,['box'],['case'],1,1,0.050610136,0.9463234,0.0030664399,0.31877258,13,22,minor,coordinated,random,major,small,smaller
1,hyper,minor,1,hyper,minor,foot,anatomy,True,['foot'],['anatomy'],1,1,0.00010392248,0.9551865,0.04470966,0.2650022,14,3,minor,random,coordinated,major,small,zero
2,random,random,2,random,random,scarf,septicaemia,True,['scarf'],"['sept', '##ica', '##emia']",1,3,2.7305898e-05,0.0014282095,0.9985446,0.016011178,5,1,random,minor,coordinated,randomly,accidental,major
1,hyper,minor,1,hyper,minor,hospital,structure,True,['hospital'],['structure'],1,1,0.0009838045,0.98873657,0.010279626,0.09387274,2,6,minor,random,coordinated,major,small,lesser
2,random,random,2,random,random,guitar,information,True,['guitar'],['information'],1,1,2.0007917e-06,0.0012896056,0.99870837,0.01427884,1,5,random,minor,randomly,coordinated,accidental,major
2,random,random,2,random,random,coyote,attempt,True,['coyote'],['attempt'],1,1,3.4749605e-06,0.00045828597,0.9995383,0.0058120145,3,4,random,minor,coordinated,randomly,wild,regular
2,random,random,2,random,random,desk,bracket,True,['desk'],['bracket'],1,1,0.00014864815,0.002125948,0.9977254,0.024041444,1,7,random,minor,coordinated,randomly,accidental,regular
1,hyper,minor,1,hyper,minor,penguin,creature,True,['penguin'],['creature'],1,1,0.00023501088,0.98466367,0.015101307,0.11613873,1,3,minor,random,coordinated,major,small,lesser
0,coord,coordinated,0,coord,coordinated,spoon,hatchet,True,['spoon'],"['hatch', '##et']",1,2,0.99983656,3.5441957e-05,0.00012804125,0.002415464,5,2,coordinated,random,minor,related,coordinate,coordination
1,hyper,minor,2,random,random,civilization,human,False,['civilization'],['human'],1,1,9.5820375e-05,0.92772806,0.072176084,0.37539944,4,4,minor,random,major,coordinated,small,lesser
2,random,random,2,random,random,clarinet,ideal,True,['clarinet'],['ideal'],1,1,1.3334635e-06,0.00030762242,0.9996911,0.0040606274,1,5,random,minor,randomly,coordinated,spontaneous,accidental
1,hyper,minor,1,hyper,minor,educator,profession,True,['educator'],['profession'],1,1,7.8263365e-05,0.99597037,0.003951361,0.038414847,1,4,minor,random,major,coordinated,small,lesser
1,hyper,minor,2,random,random,invade,turn,False,['invade'],['turn'],1,1,0.000323657,0.7494083,0.2502681,0.8157873,4,38,minor,random,coordinated,major,small,accidental
0,coord,coordinated,0,coord,coordinated,lion,panther,True,['lion'],['panther'],1,1,0.99968255,0.00030217692,1.5194446e-05,0.004234184,4,3,coordinated,minor,random,related,similar,coordinate
2,random,random,2,random,random,cow,broccoli,True,['cow'],"['bro', '##cco', '##li']",1,3,0.014183153,0.030440344,0.9553765,0.30335438,4,2,random,minor,coordinated,major,unrelated,perfect
0,coord,coordinated,0,coord,coordinated,radio,toaster,True,['radio'],"['toast', '##er']",1,2,0.9999418,3.5668305e-05,2.2480104e-05,0.00095795345,5,2,coordinated,minor,random,similar,related,coordinate
2,random,random,2,random,random,noise,creature,True,['noise'],['creature'],1,1,4.744198e-05,0.092733994,0.9072185,0.44627348,7,3,random,minor,coordinated,major,randomly,small
2,random,random,2,random,random,trout,invaluable,True,['trout'],"['in', '##val', '##ua', '##ble']",1,4,1.2825637e-06,0.001765288,0.9982333,0.018716663,2,1,random,minor,randomly,coordinated,accidental,regular
2,random,random,2,random,random,gorilla,participate,True,['gorilla'],['participate'],1,1,4.180546e-06,0.0006248952,0.999371,0.0076334956,1,2,random,minor,coordinated,randomly,wild,regular
0,coord,coordinated,0,coord,coordinated,willow,cedar,True,['willow'],['cedar'],1,1,0.9991961,0.00057359005,0.000230324,0.010118786,2,3,coordinated,minor,random,related,similar,twin
2,random,random,2,random,random,dishwasher,valour,True,"['dish', '##wash', '##er']","['val', '##our']",3,2,6.0165344e-06,0.00019837059,0.99979573,0.0028390381,2,1,random,minor,coordinated,randomly,the,regular
2,random,random,2,random,random,cockroach,side,True,"['cock', '##ro', '##ach']",['side'],3,1,8.172482e-06,0.00059715315,0.99939466,0.007406463,1,14,random,minor,coordinated,randomly,major,regular
1,hyper,minor,1,hyper,minor,emperor,ruler,True,['emperor'],['ruler'],1,1,5.5363165e-05,0.9980465,0.0018980992,0.020759549,4,2,minor,random,major,coordinated,lesser,small
1,hyper,minor,1,hyper,minor,roll,move,True,['roll'],['move'],1,1,0.00013252925,0.979702,0.020165503,0.1442632,33,21,minor,random,coordinated,major,small,lesser
2,random,random,2,random,random,wing,shine,True,['wing'],['shine'],1,1,1.2414351e-05,0.02452828,0.9754592,0.16638084,12,11,random,minor,coordinated,major,randomly,number
2,random,random,2,random,random,contrast,rock,True,['contrast'],['rock'],1,1,9.330482e-05,0.1452385,0.85466814,0.59915787,7,9,random,minor,coordinated,major,randomly,regular
1,hyper,minor,2,random,random,whisk,game,False,"['w', '##his', '##k']",['game'],3,1,0.00015922493,0.99442977,0.0054110307,0.050767027,6,14,minor,random,coordinated,major,small,lesser
1,hyper,minor,2,random,random,falcon,creature,False,['falcon'],['creature'],1,1,0.0004067828,0.9836535,0.015939692,0.12315054,2,3,minor,random,coordinated,major,small,lesser
2,random,random,2,random,random,black,utensil,True,['black'],"['ut', '##ens', '##il']",1,3,0.00038999307,0.042786393,0.95682365,0.25987926,22,1,random,minor,coordinated,black,major,unknown
1,hyper,minor,1,hyper,minor,revolver,firearm,True,['revolver'],['firearm'],1,1,0.0022105132,0.9949184,0.0028711117,0.051056527,2,1,minor,random,coordinated,major,lesser,small
2,random,random,2,random,random,axe,consulting,True,['axe'],['consulting'],1,1,2.4596911e-06,0.00010894192,0.99988854,0.0016406688,3,4,random,minor,coordinated,randomly,regular,accidental
2,random,random,2,random,random,pigeon,blend,True,['pigeon'],['blend'],1,1,7.168019e-06,0.0019257785,0.9980671,0.0202796,1,6,random,minor,coordinated,randomly,fan,major
1,hyper,minor,2,random,random,defense,air,False,['defense'],['air'],1,1,0.00057087175,0.94048667,0.05894248,0.3301567,12,15,minor,random,coordinated,major,small,lesser
1,hyper,minor,1,hyper,minor,bus,artifact,True,['bus'],['artifact'],1,1,0.00041231647,0.78946507,0.21012256,0.7468074,7,1,minor,random,coordinated,major,small,unknown
2,random,random,2,random,random,truck,vanish,True,['truck'],['vanish'],1,1,5.54982e-07,0.00014704488,0.9998523,0.0020965275,3,5,random,minor,randomly,coordinated,regular,accidental
1,hyper,minor,1,hyper,minor,customer,person,True,['customer'],['person'],1,1,5.6975972e-05,0.99022865,0.009714333,0.07977803,1,3,minor,random,major,coordinated,small,lesser
0,coord,coordinated,0,coord,coordinated,goldfish,salmon,True,"['gold', '##fish']",['salmon'],2,1,0.9998528,0.00012625335,2.094674e-05,0.002173027,1,5,coordinated,minor,random,related,similar,coordinate
2,random,random,2,random,random,mackerel,cover,True,"['mack', '##ere', '##l']",['cover'],3,1,7.3170627e-06,0.0009263424,0.9990664,0.010805236,2,36,random,minor,coordinated,randomly,major,accidental
2,random,random,2,random,random,moth,secession,True,['moth'],['secession'],1,1,7.3666024e-06,0.003240443,0.99675226,0.0316008,1,3,random,minor,coordinated,randomly,major,fan
1,hyper,minor,1,hyper,minor,lobster,creature,True,['lobster'],['creature'],1,1,0.0005190012,0.9759858,0.023495173,0.16703303,2,3,minor,random,coordinated,major,small,lesser
2,random,random,2,random,random,villa,work,True,['villa'],['work'],1,1,0.00025316383,0.020901848,0.97884494,0.14985682,4,34,random,minor,coordinated,major,randomly,the
0,coord,coordinated,0,coord,coordinated,sword,pistol,True,['sword'],['pistol'],1,1,0.9969408,0.002981089,7.8043515e-05,0.030482683,1,1,coordinated,minor,random,related,similar,coordinate
0,coord,coordinated,0,coord,coordinated,shirt,stocking,True,['shirt'],"['stock', '##ing']",1,2,0.99979776,0.00014012423,6.207636e-05,0.0029529387,2,9,coordinated,minor,random,coordinate,similar,short
1,hyper,minor,2,random,random,beauty,business,False,['beauty'],['business'],1,1,0.0001925091,0.76217556,0.23763195,0.7936585,3,9,minor,random,coordinated,major,small,natural
1,hyper,minor,1,hyper,minor,cannon,arm,True,['cannon'],['arm'],1,1,0.0006673579,0.9905438,0.008788863,0.08064674,8,8,minor,random,coordinated,major,small,lesser
1,hyper,minor,1,hyper,minor,immortal,everlasting,True,['immortal'],"['ever', '##las', '##ting']",1,3,0.00012625406,0.99389654,0.0059771547,0.054562792,3,3,minor,random,coordinated,major,lesser,small
2,random,random,2,random,random,symphonic,fall,True,['symphonic'],['fall'],1,1,0.00014911448,0.19610949,0.8037414,0.7161421,2,44,random,minor,coordinated,major,accidental,natural
2,random,random,2,random,random,cottage,vehicle,True,['cottage'],['vehicle'],1,1,0.00039170243,0.005913298,0.99369496,0.05726996,1,4,random,minor,coordinated,randomly,accidental,major
2,random,random,2,random,random,dishwasher,concern,True,"['dish', '##wash', '##er']",['concern'],3,1,2.8780636e-05,0.082509525,0.9174617,0.4114326,2,7,random,minor,coordinated,major,randomly,small
0,coord,coordinated,0,coord,coordinated,moth,bee,True,['moth'],['bee'],1,1,0.999775,0.00020901162,1.5978954e-05,0.003134166,1,2,coordinated,minor,random,related,similar,coordinate
