pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,coord,hyper,random,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6
2,random,Ġrandom,2,random,Ġrandom,van,co-ordinate,True,['Ġvan'],"['Ġco', '-', 'ordinate']",1,3,3.6213373e-06,7.60526e-06,0.9999888,0.0002109463,5,5,Ġrandom,Ġrandomly,Ġsubclass,ĠRandom,Ġcoordinated,Ġrandomized
1,hyper,Ġsubclass,1,hyper,Ġsubclass,phone,good,True,['Ġphone'],['Ġgood'],1,1,1.46176435e-05,0.9807522,0.019233186,0.1373686,4,27,Ġsubclass,Ġrandom,Ġclass,Ġcoordinated,Ġtype,Ġkind
1,hyper,Ġsubclass,1,hyper,Ġsubclass,orbital,circular,True,['Ġorbital'],['Ġcircular'],1,1,1.22056435e-05,0.9976623,0.0023255048,0.02391193,2,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġsubset,Ġclass,Ġgeneralized
0,coord,Ġcoordinated,1,hyper,Ġsubclass,trumpet,horn,False,['Ġtrumpet'],['Ġhorn'],1,1,0.9996308,0.00035307137,1.6135698e-05,0.0048383377,4,12,Ġcoordinated,Ġsubclass,Ġsynchronized,Ġrandom,Ġcoordination,Ġcoordinating
0,coord,Ġcoordinated,0,coord,Ġcoordinated,dishwasher,telephone,True,"['Ġdish', 'washer']",['Ġtelephone'],2,1,0.999856,0.00012045414,2.3525448e-05,0.0021376736,2,3,Ġcoordinated,Ġsubclass,Ġsynchronized,Ġrandom,Ġcoordinate,Ġcoordination
1,hyper,Ġsubclass,1,hyper,Ġsubclass,evidence,argue,True,['Ġevidence'],['Ġargue'],1,1,1.7720176e-05,0.9603092,0.03967315,0.24109587,6,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġsubset,Ġgroup
2,random,Ġrandom,2,random,Ġrandom,coconut,accumulate,True,['Ġcoconut'],['Ġaccumulate'],1,1,9.072206e-07,6.0352428e-05,0.9999387,0.0009525196,3,2,Ġrandom,Ġsubclass,ĠRandom,Ġrandomly,Ġrandomized,random
2,random,Ġrandom,2,random,Ġrandom,coupling,fruit,True,['Ġcoupling'],['Ġfruit'],1,1,9.98399e-07,6.106217e-05,0.999938,0.00096433354,7,5,Ġrandom,Ġsubclass,Ġrandomly,ĠRandom,Ġrandomized,random
0,coord,Ġcoordinated,0,coord,Ġcoordinated,hatchet,spear,True,"['Ġhat', 'chet']",['Ġspear'],2,1,0.99983394,0.00012385665,4.215859e-05,0.002459732,2,4,Ġcoordinated,Ġsubclass,Ġrandom,Ġsynchronized,Ġcoordination,Ġcoordinate
1,hyper,Ġsubclass,2,random,Ġrandom,hospital,place,False,['Ġhospital'],['Ġplace'],1,1,4.3156084e-05,0.9708713,0.029085515,0.19047102,2,32,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġkind,Ġtype
1,hyper,Ġsubclass,1,hyper,Ġsubclass,hate,dislike,True,['Ġhate'],['Ġdislike'],1,1,1.9378007e-05,0.9993098,0.0006708654,0.008370857,2,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġsubset,Ġgeneralized,Ġclass
1,hyper,Ġsubclass,1,hyper,Ġsubclass,crystal,rock,True,['Ġcrystal'],['Ġrock'],1,1,3.542017e-06,0.9982368,0.0017596936,0.018707693,6,9,Ġsubclass,Ġrandom,Ġcoordinated,Ġclass,Ġsubset,Ġtype
1,hyper,Ġsubclass,1,hyper,Ġsubclass,normative,appropriate,True,['Ġnormative'],['Ġappropriate'],1,1,3.8929076e-05,0.9954266,0.004534552,0.04245404,2,3,Ġsubclass,Ġrandom,Ġcoordinated,Ġsubset,Ġgeneralized,Ġgeneric
1,hyper,Ġsubclass,2,random,Ġrandom,dress,uniform,False,['Ġdress'],['Ġuniform'],1,1,0.0037240603,0.99459076,0.0016852445,0.053357877,21,6,Ġsubclass,Ġcoordinated,Ġrandom,Ġsubset,Ġcoordinate,Ġmodified
2,random,Ġrandom,2,random,Ġrandom,pine,hint,True,['Ġpine'],['Ġhint'],1,1,2.4952844e-06,0.00019208375,0.9998054,0.002698639,3,6,Ġrandom,Ġsubclass,Ġrandomly,ĠRandom,Ġrandomized,random
2,random,Ġrandom,1,hyper,Ġsubclass,cut,free,False,['Ġcut'],['Ġfree'],1,1,9.266109e-06,0.0008575351,0.99913317,0.0101410225,70,22,Ġrandom,Ġsubclass,ĠRandom,Ġrandomly,Ġcoordinated,Ġrandomized
0,coord,Ġcoordinated,0,coord,Ġcoordinated,fridge,washer,True,['Ġfridge'],"['Ġwas', 'her']",1,2,0.9998393,0.00015042294,1.02637405e-05,0.0023120798,1,3,Ġcoordinated,Ġsubclass,Ġsynchronized,Ġrandom,Ġcoordination,Ġcoordinate
0,coord,Ġcoordinated,0,coord,Ġcoordinated,grasshopper,cricket,True,"['Ġgrass', 'ho', 'pper']",['Ġcricket'],3,1,0.9999677,2.346247e-05,8.797905e-06,0.00055519823,2,3,Ġcoordinated,Ġsubclass,Ġrandom,Ġsynchronized,Ġcoordinating,Ġcoordination
0,coord,Ġcoordinated,0,coord,Ġcoordinated,donkey,bull,True,['Ġdonkey'],['Ġbull'],1,1,0.9999273,4.387974e-05,2.8884266e-05,0.0011758405,2,15,Ġcoordinated,Ġsubclass,Ġrandom,Ġsynchronized,Ġcoordination,Ġcoordinating
0,coord,Ġcoordinated,0,coord,Ġcoordinated,cow,beaver,True,['Ġcow'],"['Ġbe', 'aver']",1,2,0.9999764,1.0887e-05,1.27826415e-05,0.00042133415,4,8,Ġcoordinated,Ġrandom,Ġsubclass,Ġsynchronized,Ġcoordination,Ġcoordinating
0,coord,Ġcoordinated,0,coord,Ġcoordinated,grenade,rifle,True,['Ġgrenade'],['Ġrifle'],1,1,0.9997377,0.00021144954,5.093097e-05,0.0036859785,1,3,Ġcoordinated,Ġsubclass,Ġrandom,Ġsynchronized,Ġcoordination,Ġcoordinate
1,hyper,Ġsubclass,1,hyper,Ġsubclass,dog,animal,True,['Ġdog'],['Ġanimal'],1,1,1.2074056e-05,0.9577695,0.042218447,0.2525867,8,2,Ġsubclass,Ġrandom,Ġclass,Ġcoordinated,Ġtype,Ġkind
0,coord,Ġcoordinated,0,coord,Ġcoordinated,box,case,True,['Ġbox'],['Ġcase'],1,1,0.9653687,0.033929262,0.00070198806,0.22206107,13,22,Ġcoordinated,Ġsubclass,Ġrandom,Ġcoordinate,Ġcoordination,Ġmodified
