pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
1,cohyp,4,no-rel,advance,take,1.42,False,['advance'],['take'],1,1,0.22584002,1.4846522,-2.5560331,-0.8062796,0.5372699,-0.57956564,0.8838646,0.11517199,0.4055478,0.007131728,0.041030146,0.15725309,0.05147112,0.22239414,2.2493763,20,44
2,hyp,2,hyp,aura,light,3.69,True,['aura'],['light'],1,1,-0.75276655,-0.88919187,5.770019,-0.7382497,-1.8416786,-1.4443234,0.0944171,0.0014566031,0.0012708444,0.9911766,0.0014779025,0.00049026706,0.0007294607,0.0033983525,0.09338147,3,47
4,no-rel,4,no-rel,tusk,duty,0.08,True,"['tu', '##sk']",['duty'],2,1,-0.8928167,-1.0502974,-0.22307023,-1.8184807,2.474637,-1.4637517,1.7703058,0.02078359,0.017755285,0.04060578,0.008235878,0.6028193,0.011742664,0.29805744,1.5001003,4,3
2,hyp,2,hyp,place,area,4.77,True,['place'],['area'],1,1,-0.9686586,-1.6570348,5.9081864,-1.3166535,-1.5709269,-0.517784,0.0059906244,0.001024025,0.0005144611,0.99285626,0.0007230664,0.0005607233,0.0016073958,0.0027139087,0.07771536,32,6
5,r-hyp,5,r-hyp,material,leather,1.64,True,['material'],['leather'],1,1,-0.616273,-0.31347147,-0.24861358,-0.47550514,-1.7314241,5.1116114,0.0073319077,0.0031800442,0.0043046535,0.0045930976,0.0036607303,0.0010426271,0.97728604,0.0059328214,0.2121258,11,2
2,hyp,2,hyp,add,calculate,5.23,True,['add'],['calculate'],1,1,-1.5868944,1.0098966,1.4521656,-2.0886285,-1.2985283,1.2052734,1.1699969,0.014427289,0.19362295,0.30132264,0.008735432,0.019249551,0.23540075,0.22724138,2.2147841,7,6
5,r-hyp,5,r-hyp,toy,doll,2.1,True,['toy'],['doll'],1,1,-1.2137717,-0.0027399429,-0.20850843,-0.9720637,-2.1393008,4.2351513,1.216394,0.003958394,0.013288118,0.0108168125,0.005040708,0.0015687973,0.9203568,0.044970382,0.5495884,8,2
2,hyp,2,hyp,instruct,inform,4.31,True,"['ins', '##truct']",['inform'],2,1,-0.7901705,-1.0022191,2.8986278,-2.5140326,-2.1044438,2.1035182,1.3018291,0.014616973,0.011824038,0.5846314,0.0026073148,0.0039271335,0.26397967,0.11841352,1.5430377,3,3
6,syn,1,cohyp,jug,jar,2.4,False,['jug'],['jar'],1,1,-1.3929048,1.0259635,1.1335542,-1.8119233,-1.5900493,-1.0167074,2.878535,0.010070247,0.11312046,0.12597002,0.0066231196,0.008268397,0.014669673,0.7212781,1.3334534,4,8
1,cohyp,6,syn,flower,bloom,2.45,False,['flower'],['bloom'],1,1,-1.4261433,2.1617622,-1.4435393,-0.5176361,-1.800941,1.6709372,1.1656963,0.013021409,0.47083148,0.012796848,0.032301124,0.008951284,0.28820592,0.17389198,1.8506842,4,7
6,syn,5,r-hyp,say,claim,2.1,False,['say'],['claim'],1,1,-1.1860362,0.3787307,0.48402083,-1.561694,-0.62604743,0.35729265,1.7469113,0.027030984,0.12925032,0.14360133,0.018565895,0.04732188,0.12650892,0.50772065,2.11328,12,11
5,r-hyp,4,no-rel,symptom,orchid,0.08,False,"['sy', '##mpt', '##om']",['orchid'],3,1,-0.66468644,-0.36817646,-1.6732925,-2.0153334,-0.12174231,3.3837607,1.1488295,0.014677737,0.019743847,0.005353368,0.0038025994,0.025261363,0.84115756,0.09000342,0.9287841,2,1
1,cohyp,1,cohyp,sitting,standing,0.15,True,['sitting'],['standing'],1,1,0.5832983,3.6049113,-1.5214875,-0.86383736,-0.84394145,-0.9069375,-0.9290415,0.04431216,0.9094793,0.005400401,0.010424134,0.01063361,0.009984395,0.009766123,0.6343232,16,21
2,hyp,6,syn,infant,baby,3.75,False,['infant'],['baby'],1,1,-0.7981191,0.017704777,2.2302637,-0.10837036,-2.9704895,1.4674106,0.76866114,0.024716154,0.055884153,0.5107294,0.049264606,0.0028153502,0.23817047,0.11841995,1.9549071,1,8
3,mero,3,mero,nucleus,cell,1.23,True,['nucleus'],['cell'],1,1,-1.0711542,-0.0020945326,0.43235388,4.84206,-2.131457,-1.2805698,0.34081456,0.0026071218,0.007593604,0.011725372,0.96435654,0.0009029787,0.0021145267,0.010699699,0.29951203,6,7
5,r-hyp,5,r-hyp,force,gravity,2.15,True,['force'],['gravity'],1,1,0.26740322,-0.5933795,-1.0777688,-0.868013,-1.977857,4.1916175,0.92435867,0.01829735,0.007736687,0.0047663664,0.005878727,0.0019376888,0.9260892,0.03529395,0.5305316,19,3
0,ant,4,no-rel,desire,attack,0.43,False,['desire'],['attack'],1,1,1.614545,-0.70024854,-0.7093463,-2.4693696,0.015765848,1.2741128,0.022794485,0.42905658,0.04238503,0.042001177,0.0072259163,0.08673085,0.3052578,0.0873426,2.0962443,6,15
2,hyp,6,syn,motorcycle,bike,5.4,False,['motorcycle'],['bike'],1,1,-1.3123118,-1.1949341,5.8281045,-0.6175017,-1.9236021,-0.8365712,0.14326155,0.00078584213,0.0008837138,0.9916962,0.0015742998,0.00042643736,0.0012645813,0.0033688578,0.08827613,2,3
2,hyp,2,hyp,god,being,4.78,True,['god'],['being'],1,1,-0.59188664,-1.3812232,6.376983,-1.5086141,-1.4250088,-1.1247171,-0.7466432,0.00093742437,0.00042572746,0.9965013,0.00037480597,0.00040748893,0.0005502129,0.00080301997,0.04230446,4,15
5,r-hyp,5,r-hyp,communication,conversation,2.42,True,['communication'],['conversation'],1,1,-0.53255796,-0.38414106,-1.2337301,-0.79552203,-1.2248225,5.0392523,0.42251796,0.0037114883,0.0043053133,0.001840911,0.0028532785,0.0018573828,0.9757859,0.009645666,0.2205933,3,1
6,syn,6,syn,phase,stage,4.33,True,['phase'],['stage'],1,1,-1.0674924,0.5888275,0.1379523,0.070228264,-1.8945141,-1.4484715,2.8726199,0.015327364,0.08031524,0.051166464,0.047816,0.0067034224,0.010471531,0.7882,1.201686,6,10
2,hyp,2,hyp,cod,fish,5.54,True,['cod'],['fish'],1,1,-0.58677953,-1.2557752,6.4870124,-1.3510252,-1.4387352,-1.1662104,-0.88421124,0.0008443637,0.0004325024,0.9968696,0.00039320762,0.00036018845,0.00047302688,0.0006271287,0.038428403,7,6
2,hyp,5,r-hyp,maker,producer,3.15,False,['maker'],['producer'],1,1,-1.113508,-1.3332458,3.611722,-2.240844,-1.088748,1.3027979,0.93072885,0.007416427,0.0059533846,0.83625,0.0024021445,0.007602352,0.08309657,0.057279028,0.9212082,3,3
0,ant,0,ant,daughter,son,1.18,True,['daughter'],['son'],1,1,1.9891282,1.9440396,-1.6305366,-0.85325253,-1.0451338,-0.82846016,-1.3609853,0.4578898,0.4377027,0.012267627,0.0266889,0.022029145,0.027358854,0.016062947,1.6141847,1,2
3,mero,6,syn,wardrobe,closet,3.73,False,['wardrobe'],['closet'],1,1,-1.4074242,-0.12969655,-0.9394859,3.0877774,-2.323379,-0.56119716,2.3970416,0.0069733243,0.025023608,0.011134301,0.62471384,0.0027902664,0.016253678,0.313111,1.3241727,3,5
2,hyp,2,hyp,emotion,feeling,4.67,True,['emotion'],['feeling'],1,1,-0.69172436,-1.1179498,5.6758385,-1.5607965,-1.878341,-0.90794325,0.10409555,0.0017005777,0.0011104244,0.9908179,0.00071312085,0.00051910535,0.0013699156,0.0037689174,0.09622438,1,19
1,cohyp,1,cohyp,snap,pop,2.8,True,['snap'],['pop'],1,1,0.52349347,1.5769335,0.62079734,-2.3287265,-1.1525548,-0.4016903,0.2227925,0.15744857,0.45148358,0.17353909,0.009087309,0.029460508,0.062421832,0.11655905,2.1990373,26,19
6,syn,5,r-hyp,idea,suggestion,2.38,False,['idea'],['suggestion'],1,1,-1.1491933,-0.40637463,0.9276061,-1.1102931,-2.6779933,1.8930761,2.5581844,0.013506804,0.028389296,0.10776932,0.014042574,0.0029282172,0.28300452,0.55035925,1.6767335,5,6
2,hyp,2,hyp,suggestion,idea,5.1,True,['suggestion'],['idea'],1,1,-1.0124539,-1.3516127,5.2492766,-1.0536942,-1.9902282,-0.6515314,0.6564577,0.0018729594,0.0013342391,0.9816653,0.0017972892,0.00070450886,0.002687046,0.009938655,0.16875309,6,5
2,hyp,2,hyp,volleyball,activity,4.86,True,['volleyball'],['activity'],1,1,-0.5386495,-1.3705322,6.399154,-1.6296551,-1.225588,-1.3029591,-0.85101634,0.0009671405,0.00042092777,0.9966426,0.00032484168,0.00048658202,0.0004503542,0.0007076692,0.04077206,2,6
1,cohyp,1,cohyp,cigarette,cigar,2.92,True,['cigarette'],['cigar'],1,1,-1.8050408,3.4192328,-1.6797736,0.38590702,-2.0980983,1.1590344,1.2897116,0.0041839625,0.7770716,0.0047423174,0.037420046,0.0031211497,0.0810717,0.0923893,1.167101,1,1
4,no-rel,4,no-rel,bread,football,0.08,True,['bread'],['football'],1,1,-0.48144636,0.76954895,-1.7796788,-1.4166262,4.177119,-2.0708888,-0.75462914,0.008959856,0.03130411,0.0024461653,0.0035168792,0.9451269,0.0018281626,0.0068180347,0.4099248,3,2
2,hyp,2,hyp,kidnap,take,4.69,True,['kidnap'],['take'],1,1,-0.81841487,-0.7919505,4.040896,-1.7579336,-1.0143447,-0.9142621,0.9736748,0.007189818,0.007382629,0.92702127,0.0028098945,0.005910532,0.0065326863,0.04315315,0.5154741,1,44
4,no-rel,4,no-rel,mouth,universe,0.29,True,['mouth'],['universe'],1,1,-0.15417129,0.27631524,-2.5016494,-0.45815048,3.3736196,-2.1991737,0.39710185,0.025455015,0.039149955,0.002433753,0.018782651,0.86670923,0.0032933673,0.044176184,0.8515152,11,3
2,hyp,2,hyp,trout,fish,6.0,True,['trout'],['fish'],1,1,-0.6865856,-1.223956,6.452358,-1.4023423,-1.3730861,-1.2000576,-0.84906715,0.00079106353,0.00046220457,0.996816,0.00038668924,0.00039816945,0.00047338364,0.000672429,0.03905342,2,6
