pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
2,hyp,minor,4,no-rel,random,advance,take,1.42,False,['advance'],['take'],1,1,11.459911,13.355279,14.518665,11.507736,12.4081545,13.747387,10.797017,0.023282047,0.15494189,0.49593085,0.024422562,0.06009494,0.22932911,0.01199858,1.9832538,20,44,minor,major,coordinated,random,part,contrary,synonym,coordinate,partial,limited,parts,separate,total,coordination
2,hyp,minor,2,hyp,minor,aura,light,3.69,True,['aura'],['light'],1,1,10.335825,12.938955,16.241497,12.133907,12.546166,13.077034,11.743637,0.002401713,0.032437418,0.8817022,0.014501682,0.021900812,0.037240293,0.00981581,0.7930552,3,47,minor,major,coordinated,random,part,synonym,contrary,specific,coordinate,partial,parts,particular,small,related
2,hyp,minor,4,no-rel,random,tusk,duty,0.08,False,"['tu', '##sk']",['duty'],2,1,11.55934,12.080256,17.60677,13.483388,14.791191,13.533869,13.612923,0.0021146915,0.0035602325,0.89456624,0.014482736,0.05355775,0.015232604,0.01648568,0.6957779,4,3,minor,random,synonym,major,part,coordinated,contrary,specific,unrelated,parts,particular,related,partial,limited
2,hyp,minor,2,hyp,minor,place,area,4.77,True,['place'],['area'],1,1,9.413034,9.870745,16.010174,11.956717,9.230766,14.294483,12.99943,0.0010904403,0.0017233875,0.7992877,0.013877428,0.0009087488,0.14374347,0.039368924,0.96569705,32,6,minor,major,synonym,part,coordinated,contrary,random,unrelated,specific,coordinate,small,separate,particular,or
5,r-hyp,major,5,r-hyp,major,material,leather,1.64,True,['material'],['leather'],1,1,2.4969754,8.025498,9.412026,10.219883,7.449091,12.890005,6.5130224,2.7511856e-05,0.0069267116,0.027713321,0.06216361,0.0038922124,0.89775026,0.0015263958,0.6277543,11,2,major,part,minor,:,coordinated,include,random,included,includes,synonym,parts,like,including,is
2,hyp,minor,2,hyp,minor,add,calculate,5.23,True,['add'],['calculate'],1,1,11.613018,12.372594,14.944958,9.961662,11.4034395,13.897818,12.374314,0.022677055,0.04846924,0.6347894,0.0043492257,0.018389413,0.22277297,0.048552707,1.586369,7,6,minor,major,synonym,coordinated,contrary,random,part,partial,coordinate,different,or,specific,unrelated,/
2,hyp,minor,5,r-hyp,major,toy,doll,2.1,False,['toy'],['doll'],1,1,9.77182,11.927269,14.660553,13.31049,9.100209,13.716446,13.260513,0.0038204524,0.032977242,0.5072996,0.13150415,0.0019518117,0.19735314,0.12509358,1.9293406,8,2,minor,major,part,synonym,coordinated,contrary,random,parts,unrelated,separate,or,component,particular,coordinate
2,hyp,minor,2,hyp,minor,instruct,inform,4.31,True,"['ins', '##truct']",['inform'],2,1,14.61307,13.147938,16.168486,11.535596,10.919395,15.314056,13.632157,0.11862719,0.02740852,0.56194377,0.0054658083,0.0029514942,0.23912168,0.044481505,1.7335485,3,3,minor,major,contrary,synonym,coordinated,part,random,coordinate,general,principal,unrelated,partial,minors,subordinate
6,syn,synonym,1,cohyp,coordinated,jug,jar,2.4,False,['jug'],['jar'],1,1,12.461022,13.121515,13.369814,13.4271555,7.0310726,11.837147,13.743149,0.082038656,0.15880603,0.20356435,0.21557821,0.0003596014,0.043961536,0.2956916,2.3842912,4,8,synonym,part,minor,coordinated,contrary,major,coordinate,separate,parts,opposite,partial,random,unrelated,sub
2,hyp,minor,6,syn,synonym,flower,bloom,2.45,False,['flower'],['bloom'],1,1,14.421912,13.103684,14.656147,14.236198,8.950568,12.57102,13.058703,0.26460606,0.070811,0.33444652,0.21975832,0.0011128209,0.041568812,0.06769642,2.2515328,4,7,minor,contrary,part,coordinated,synonym,major,random,parts,partial,separate,non,coordinate,full,perfect
