pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
4,no-rel,Ġrandom,4,no-rel,Ġrandom,advance,take,1.42,True,['Ġadvance'],['Ġtake'],1,1,11.448408,19.799498,21.806658,14.058614,21.930351,17.088957,17.710678,1.3843316e-05,0.058623563,0.4362855,0.00018829468,0.49373075,0.0038985158,0.0072595454,1.35005,20,44,Ġrandom,Ġsubclass,Ġcoordinated,Ġequivalent,Ġmajor,Ġpart,Ġrandomized,ĠRandom,Ġcoordinate,Ġrare,Ġalternate,Ġsimilar,Ġeasy,Ġsimple
2,hyp,Ġsubclass,2,hyp,Ġsubclass,aura,light,3.69,True,['Ġaura'],['Ġlight'],1,1,13.3212185,19.612207,24.409893,17.578709,17.130123,16.3844,19.074398,1.505594e-05,0.008125491,0.9850494,0.0010634385,0.00067903806,0.00032212943,0.0047455,0.13608466,3,47,Ġsubclass,Ġcoordinated,Ġequivalent,Ġpart,Ġrandom,Ġmajor,Ġsimilar,Ġtype,Ġsort,Ġcontrary,Ġclass,Ġrelated,Ġanalogous,Ġcomponent
4,no-rel,Ġrandom,4,no-rel,Ġrandom,tusk,duty,0.08,True,"['Ġt', 'usk']",['Ġduty'],2,1,11.602405,15.477141,20.860895,15.830205,22.406822,14.454175,16.461685,1.6668026e-05,0.0008028991,0.17490232,0.001142864,0.82069755,0.0002886638,0.0021490322,0.7160368,4,3,Ġrandom,Ġsubclass,Ġequivalent,Ġpart,Ġcoordinated,Ġmajor,ĠRandom,Ġminor,Ġrandomized,Ġcontrary,Ġarbitrary,Ġspecial,Ġclass,Ġpublic
5,r-hyp,Ġmajor,2,hyp,Ġsubclass,place,area,4.77,False,['Ġplace'],['Ġarea'],1,1,9.684853,15.003511,17.104456,15.528729,15.200486,19.88743,15.890896,3.3405155e-05,0.0068183243,0.055732213,0.01152861,0.008302765,0.9010246,0.016560134,0.6467782,32,6,Ġmajor,Ġsubclass,Ġequivalent,Ġpart,Ġrandom,Ġcoordinated,Ġsignificant,Ġlarge,Ġsimilar,Ġsuch,Ġminor,Ġspecific,ĠMajor,Ġrelated
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,material,leather,1.64,True,['Ġmaterial'],['Ġleather'],1,1,8.74102,12.088869,9.789283,13.945844,14.329765,22.280422,12.703089,1.3170634e-06,3.745924e-05,3.757174e-06,0.00023990139,0.0003521825,0.9992962,6.923268e-05,0.009540852,11,2,Ġmajor,Ġsuch,Ġrandom,Ġpart,Ġlarge,Ġmost,Ġlargest,Ġsignificant,ĠMajor,Ġequivalent,Ġlead,Ġmain,Ġcoordinated,Ġbig
2,hyp,Ġsubclass,2,hyp,Ġsubclass,add,calculate,5.23,True,['Ġadd'],['Ġcalculate'],1,1,15.544864,20.866661,22.374735,16.01432,16.576324,19.736298,17.311214,0.0008283671,0.16960944,0.76629883,0.0013246625,0.0023237024,0.05476958,0.0048455065,1.0366701,7,6,Ġsubclass,Ġcoordinated,Ġmajor,Ġequivalent,Ġrandom,Ġpart,Ġcontrary,Ġcoordinate,Ġseparate,Ġcomplete,Ġmodified,Ġrelated,Ġcombined,Ġsynchronized
5,r-hyp,Ġmajor,5,r-hyp,Ġmajor,toy,doll,2.1,True,['Ġtoy'],['Ġdoll'],1,1,11.025922,14.349254,12.686192,14.657494,13.499899,22.544928,17.601915,9.860844e-06,0.00027366466,5.1875235e-05,0.00037246518,0.00011704387,0.99209833,0.0070767165,0.07181402,8,2,Ġmajor,Ġequivalent,Ġsuch,Ġpart,Ġcoordinated,Ġrandom,Ġsimilar,Ġlarge,Ġmost,Ġsignificant,ĠMajor,Ġsubclass,Ġbig,Ġgiant
2,hyp,Ġsubclass,2,hyp,Ġsubclass,instruct,inform,4.31,True,['Ġinstruct'],['Ġinform'],1,1,17.618805,19.868956,20.22963,12.891191,13.939057,18.462608,19.400837,0.030863604,0.29286987,0.42006198,0.0002730674,0.00077866844,0.071763866,0.18338902,1.9321507,3,3,Ġsubclass,Ġcoordinated,Ġequivalent,Ġmajor,Ġcontrary,Ġrandom,Ġcoordinate,Ġsuperior,Ġpart,Ġsimilar,Ġanalogous,Ġrelated,Ġcombined,Ġmodified
6,syn,Ġequivalent,1,cohyp,Ġcoordinated,jug,jar,2.4,False,['Ġjug'],['Ġjar'],1,1,12.181042,19.48242,23.286005,17.838121,12.50301,15.316919,23.472897,6.7358005e-06,0.009984758,0.44793347,0.0019285359,9.294333e-06,0.00015498283,0.53998226,1.085032,4,8,Ġequivalent,Ġsubclass,Ġcoordinated,Ġpart,Ġsimilar,Ġmajor,Ġanalogous,Ġrandom,Ġtype,Ġsort,Ġcontrary,Ġrelated,Ġcomparable,Ġvariant
6,syn,Ġequivalent,6,syn,Ġequivalent,flower,bloom,2.45,True,['Ġflower'],['Ġbloom'],1,1,14.0907755,18.892262,18.172682,17.568542,18.88094,17.635464,19.915134,0.0014129665,0.17194547,0.083730035,0.045762196,0.17000969,0.048929457,0.47821018,2.1098838,4,7,Ġequivalent,Ġcoordinated,Ġrandom,Ġsubclass,Ġmajor,Ġpart,Ġcontrary,Ġsimilar,Ġsubset,Ġcomplete,Ġsynchronized,Ġsignificant,Ġpartial,Ġmajority
