pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
2,hyp,4,no-rel,advance,take,1.42,False,['Ġadvance'],['Ġtake'],1,1,-1.5932226,-0.40855396,4.845684,-1.891525,-1.6260756,-0.51307714,1.0750161,0.0015406866,0.0050374335,0.96404195,0.0011433077,0.0014908927,0.004537488,0.022208316,0.28625333,20,44
2,hyp,2,hyp,aura,light,3.69,True,['Ġaura'],['Ġlight'],1,1,-1.5256851,-0.8283639,6.49196,-1.1109418,-1.9900556,-1.0387404,0.38518962,0.00032813128,0.00065900735,0.99555796,0.00049678463,0.0002062405,0.00053397974,0.0022178378,0.05049183,3,47
4,no-rel,4,no-rel,tusk,duty,0.08,True,"['Ġt', 'usk']",['Ġduty'],2,1,-2.0161972,0.31123716,0.7923009,0.276013,3.9513845,-0.9249603,-1.1118835,0.0023055198,0.02363528,0.038237024,0.02281724,0.900444,0.006865736,0.0056951772,0.680423,4,3
2,hyp,2,hyp,place,area,4.77,True,['Ġplace'],['Ġarea'],1,1,-1.8481342,-0.8599102,5.162934,-1.2428749,-2.7884703,0.1417931,1.3629189,0.0008719408,0.0023424332,0.96684104,0.0015971577,0.00034048985,0.006378249,0.021628657,0.26126662,32,6
5,r-hyp,5,r-hyp,material,leather,1.64,True,['Ġmaterial'],['Ġleather'],1,1,-1.1599256,-0.678571,-1.0335435,-1.0048168,-1.3113067,4.959928,0.22053611,0.002152597,0.0034834712,0.002442585,0.002513771,0.0018502006,0.978997,0.008560313,0.19598876,11,2
2,hyp,2,hyp,add,calculate,5.23,True,['Ġadd'],['Ġcalculate'],1,1,-2.196679,-0.43185982,3.3643966,-1.3064857,-2.8986135,0.7522487,2.357677,0.002604131,0.015209472,0.67734087,0.0063426234,0.0012906741,0.049701087,0.24751101,1.2674239,7,6
5,r-hyp,5,r-hyp,toy,doll,2.1,True,['Ġtoy'],['Ġdoll'],1,1,-1.2321332,-0.7174936,-1.6021674,-0.8974248,-1.9242375,5.1715717,0.48058954,0.0016263212,0.0027208924,0.0011233175,0.0022728369,0.00081400905,0.98242617,0.00901638,0.16395171,8,2
2,hyp,2,hyp,instruct,inform,4.31,True,['Ġinstruct'],['Ġinform'],1,1,-1.7479091,-0.8938398,5.2105007,-1.673212,-2.4648826,-0.1357238,1.5628908,0.0009180249,0.0021566118,0.9657249,0.0009892248,0.00044820498,0.004602753,0.025160342,0.26121598,3,3
2,hyp,1,cohyp,jug,jar,2.4,False,['Ġjug'],['Ġjar'],1,1,-1.7884145,-0.4482142,5.070202,-1.2715023,-2.653243,-0.6608194,1.8646921,0.0009993511,0.0038173306,0.9514311,0.0016757535,0.00042085047,0.0030862163,0.03856934,0.33601356,4,8
6,syn,6,syn,flower,bloom,2.45,True,['Ġflower'],['Ġbloom'],1,1,-2.1677294,0.12827383,-0.30905944,0.5122675,-3.002553,1.0805961,2.7466712,0.005145266,0.05111511,0.033007905,0.07504396,0.0022327935,0.13247615,0.7009788,1.466495,4,7
2,hyp,5,r-hyp,say,claim,2.1,False,['Ġsay'],['Ġclaim'],1,1,-1.7519388,-0.82507616,3.4412446,-2.1767755,-2.5451283,1.9671102,1.7987493,0.0038352956,0.009690143,0.6905096,0.00250781,0.0017350859,0.15811071,0.13361128,1.3108213,12,11
5,r-hyp,4,no-rel,symptom,orchid,0.08,False,['Ġsymptom'],"['Ġor', 'chid']",1,2,-1.7052457,0.698152,-2.3459926,-0.2602489,1.7463633,1.9524997,-0.7479261,0.011140934,0.12322646,0.005870144,0.04725805,0.35150892,0.43197665,0.029018853,1.8976177,2,1
0,ant,1,cohyp,sitting,standing,0.15,False,['Ġsitting'],['Ġstanding'],1,1,2.983564,2.0620334,-1.5352907,-0.8649238,-1.1000694,-1.6434296,-0.74284595,0.6752958,0.26870668,0.00736174,0.014391867,0.011376131,0.006607182,0.016260535,1.2500955,16,21
6,syn,6,syn,infant,baby,3.75,True,['Ġinfant'],['Ġbaby'],1,1,-2.0638769,-0.8371358,1.5645633,-1.1138675,-2.573976,1.8215631,2.6078136,0.0049796593,0.016981129,0.18750429,0.012876075,0.0029899678,0.24245146,0.5322174,1.6765866,1,8
2,hyp,3,mero,nucleus,cell,1.23,False,['Ġnucleus'],['Ġcell'],1,1,-1.8986416,-0.74028707,5.69364,0.4303793,-2.0882354,-1.4560028,0.12719102,0.0004981936,0.0015865912,0.9878347,0.0051153945,0.00041215317,0.00077559287,0.0037775144,0.11964847,6,7
5,r-hyp,5,r-hyp,force,gravity,2.15,True,['Ġforce'],['Ġgravity'],1,1,-0.8194627,-0.63880605,-1.4266143,-1.5240877,-1.4649426,5.1460238,0.31938788,0.002521258,0.0030204775,0.0013738355,0.0012462423,0.0013221753,0.98264164,0.007874334,0.16463158,19,3
4,no-rel,4,no-rel,desire,attack,0.43,True,['Ġdesire'],['Ġattack'],1,1,-0.9006886,0.19001713,-1.0920284,-1.0237024,4.962155,-0.43213513,-1.5729322,0.002781505,0.0082788,0.002297112,0.0024595507,0.97831887,0.004443959,0.0014201301,0.20142476,6,15
2,hyp,6,syn,motorcycle,bike,5.4,False,['Ġmotorcycle'],['Ġbike'],1,1,-1.9828392,-0.88654524,5.4645715,-0.6079346,-2.5524962,-0.747191,1.4352702,0.0005688666,0.001702648,0.97584265,0.0022496965,0.00032181884,0.0019572473,0.017357076,0.19886164,2,3
2,hyp,2,hyp,god,being,4.78,True,['Ġgod'],['Ġbeing'],1,1,-1.159128,-0.7931787,6.6326537,-0.9169258,-1.4521998,-1.3060087,-0.5612918,0.00041190078,0.00059391226,0.9970577,0.00052478275,0.00030726506,0.00035563373,0.0007489098,0.036389768,4,15
5,r-hyp,5,r-hyp,communication,conversation,2.42,True,['Ġcommunication'],['Ġconversation'],1,1,-0.9424795,-0.99064445,-0.55228,-1.3211998,-1.4014858,4.7109756,0.55699015,0.0033955663,0.0032358954,0.0050161877,0.0023250703,0.0021456967,0.96867174,0.015209805,0.26862907,3,1
2,hyp,6,syn,phase,stage,4.33,False,['Ġphase'],['Ġstage'],1,1,-1.485193,-0.9516392,5.8085546,-1.6305828,-2.4117942,-0.43481684,1.0848228,0.00067070685,0.0011435426,0.9866593,0.0005799504,0.000265531,0.0019173678,0.008763477,0.123952284,6,10
