pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
2,hyp,4,no-rel,advance,take,1.42,False,['advance'],['take'],1,1,-0.84828115,-0.004566898,1.1043874,-1.5398381,-0.5074008,0.66273963,-0.46820167,0.05472498,0.12723485,0.38567263,0.027406035,0.07695345,0.24797826,0.08002986,2.35534,20,44
2,hyp,2,hyp,aura,light,3.69,True,['aura'],['light'],1,1,-0.8769723,-0.48372608,3.4215803,-0.93301916,-1.6213,0.19015165,-0.2396823,0.012151571,0.018005993,0.8942729,0.011489246,0.0057726484,0.035324696,0.022982854,0.73827696,3,47
2,hyp,4,no-rel,tusk,duty,0.08,False,"['tu', '##sk']",['duty'],2,1,-1.1766744,-0.63726026,3.9764285,-0.85443836,-1.5365283,-0.09054122,-0.6684318,0.0054828916,0.009403166,0.9483612,0.007567545,0.0038258429,0.016244683,0.009114579,0.4194045,4,3
2,hyp,2,hyp,place,area,4.77,True,['place'],['area'],1,1,-1.0216899,-0.8192059,3.9010875,-0.97822386,-1.5338745,-0.221257,-0.7789685,0.0069083245,0.0084588295,0.94909066,0.0072152205,0.0041393633,0.015381413,0.008806131,0.4162326,32,6
2,hyp,5,r-hyp,material,leather,1.64,False,['material'],['leather'],1,1,-1.6375248,0.4993266,1.2420051,1.1799272,-1.2999313,0.7541866,-0.28361812,0.016606037,0.14069828,0.29568547,0.27788806,0.023274537,0.18154031,0.064307295,2.3571482,11,2
2,hyp,2,hyp,add,calculate,5.23,True,['add'],['calculate'],1,1,-1.4175565,-0.39299715,2.952307,-1.4093481,-1.1059829,0.25165796,-0.70450187,0.010806051,0.030104231,0.85403293,0.010895115,0.014756443,0.057358485,0.022046655,0.93579906,7,6
6,syn,5,r-hyp,toy,doll,2.1,False,['toy'],['doll'],1,1,-0.5102029,0.33918738,0.19702695,0.65838844,-0.98820144,0.21440017,0.8669572,0.06565296,0.1535111,0.13316813,0.21123558,0.04070635,0.1355019,0.26022398,2.6182833,8,2
2,hyp,2,hyp,instruct,inform,4.31,True,"['ins', '##truct']",['inform'],2,1,-1.433696,-0.35903007,2.1904633,-1.2732903,-0.3949084,0.11698413,-0.9480867,0.01931926,0.05658639,0.7243407,0.022680558,0.054592147,0.09108404,0.03139698,1.505999,3,3
3,mero,1,cohyp,jug,jar,2.4,False,['jug'],['jar'],1,1,-1.1674821,0.2937934,1.1104004,1.1284465,-1.1675979,-0.015148149,0.48785338,0.029068582,0.12532789,0.28359306,0.28875726,0.029065214,0.0920187,0.15216924,2.43538,4,8
2,hyp,6,syn,flower,bloom,2.45,False,['flower'],['bloom'],1,1,-0.83826554,0.07415386,1.5511315,0.30167383,-1.3398813,0.03574425,0.7054587,0.039670132,0.09879214,0.43267882,0.12403182,0.024022311,0.09506952,0.18573536,2.314113,4,7
2,hyp,5,r-hyp,say,claim,2.1,False,['say'],['claim'],1,1,-1.0529095,-0.44090378,3.4237032,-1.1502465,-1.5959382,0.09049609,-0.3666915,0.010267754,0.018935038,0.9029082,0.00931542,0.00596542,0.032214407,0.020393703,0.6903377,12,11
2,hyp,4,no-rel,symptom,orchid,0.08,False,"['sy', '##mpt', '##om']",['orchid'],3,1,-1.2509022,0.20838453,0.773331,-1.3349108,-0.28948498,0.7161011,-0.68911994,0.039508466,0.17000052,0.29909104,0.036325,0.103330456,0.28245467,0.06928975,2.4337163,2,1
2,hyp,1,cohyp,sitting,standing,0.15,False,['sitting'],['standing'],1,1,-1.0152887,-0.2850276,3.3449006,-0.7633114,-1.7429589,0.18617341,-0.3495799,0.0113137495,0.023483079,0.88554937,0.014555897,0.005464915,0.037617937,0.022015082,0.7846553,16,21
