pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
2,hyp,4,no-rel,advance,take,1.42,False,['Ġadvance'],['Ġtake'],1,1,-0.45804927,-0.09577629,2.2817676,-1.5412639,-1.9549488,0.876188,0.61998796,0.039652526,0.056964464,0.61398566,0.013422605,0.00887515,0.15056457,0.11653503,1.7688344,20,44
2,hyp,2,hyp,aura,light,3.69,True,['Ġaura'],['Ġlight'],1,1,-1.4521674,0.63189244,3.1561344,-0.0033180225,-2.8224053,-0.24860674,0.013989537,0.008228595,0.06613348,0.8254403,0.035039097,0.002090446,0.027417345,0.035650816,1.0463382,3,47
2,hyp,4,no-rel,tusk,duty,0.08,False,"['Ġt', 'usk']",['Ġduty'],2,1,-1.544861,-0.43663102,3.766021,-1.0637671,-0.032982077,-0.69790363,-0.29099655,0.0045756698,0.013859669,0.9267048,0.0074027153,0.02075178,0.010672931,0.016032498,0.55680144,4,3
2,hyp,2,hyp,place,area,4.77,True,['Ġplace'],['Ġarea'],1,1,-1.4543802,-0.7924957,4.5343003,-1.3895999,-2.0511913,0.44055784,-0.15752968,0.002416897,0.004685014,0.964071,0.0025786469,0.0013306576,0.016077528,0.008840423,0.29914904,32,6
5,r-hyp,5,r-hyp,material,leather,1.64,True,['Ġmaterial'],['Ġleather'],1,1,-0.90918475,-0.4232796,-1.2664026,-0.30561513,-0.7462629,2.6237352,-0.02845137,0.023273531,0.03783452,0.016282631,0.04255878,0.027391661,0.79650754,0.056151308,1.2324502,11,2
2,hyp,2,hyp,add,calculate,5.23,True,['Ġadd'],['Ġcalculate'],1,1,-1.4861077,0.24714866,3.0442383,-1.418065,-2.0610294,0.4667567,0.32157314,0.00875442,0.049541716,0.81232834,0.009370828,0.004926541,0.061708573,0.053369496,1.0927125,7,6
5,r-hyp,5,r-hyp,toy,doll,2.1,True,['Ġtoy'],['Ġdoll'],1,1,-1.0172415,-0.4207338,0.13357663,-0.44179657,-1.7672551,2.687079,0.0665213,0.019303141,0.035049994,0.061012942,0.03431947,0.009118033,0.7841406,0.057055857,1.2651162,8,2
2,hyp,2,hyp,instruct,inform,4.31,True,['Ġinstruct'],['Ġinform'],1,1,-0.79155,-0.32640436,3.1780188,-1.8863419,-1.7552145,0.92052495,0.1450465,0.015537174,0.024739005,0.82287496,0.005198882,0.005927313,0.08608286,0.039639734,1.0292913,3,3
2,hyp,1,cohyp,jug,jar,2.4,False,['Ġjug'],['Ġjar'],1,1,-1.9677773,0.7447043,3.3375409,0.0792626,-2.7499647,0.2388159,-0.20594676,0.004156591,0.06262575,0.83715826,0.03219254,0.0019012428,0.037761435,0.024204185,0.98307854,4,8
1,cohyp,6,syn,flower,bloom,2.45,False,['Ġflower'],['Ġbloom'],1,1,0.26613182,1.3580235,-2.4879725,1.2910519,-1.7223722,0.094312415,0.4872921,0.11041185,0.32901692,0.007029484,0.30770376,0.015115391,0.09298128,0.13774137,2.256152,4,7
