pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
1,cohyp,1,cohyp,radish,carrot,0.09,True,"['ra', '##dis', '##h']",['carrot'],3,1,-2.4078054,6.3259463,-1.059248,-0.6699043,-1.3751874,-1.3073797,-0.4990346,0.00016046029,0.9962941,0.0006180711,0.00091228023,0.00045063786,0.00048225437,0.0010822711,0.04414531,5,4
1,cohyp,1,cohyp,swing,push,1.83,True,['swing'],['push'],1,1,0.71266645,5.5586505,-0.40156236,-2.3514946,-0.09875965,-0.2574349,-2.0410612,0.0077225915,0.982533,0.0025343094,0.00036059102,0.003430561,0.0029272065,0.000491852,0.16327454,22,15
4,no-rel,4,no-rel,rhyme,dinner,0.0,True,['rhyme'],['dinner'],1,1,-0.97776735,0.044954836,-1.7157319,-0.56266254,6.66593,-1.4438633,-2.251154,0.0004775257,0.0013278817,0.00022829846,0.00072322675,0.9968098,0.00029962225,0.00013365094,0.038087633,4,2
3,mero,4,no-rel,glass,cabinet,1.92,False,['glass'],['cabinet'],1,1,-1.374801,0.27110484,-1.8245094,5.9739485,-0.6800949,-1.2780598,-1.2771916,0.00063886226,0.0033129517,0.00040747534,0.9929529,0.0012797184,0.00070375483,0.00070436613,0.07583414,12,4
2,hyp,2,hyp,geology,study,5.38,True,['geology'],['study'],1,1,-1.1790024,-1.2209889,7.4280877,-1.9441438,-0.5188405,-1.0550982,-1.4494042,0.00018259634,0.0001750885,0.9988581,8.4956264e-05,0.00035334326,0.00020668218,0.0001393343,0.015614489,1,16
1,cohyp,1,cohyp,nitrogen,oxygen,0.31,True,['nitrogen'],['oxygen'],1,1,-0.5477904,6.3474917,-1.2284353,-1.3789502,-0.97240806,-1.1513317,-0.7850654,0.0010085364,0.99603504,0.0005106125,0.00043926193,0.00065960304,0.0005515401,0.0007955079,0.047360115,1,1
2,hyp,6,syn,reason,cause,3.46,False,['reason'],['cause'],1,1,-0.4479557,-0.9422049,7.2312493,-1.5672013,-1.6576709,-1.6909144,-0.49085385,0.00046159935,0.00028158884,0.998393,0.00015072421,0.00013768692,0.00013318488,0.0004422163,0.021074496,9,7
1,cohyp,2,hyp,chipmunk,squirrel,1.69,False,"['chip', '##mun', '##k']",['squirrel'],3,1,-2.658394,5.8110847,0.8891288,-1.22847,-1.9868327,-1.330468,-0.08760495,0.00020722202,0.9878335,0.007196236,0.0008658527,0.00040559378,0.0007818919,0.0027096632,0.11576348,1,2
6,syn,6,syn,topic,theme,3.71,True,['topic'],['theme'],1,1,-1.0985314,-0.4596979,-0.9422559,-0.39322162,-2.3466804,-1.0633491,6.215323,0.0006629709,0.0012558458,0.0007751111,0.0013421673,0.00019029627,0.00068671064,0.99508685,0.05655685,2,6
2,hyp,2,hyp,crane,bird,5.3,True,['crane'],['bird'],1,1,-1.0728126,-1.3282964,7.591543,-1.8483397,-1.0772903,-1.2491003,-0.9595973,0.00017247614,0.00013358999,0.9991049,7.941854e-05,0.0001717056,0.00014459998,0.0001931514,0.012622964,6,6
