pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
2,hyp,minor,1,cohyp,coordinated,radish,carrot,0.09,False,"['ra', '##dis', '##h']",['carrot'],3,1,9.149117,14.393689,14.733627,11.989709,6.9315677,11.644248,13.77868,0.0016988553,0.3219919,0.45235375,0.029094411,0.0001849638,0.02059576,0.17408036,1.7649597,5,4,minor,coordinated,synonym,part,major,contrary,",",and,or,random,parts,coordinate,also,small
2,hyp,minor,1,cohyp,coordinated,swing,push,1.83,False,['swing'],['push'],1,1,10.316592,11.470681,14.91053,10.472451,11.3001,12.2426195,11.412708,0.008565209,0.02716142,0.84695405,0.010009829,0.022901826,0.058776136,0.025631566,0.9701577,22,15,minor,major,coordinated,synonym,random,part,contrary,small,or,partial,related,general,short,lesser
4,no-rel,random,4,no-rel,random,rhyme,dinner,0.0,True,['rhyme'],['dinner'],1,1,8.427556,10.864779,9.873343,13.256677,13.919241,10.401302,10.244438,0.0025138054,0.028761022,0.0106715895,0.3144793,0.6100144,0.01809334,0.015466552,1.3964622,4,2,random,part,coordinated,major,synonym,minor,contrary,at,in,key,reference,parts,randomly,coordination
3,mero,part,4,no-rel,random,glass,cabinet,1.92,False,['glass'],['cabinet'],1,1,7.556916,11.379679,11.934345,13.803643,8.122394,10.366035,12.566513,0.0012332229,0.056395736,0.09820529,0.6367378,0.0021708272,0.020465698,0.18479145,1.5735104,12,4,part,synonym,minor,coordinated,major,random,parts,contrary,in,",",full,coordinate,or,section
2,hyp,minor,2,hyp,minor,geology,study,5.38,True,['geology'],['study'],1,1,8.243378,10.027362,20.106213,10.805533,10.1530695,11.213342,13.897426,7.031088e-06,4.185979e-05,0.99766856,9.114915e-05,4.746693e-05,0.00013704447,0.0020069862,0.02573671,1,16,minor,synonym,major,part,random,coordinated,small,contrary,unrelated,local,related,a,specific,short
2,hyp,minor,1,cohyp,coordinated,nitrogen,oxygen,0.31,False,['nitrogen'],['oxygen'],1,1,11.568934,14.074627,16.193558,12.772661,7.078331,11.457001,13.94024,0.007682521,0.09412656,0.7833433,0.025602102,8.615083e-05,0.006868969,0.0822903,1.1332219,1,1,minor,coordinated,synonym,part,contrary,major,coordinate,related,non,random,partial,complementary,also,coordination
2,hyp,minor,6,syn,synonym,reason,cause,3.46,False,['reason'],['cause'],1,1,9.602875,10.787466,15.922042,10.477839,9.224698,11.80226,13.79323,0.0015685548,0.005128155,0.87072116,0.0037626342,0.0010746317,0.014147533,0.103597164,0.69419825,9,7,minor,synonym,major,coordinated,part,contrary,random,or,small,",",lesser,specific,short,principal
2,hyp,minor,2,hyp,minor,chipmunk,squirrel,1.69,True,"['chip', '##mun', '##k']",['squirrel'],3,1,8.888472,13.641761,15.81536,12.474377,6.7341285,11.584438,13.822292,0.00075402635,0.08744074,0.7685922,0.027209798,8.7451444e-05,0.011174548,0.10474122,1.1631233,1,2,minor,synonym,coordinated,part,major,contrary,or,",",and,also,related,sometimes,small,random
6,syn,synonym,6,syn,synonym,topic,theme,3.71,True,['topic'],['theme'],1,1,8.877444,10.986379,13.837366,11.401061,7.357258,12.654681,15.129324,0.0013751432,0.011330433,0.19607157,0.017153027,0.0003007041,0.06008708,0.71368206,1.2423836,2,6,synonym,minor,major,part,coordinated,contrary,or,random,",",full,also,sometimes,principal,short
2,hyp,minor,2,hyp,minor,crane,bird,5.3,True,['crane'],['bird'],1,1,7.134573,10.923833,22.544151,8.778027,9.102054,10.066647,12.716257,2.0308367e-07,8.981104e-06,0.9999306,1.0505528e-06,1.4525832e-06,3.811171e-06,5.3922457e-05,0.0011373643,6,6,minor,synonym,coordinated,small,major,lesser,random,unrelated,a,part,type,miscellaneous,local,specific
2,hyp,minor,2,hyp,minor,winter,season,5.83,True,['winter'],['season'],1,1,9.129431,11.840797,18.312254,10.539783,9.705077,9.69825,11.744055,0.00010239677,0.001541054,0.99617517,0.00041956018,0.0001820901,0.00018085114,0.0013989528,0.043742787,2,6,minor,coordinated,synonym,part,random,major,contrary,sub,a,an,small,natural,unrelated,related
6,syn,synonym,1,cohyp,coordinated,chair,bench,2.36,False,['chair'],['bench'],1,1,8.195197,12.514472,13.620373,11.5373745,6.3396926,11.140863,13.814103,0.0015968486,0.119977824,0.36256644,0.0451599,0.00024970566,0.030377382,0.44007188,1.7916052,7,9,synonym,minor,coordinated,part,major,or,contrary,",",also,and,sometimes,abbreviated,random,full
2,hyp,minor,2,hyp,minor,bat,club,3.6,True,['bat'],['club'],1,1,7.7253265,11.844911,13.722868,13.504093,6.3778787,10.6567545,12.466973,0.0010846352,0.06674155,0.43649855,0.35072777,0.0002818996,0.020341672,0.12432392,1.815086,10,11,minor,part,synonym,coordinated,major,contrary,or,",",also,abbreviated,parts,random,short,in
2,hyp,minor,5,r-hyp,major,annoy,tease,3.7,False,"['ann', '##oy']",['tease'],2,1,7.687473,10.012538,13.438355,9.750026,7.699736,12.974459,12.323042,0.0015737946,0.016095743,0.4949082,0.012379509,0.0015932134,0.31121236,0.1622371,1.6557709,1,12,minor,major,synonym,coordinated,part,random,contrary,or,",",general,main,specific,principal,and
