pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,radish,carrot,0.09,True,"['Ġrad', 'ish']",['Ġcarrot'],2,1,55.02695,60.91759,55.144455,50.959286,53.202682,53.24098,54.44709,0.0027422246,0.9916892,0.0030841422,4.6939505e-05,0.0004424186,0.0004596899,0.001535581,0.08605658,5,4,Ġcoordinated,Ġsubclass,Ġcontrary,Ġequivalent,Ġmajor,Ġrandom,Ġcoordinate,Ġsimilar,Ġrelated,Ġsynchronized,Ġopposite,Ġpart,Ġunrelated,Ġcoordination
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,swing,push,1.83,True,['Ġswing'],['Ġpush'],1,1,56.820587,58.920685,57.6778,52.443565,57.213406,54.11497,54.99666,0.07549745,0.6165852,0.17791589,0.0009484531,0.111823,0.00504543,0.012184565,1.633644,22,15,Ġcoordinated,Ġsubclass,Ġrandom,Ġcontrary,Ġequivalent,Ġmajor,Ġindependent,Ġpart,Ġcoordinate,Ġopposite,Ġgeneralized,Ġunrelated,Ġdifferent,Ġsynchronized
4,no-rel,Ġrandom,4,no-rel,Ġrandom,rhyme,dinner,0.0,True,"['Ġrhy', 'me']",['Ġdinner'],2,1,54.26375,56.40913,54.56431,53.310303,62.06058,53.394157,52.670193,0.00040903332,0.0034953144,0.0005524465,0.00015764587,0.995131,0.00017143528,8.311633e-05,0.05137515,4,2,Ġrandom,Ġcoordinated,Ġsubclass,Ġcontrary,Ġrandomly,Ġmajor,Ġpart,Ġrandomized,ĠRandom,Ġequivalent,Ġunrelated,Ġspontaneous,Ġindependent,Ġaccidental
4,no-rel,Ġrandom,4,no-rel,Ġrandom,glass,cabinet,1.92,True,['Ġglass'],['Ġcabinet'],1,1,53.75209,57.06391,56.241367,57.396313,61.09144,53.00034,52.75428,0.00061755517,0.01694265,0.0074431193,0.023623344,0.9508544,0.00029120207,0.00022768385,0.36184087,12,4,Ġrandom,Ġpart,Ġcoordinated,Ġsubclass,Ġrandomly,Ġcontrary,Ġmajor,Ġequivalent,Ġrandomized,Ġindependent,ĠRandom,Ġaccidental,Ġunexpected,Ġorganized
2,hyp,Ġsubclass,2,hyp,Ġsubclass,geology,study,5.38,True,"['Ġge', 'ology']",['Ġstudy'],2,1,51.55761,55.82031,61.742146,54.651974,56.77317,55.245575,54.72687,3.7268524e-05,0.002646116,0.9872564,0.00082263554,0.0068616965,0.0014893789,0.0008866152,0.12219477,1,16,Ġsubclass,Ġrandom,Ġcoordinated,Ġmajor,Ġequivalent,Ġpart,Ġclass,Ġkind,Ġfield,Ġtype,Ġgroup,Ġsystem,Ġorganized,Ġsystematic
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,nitrogen,oxygen,0.31,True,['Ġnitrogen'],['Ġoxygen'],1,1,58.176937,61.282665,54.80137,50.337128,53.1722,52.47834,53.682228,0.042769246,0.95484346,0.0014626514,1.6840137e-05,0.0002868148,0.00014330534,0.00047764392,0.28265268,1,1,Ġcoordinated,Ġcontrary,Ġsubclass,Ġequivalent,Ġrandom,Ġopposite,Ġcoordinate,Ġmajor,Ġsynchronized,Ġindependent,Ġcounter,Ġperpendicular,Ġcoordination,Ġdifferent
2,hyp,Ġsubclass,6,syn,Ġequivalent,reason,cause,3.46,False,['Ġreason'],['Ġcause'],1,1,54.63182,57.514065,59.85708,53.003487,54.616013,55.138153,56.933357,0.0045957435,0.082053766,0.85439056,0.0009019434,0.0045236647,0.007625234,0.04590927,0.8277221,9,7,Ġsubclass,Ġcoordinated,Ġequivalent,Ġmajor,Ġcontrary,Ġrandom,Ġpart,Ġindependent,Ġrelated,Ġcoordinate,Ġopposite,Ġgeneralized,Ġsimilar,Ġdifferent
2,hyp,Ġsubclass,2,hyp,Ġsubclass,chipmunk,squirrel,1.69,True,"['Ġchip', 'm', 'unk']",['Ġsquirrel'],3,1,52.523804,58.693073,59.19881,52.701256,53.106388,55.34937,58.083355,0.00064484857,0.3081325,0.51094764,0.0007700594,0.0011547047,0.010878906,0.16747122,1.547073,1,2,Ġsubclass,Ġcoordinated,Ġequivalent,Ġmajor,Ġsimilar,Ġrandom,Ġpart,Ġcontrary,Ġrelated,Ġcoordinate,Ġvariant,Ġgeneralized,Ġmodified,Ġspecialized
6,syn,Ġequivalent,6,syn,Ġequivalent,topic,theme,3.71,True,['Ġtopic'],['Ġtheme'],1,1,54.124355,57.5127,57.739914,53.929806,53.757347,58.68024,58.83186,0.0036327795,0.10759153,0.13503806,0.0029905236,0.002516804,0.34580788,0.40242243,1.8706002,2,6,Ġequivalent,Ġmajor,Ġsubclass,Ġcoordinated,Ġcontrary,Ġpart,Ġrandom,ĠMajor,Ġsimilar,Ġmain,Ġopposite,Ġrelated,Ġcoordinate,Ġcomparable
2,hyp,Ġsubclass,2,hyp,Ġsubclass,crane,bird,5.3,True,['Ġcrane'],['Ġbird'],1,1,51.87486,56.7565,64.38661,54.342552,55.253044,54.306103,56.38868,3.679362e-06,0.00048511245,0.99898237,4.339884e-05,0.00010786977,4.1845455e-05,0.00033581484,0.013409198,6,6,Ġsubclass,Ġcoordinated,Ġequivalent,Ġclass,Ġrandom,Ġkind,Ġtype,Ġpart,Ġmajor,Ġcategory,Ġclassified,Ġspecies,Ġgroup,Ġsort
