pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,cohyp,coordinated,1,cohyp,coordinated,radish,carrot,0.09,True,"['ra', '##dis', '##h']",['carrot'],3,1,9.1176605,15.228659,13.67182,11.272619,11.0434265,12.430926,13.1568365,0.0015466529,0.6972133,0.1469735,0.013343801,0.010610661,0.042493835,0.087818235,1.438304,5,4,coordinated,minor,synonym,major,part,random,contrary,coordination,specific,component,additive,coordinate,parts,relative
2,hyp,minor,1,cohyp,coordinated,swing,push,1.83,False,['swing'],['push'],1,1,11.642191,14.308952,15.107297,7.7577467,13.549541,12.920932,10.972039,0.017172499,0.24716856,0.5491739,0.0003530537,0.115660556,0.061685566,0.008785982,1.7458564,22,15,minor,coordinated,random,major,contrary,synonym,part,coordinate,independent,negative,symmetric,opposite,center,constant
4,no-rel,random,4,no-rel,random,rhyme,dinner,0.0,True,['rhyme'],['dinner'],1,1,3.2526298,9.941002,8.476948,10.457247,16.428513,9.251723,4.908,1.8859664e-06,0.0015144567,0.0003502888,0.0025378105,0.9948256,0.0007601634,9.873063e-06,0.05561055,4,2,random,part,coordinated,major,minor,constant,time,characteristic,regular,parameter,normal,control,length,order
3,mero,part,4,no-rel,random,glass,cabinet,1.92,False,['glass'],['cabinet'],1,1,4.2054176,10.792854,9.136522,15.9229145,12.229821,8.373056,8.165728,7.890358e-06,0.0057277502,0.0010930706,0.9681461,0.024101876,0.0005094237,0.00041403537,0.23852779,12,4,part,random,coordinated,minor,major,synonym,component,parts,member,material,coordinate,piece,unit,property
2,hyp,minor,2,hyp,minor,geology,study,5.38,True,['geology'],['study'],1,1,4.232145,9.627633,16.550705,7.043474,12.257419,11.062353,8.969439,4.3831515e-06,0.0009660889,0.98099995,7.2900606e-05,0.013400421,0.0040560947,0.0005002266,0.15899052,1,16,minor,random,major,field,coordinated,subject,synonym,part,topic,type,minors,trivial,medium,mode
1,cohyp,coordinated,1,cohyp,coordinated,nitrogen,oxygen,0.31,True,['nitrogen'],['oxygen'],1,1,10.959515,16.821827,13.8201885,11.701136,10.088753,11.49691,13.748654,0.0025607806,0.90020674,0.044745285,0.0053759385,0.0010720259,0.004382887,0.04165627,0.6355851,1,1,coordinated,minor,synonym,part,major,contrary,random,opposite,coordinate,coordination,equal,independent,neutral,equivalent
2,hyp,minor,6,syn,synonym,reason,cause,3.46,False,['reason'],['cause'],1,1,9.884319,10.71527,17.174946,9.201372,11.260122,10.867305,12.90419,0.0006678201,0.0015329813,0.97935104,0.0003373334,0.0026434017,0.0017846979,0.013682729,0.17839552,9,7,minor,synonym,random,major,coordinated,contrary,part,lesser,independent,coordinate,specific,separate,multiple,lack
2,hyp,minor,2,hyp,minor,chipmunk,squirrel,1.69,True,"['chip', '##mun', '##k']",['squirrel'],3,1,5.459012,13.267411,16.823896,11.2635765,8.916057,10.525535,13.493012,1.08333015e-05,0.026662784,0.93425924,0.0035946048,0.0003436657,0.0017183975,0.033410493,0.4440105,1,2,minor,synonym,coordinated,part,major,random,type,kind,coordinate,unrelated,coordination,relative,species,subspecies
2,hyp,minor,6,syn,synonym,topic,theme,3.71,False,['topic'],['theme'],1,1,9.882904,11.378903,14.848562,11.765932,9.815577,13.538554,13.715683,0.0041449345,0.018502139,0.59439564,0.027246226,0.0038750535,0.16037858,0.19145752,1.6381475,2,6,minor,synonym,major,part,coordinated,contrary,random,plural,separate,unrelated,different,subset,coordinate,non
2,hyp,minor,2,hyp,minor,crane,bird,5.3,True,['crane'],['bird'],1,1,3.0577888,11.173715,18.97619,6.804039,10.962276,9.319643,10.391627,1.2198144e-07,0.0004083152,0.99900526,5.167369e-06,0.0003304982,6.394144e-05,0.00018678384,0.013150973,6,6,minor,coordinated,random,synonym,major,type,small,kind,part,lesser,unrelated,species,name,class
2,hyp,minor,2,hyp,minor,winter,season,5.83,True,['winter'],['season'],1,1,10.523804,12.109043,15.518067,10.604647,11.174931,8.162639,9.024495,0.0063790074,0.031132488,0.94131345,0.006916124,0.012233026,0.000601606,0.0014243333,0.43173304,2,6,minor,coordinated,random,part,contrary,synonym,major,coordinate,center,change,number,type,kind,time
1,cohyp,coordinated,1,cohyp,coordinated,chair,bench,2.36,True,['chair'],['bench'],1,1,11.445869,14.36377,11.470092,11.337442,7.8419757,11.228867,14.052598,0.027924431,0.5166688,0.028609084,0.025055038,0.00076003425,0.022477148,0.37850544,1.5777959,7,9,coordinated,synonym,minor,contrary,part,major,random,coordinate,opposite,coordination,parallel,separate,related,different
