pred_label,pred_rel,pred_verb_token,real_label,real_rel,real_verb_token,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target,best_tok#1,best_tok#2,best_tok#3,best_tok#4,best_tok#5,best_tok#6,best_tok#7,best_tok#8,best_tok#9,best_tok#10,best_tok#11,best_tok#12,best_tok#13,best_tok#14
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,radish,carrot,0.09,True,"['Ġrad', 'ish']",['Ġcarrot'],2,1,15.643933,21.132288,16.74207,16.473902,13.026919,13.595142,16.741245,0.0039785355,0.9622444,0.011929923,0.009123762,0.00029051496,0.00051279605,0.011920096,0.30839166,5,4,Ġcoordinated,Ġsubclass,Ġequivalent,Ġpart,Ġcontrary,Ġmajor,Ġrandom,Ġrelated,Ġcoordinate,Ġsimilar,Ġcoordination,Ġopposite,Ġsynchronized,Ġsister
2,hyp,Ġsubclass,1,cohyp,Ġcoordinated,swing,push,1.83,False,['Ġswing'],['Ġpush'],1,1,16.894686,17.247564,18.896769,11.643738,15.10693,13.096274,14.310862,0.09902864,0.14093344,0.73325384,0.0005191623,0.016570983,0.0022188693,0.0074751554,1.2330321,22,15,Ġsubclass,Ġcoordinated,Ġcontrary,Ġrandom,Ġequivalent,Ġmajor,Ġpart,Ġcounter,Ġopposite,Ġindependent,Ġsimilar,Ġcombined,Ġdifferent,Ġcontrolled
4,no-rel,Ġrandom,4,no-rel,Ġrandom,rhyme,dinner,0.0,True,"['Ġrhy', 'me']",['Ġdinner'],2,1,12.851675,15.715458,13.3970375,17.197657,19.339598,13.396118,12.861919,0.0013204609,0.023144651,0.0022781035,0.101896994,0.86774987,0.00227601,0.0013340577,0.70441395,4,2,Ġrandom,Ġpart,Ġcoordinated,Ġsubclass,Ġmajor,Ġequivalent,Ġcontrary,Ġrandomly,Ġcomponent,Ġtypical,Ġrelated,Ġone,Ġorder,Ġcomposed
3,mero,Ġpart,4,no-rel,Ġrandom,glass,cabinet,1.92,False,['Ġglass'],['Ġcabinet'],1,1,12.725796,16.20773,11.512772,21.314308,16.223106,14.59262,14.168662,0.00018358165,0.005970543,5.457825e-05,0.9857637,0.0060630618,0.0011873554,0.00077706645,0.13177745,12,4,Ġpart,Ġrandom,Ġcoordinated,Ġmajor,Ġequivalent,Ġcomponent,Ġcontrary,Ġparts,Ġportion,ĠPart,Ġsubclass,Ġmajority,Ġcommon,Ġhalf
2,hyp,Ġsubclass,2,hyp,Ġsubclass,geology,study,5.38,True,"['Ġge', 'ology']",['Ġstudy'],2,1,11.328721,14.240506,21.01841,15.364514,16.59117,12.7523985,14.1830225,6.082481e-05,0.0011185438,0.9823338,0.0034419417,0.011736349,0.00025256665,0.0010560588,0.15396613,1,16,Ġsubclass,Ġrandom,Ġpart,Ġcoordinated,Ġequivalent,Ġclass,Ġgroup,Ġcategory,Ġmajor,Ġfield,Ġbranch,Ġtype,Ġsort,Ġkind
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,nitrogen,oxygen,0.31,True,['Ġnitrogen'],['Ġoxygen'],1,1,16.683376,19.65625,16.521341,14.584635,12.021123,13.691814,15.875859,0.04539954,0.88747084,0.03860829,0.005566466,0.0004288057,0.0022794635,0.02024656,0.7170493,1,1,Ġcoordinated,Ġcontrary,Ġsubclass,Ġequivalent,Ġpart,Ġmajor,Ġcoordinate,Ġrandom,Ġopposite,Ġrelated,Ġsimilar,Ġcounter,Ġsuperior,Ġcoordination
2,hyp,Ġsubclass,6,syn,Ġequivalent,reason,cause,3.46,False,['Ġreason'],['Ġcause'],1,1,15.90882,14.896624,18.08834,12.300274,12.320548,14.283707,17.215998,0.07065719,0.025678223,0.62475556,0.0019141883,0.0019533928,0.013911647,0.26112977,1.4562864,9,7,Ġsubclass,Ġequivalent,Ġcontrary,Ġcoordinated,Ġmajor,Ġrandom,Ġpart,Ġsuperior,Ġopposite,Ġcounter,Ġdifferent,Ġrelated,Ġsimilar,Ġindependent
1,cohyp,Ġcoordinated,2,hyp,Ġsubclass,chipmunk,squirrel,1.69,False,"['Ġchip', 'm', 'unk']",['Ġsquirrel'],3,1,15.811423,19.619404,16.917883,13.910948,12.528398,12.627665,16.40123,0.019563701,0.8815277,0.05915349,0.0029247247,0.000733924,0.0008105171,0.035285864,0.72354656,1,2,Ġcoordinated,Ġsubclass,Ġequivalent,Ġcontrary,Ġpart,Ġmajor,Ġrandom,Ġopposite,Ġrelated,Ġsimilar,Ġsynchronized,Ġcoordination,Ġsuperior,Ġcoordinate
6,syn,Ġequivalent,6,syn,Ġequivalent,topic,theme,3.71,True,['Ġtopic'],['Ġtheme'],1,1,15.384326,16.150063,16.652077,15.429188,12.098993,16.390753,18.568415,0.02884519,0.06203383,0.1024827,0.030168705,0.0010796215,0.078914896,0.696475,1.5487634,2,6,Ġequivalent,Ġsubclass,Ġmajor,Ġcoordinated,Ġpart,Ġcontrary,Ġrandom,Ġrelated,Ġsimilar,Ġprecursor,Ġopposite,Ġindependent,Ġcounter,Ġsuperior
2,hyp,Ġsubclass,2,hyp,Ġsubclass,crane,bird,5.3,True,['Ġcrane'],['Ġbird'],1,1,9.936108,13.037874,23.824345,13.570898,13.98008,11.968839,14.426723,9.296692e-07,2.0673242e-05,0.9998,3.52288e-05,5.303996e-05,7.09794e-06,8.290442e-05,0.0031485192,6,6,Ġsubclass,Ġclass,Ġequivalent,Ġrandom,Ġgroup,Ġpart,Ġtype,Ġcoordinated,Ġcategory,Ġsort,Ġkind,Ġmajor,Ġorder,Ġspecies
2,hyp,Ġsubclass,2,hyp,Ġsubclass,winter,season,5.83,True,['Ġwinter'],['Ġseason'],1,1,12.711533,13.652441,22.078613,16.022514,14.013547,12.729893,14.797383,8.5174244e-05,0.00021824265,0.99627614,0.0023347985,0.00031315975,8.6752494e-05,0.0006857751,0.04160339,2,6,Ġsubclass,Ġpart,Ġequivalent,Ġrandom,Ġcoordinated,Ġclass,Ġmajor,Ġcontrary,Ġcategory,Ġsort,Ġkind,Ġgroup,Ġsubset,Ġtype
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,chair,bench,2.36,True,['Ġchair'],['Ġbench'],1,1,17.293129,18.90838,16.043955,15.6495695,11.640409,15.21559,17.591602,0.12522335,0.62976736,0.035906732,0.024204522,0.00043927899,0.015682722,0.16877599,1.6298823,7,9,Ġcoordinated,Ġequivalent,Ġcontrary,Ġsubclass,Ġpart,Ġmajor,Ġopposite,Ġsimilar,Ġrandom,Ġsuperior,Ġcoordinate,Ġcoordination,Ġcounter,Ġdifferent
3,mero,Ġpart,2,hyp,Ġsubclass,bat,club,3.6,False,['Ġbat'],['Ġclub'],1,1,10.60978,15.500147,14.87462,18.48666,17.368912,11.6382885,12.408504,0.00026943113,0.035834964,0.019170979,0.7101223,0.23222086,0.0007535693,0.0016278835,1.1474158,10,11,Ġpart,Ġrandom,Ġcoordinated,Ġsubclass,Ġequivalent,Ġmajor,Ġmember,ĠPart,Ġorganized,Ġcontrary,Ġrequired,Ġone,Ġrandomly,Ġsort
0,ant,Ġcontrary,5,r-hyp,Ġmajor,annoy,tease,3.7,False,['Ġannoy'],['Ġtease'],1,1,17.160988,15.796457,16.196177,12.73437,14.789521,16.35562,15.65302,0.41491422,0.106010824,0.15810518,0.0049602403,0.038729638,0.18543482,0.09184513,2.2773318,1,12,Ġcontrary,Ġmajor,Ġsubclass,Ġcoordinated,Ġequivalent,Ġrandom,Ġpart,Ġopposite,Ġsuperior,Ġrelated,Ġminor,Ġcounter,Ġdifferent,Ġsimilar
2,hyp,Ġsubclass,1,cohyp,Ġcoordinated,rearrange,organize,5.0,False,"['Ġrearr', 'ange']",['Ġorganize'],2,1,14.829303,15.868369,20.187748,12.6256895,13.104293,14.141534,16.078535,0.0045351484,0.012818945,0.9632404,0.0005006963,0.0008080332,0.0022798027,0.015817076,0.296349,1,6,Ġsubclass,Ġequivalent,Ġcoordinated,Ġcontrary,Ġmajor,Ġrandom,Ġpart,Ġgroup,Ġclass,Ġrelated,Ġcounter,Ġsort,Ġopposite,Ġorganized
2,hyp,Ġsubclass,2,hyp,Ġsubclass,technique,knowledge,2.55,True,['Ġtechnique'],['Ġknowledge'],1,1,14.421692,14.820333,20.900862,13.855011,17.907629,11.823341,15.393331,0.0014495761,0.0021595757,0.94429725,0.0008224976,0.047333024,0.00010784294,0.0038301726,0.359787,2,1,Ġsubclass,Ġrandom,Ġequivalent,Ġcoordinated,Ġcontrary,Ġpart,Ġmajor,Ġclass,Ġgroup,Ġsubset,Ġcomposed,Ġsort,Ġcollection,Ġcategory
2,hyp,Ġsubclass,6,syn,Ġequivalent,spouse,mate,4.67,False,['Ġspouse'],['Ġmate'],1,1,16.70122,15.900679,18.94897,13.821541,11.488234,14.36339,18.09395,0.06622747,0.029741827,0.6269373,0.003718858,0.00036063438,0.006393397,0.26662043,1.4217405,1,13,Ġsubclass,Ġequivalent,Ġcontrary,Ġcoordinated,Ġmajor,Ġpart,Ġsuperior,Ġopposite,Ġrandom,Ġsimilar,Ġequal,Ġcounter,Ġdifferent,Ġindependent
1,cohyp,Ġcoordinated,1,cohyp,Ġcoordinated,jupiter,pluto,0.33,True,"['Ġj', 'upiter']","['Ġpl', 'uto']",2,2,18.177988,18.778185,13.56412,9.971804,13.647998,13.588053,14.551005,0.3471988,0.632762,0.003441921,9.477147e-05,0.0037430746,0.0035252883,0.009234209,1.0984156,2,3,Ġcoordinated,Ġcontrary,Ġequivalent,Ġrandom,Ġmajor,Ġsubclass,Ġopposite,Ġsuperior,Ġsimilar,Ġcounter,Ġsynchronized,Ġdifferent,Ġequal,Ġindependent
2,hyp,Ġsubclass,2,hyp,Ġsubclass,perch,fish,3.69,True,"['Ġper', 'ch']",['Ġfish'],2,1,11.696162,14.794542,22.668509,13.378627,13.140239,10.576849,15.0147705,1.7152128e-05,0.0003801258,0.99895847,9.22578e-05,7.268963e-05,5.6002373e-06,0.000473774,0.01365802,10,6,Ġsubclass,Ġclass,Ġequivalent,Ġcoordinated,Ġgroup,Ġpart,Ġrandom,Ġcategory,Ġorder,Ġcontrary,Ġtype,Ġsort,Ġclasses,Ġmajor
2,hyp,Ġsubclass,2,hyp,Ġsubclass,canoe,boat,6.0,True,['Ġcanoe'],['Ġboat'],1,1,15.044682,17.528576,19.18126,13.066647,10.146763,12.615952,16.438263,0.012525156,0.1501498,0.7839277,0.0017327403,9.346394e-05,0.0011040765,0.050467044,1.010635,2,3,Ġsubclass,Ġcoordinated,Ġequivalent,Ġcontrary,Ġpart,Ġmajor,Ġcoordination,Ġsimilar,Ġopposite,Ġsuperior,Ġcombined,Ġcounter,Ġvariant,Ġrelated
2,hyp,Ġsubclass,6,syn,Ġequivalent,cue,clue,2.23,False,['Ġcue'],['Ġclue'],1,1,13.868213,15.757861,19.20558,13.948905,11.273771,14.054545,17.974705,0.0035883663,0.023744373,0.7462526,0.0038899228,0.0002680064,0.004323347,0.21793331,1.0196964,5,3,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġpart,Ġcontrary,Ġsimilar,Ġrandom,Ġrelated,Ġanalogous,Ġvariant,Ġcounter,Ġopposite,Ġclass
2,hyp,Ġsubclass,2,hyp,Ġsubclass,talk,communicate,5.55,True,['Ġtalk'],['Ġcommunicate'],1,1,10.734633,13.797945,19.848442,15.52677,12.270798,14.580639,15.540885,0.000106422696,0.002277265,0.9662979,0.0128301745,0.0004945178,0.004981191,0.013012561,0.27486092,11,7,Ġsubclass,Ġequivalent,Ġpart,Ġmajor,Ġcoordinated,Ġclass,Ġrandom,Ġgroup,Ġtype,Ġsort,Ġcategory,Ġkind,Ġform,Ġsubset
4,no-rel,Ġrandom,4,no-rel,Ġrandom,subtraction,mansion,0.0,True,"['Ġsubt', 'raction']",['Ġmansion'],2,1,15.483065,12.961125,10.686748,12.172418,21.57476,16.132607,11.896937,0.0022459896,0.00018036131,1.8552126e-05,8.1961894e-05,0.99311054,0.004300314,6.2226085e-05,0.067989185,2,2,Ġrandom,Ġmajor,Ġcontrary,Ġcoordinated,Ġpart,Ġequivalent,Ġcommon,Ġunexpected,ĠRandom,Ġsurprising,Ġarbitrary,Ġrandomized,Ġsignificant,Ġrandomly
2,hyp,Ġsubclass,1,cohyp,Ġcoordinated,chain,link,4.0,False,['Ġchain'],['Ġlink'],1,1,13.291221,15.76586,19.614819,13.377439,11.157253,14.052042,17.452675,0.0015674814,0.018617632,0.8739892,0.0017086235,0.00018553769,0.0033544623,0.10057708,0.67028576,12,13,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġpart,Ġcontrary,Ġrandom,Ġgroup,Ġsimilar,Ġclass,Ġvariant,Ġrelated,Ġbranch,Ġsubset
3,mero,Ġpart,6,syn,Ġequivalent,sub,submarine,1.92,False,['Ġsub'],['Ġsubmarine'],1,1,10.649295,14.737173,17.396017,18.691534,11.10994,14.555438,15.799252,0.0002355623,0.01404264,0.20052569,0.7324971,0.00037338876,0.011709065,0.0406166,1.1501739,3,8,Ġpart,Ġsubclass,Ġequivalent,Ġcoordinated,Ġmajor,Ġcomponent,Ġportion,Ġvariant,Ġsection,Ġrandom,ĠPart,Ġsubset,Ġbranch,Ġclass
4,no-rel,Ġrandom,4,no-rel,Ġrandom,liver,biologist,0.23,True,['Ġliver'],['Ġbiologist'],1,1,11.572262,15.015223,9.822601,16.615963,21.578926,12.693735,11.845637,4.4711473e-05,0.0013985494,7.772327e-06,0.0069321916,0.99142087,0.00013723619,5.876848e-05,0.078670435,5,1,Ġrandom,Ġpart,Ġcoordinated,Ġmajor,Ġequivalent,Ġrandomly,ĠRandom,Ġcontrary,Ġorgan,Ġspecialized,Ġselected,Ġsubclass,Ġparts,Ġchosen
