pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
1,cohyp,1,cohyp,radish,carrot,0.09,True,"['Ġrad', 'ish']",['Ġcarrot'],2,1,-0.7133187,6.596908,-0.27763903,-0.7788003,-1.5362848,-1.2998629,-0.68477,0.00066621206,0.99633116,0.0010299732,0.000623985,0.00029255185,0.00037057803,0.0006855056,0.04403972,5,4
2,hyp,1,cohyp,swing,push,1.83,False,['Ġswing'],['Ġpush'],1,1,0.1763434,2.265374,5.623931,-2.4622273,-1.3545537,-1.8247302,-1.5033473,0.0041342163,0.0333924,0.9599539,0.0002954447,0.0008944025,0.0005589051,0.0007707486,0.279636,22,15
4,no-rel,4,no-rel,rhyme,dinner,0.0,True,"['Ġrhy', 'me']",['Ġdinner'],2,1,-1.1134367,-0.95995885,-0.47265828,-1.0356597,6.8251143,-0.34504682,-1.5572265,0.00035571516,0.00041472178,0.0006751323,0.00038448593,0.9971746,0.0007670254,0.000228227,0.034976576,4,2
4,no-rel,4,no-rel,glass,cabinet,1.92,True,['Ġglass'],['Ġcabinet'],1,1,-2.1032703,-0.94877,-1.0056183,2.9856462,4.3192067,-1.4395763,-1.6919113,0.0012684559,0.004024096,0.0038017132,0.20576128,0.78076726,0.0024632812,0.0019139309,0.86150897,12,4
2,hyp,2,hyp,geology,study,5.38,True,"['Ġge', 'ology']",['Ġstudy'],2,1,-1.9827083,-0.92828053,7.4509664,-1.122192,-1.3101386,-1.6875341,-1.3033109,7.991116e-05,0.00022937164,0.9990802,0.00018894048,0.00015656726,0.00010734952,0.00015763985,0.012910122,1,16
1,cohyp,1,cohyp,nitrogen,oxygen,0.31,True,['Ġnitrogen'],['Ġoxygen'],1,1,-0.18063924,6.096901,-0.102662474,-0.2580444,-1.2305897,-1.3204745,-1.3257929,0.0018640305,0.9925539,0.0020151988,0.0017251881,0.00065232685,0.00059625064,0.00059308804,0.081132926,1,1
2,hyp,6,syn,reason,cause,3.46,False,['Ġreason'],['Ġcause'],1,1,-1.7884339,-0.51663876,5.845274,-0.83386403,-2.273873,-2.5492768,1.5510668,0.00047547687,0.0016961453,0.9826676,0.0012350763,0.0002926212,0.00022217733,0.013410847,0.14713156,9,7
2,hyp,2,hyp,chipmunk,squirrel,1.69,True,"['Ġchip', 'm', 'unk']",['Ġsquirrel'],3,1,-1.9609239,-0.0025564593,7.386527,-1.010372,-1.5526441,-2.2550113,-0.9210695,8.7067776e-05,0.00061711454,0.9986285,0.00022525631,0.00013096987,6.48839e-05,0.00024629792,0.018005233,1,2
6,syn,6,syn,topic,theme,3.71,True,['Ġtopic'],['Ġtheme'],1,1,-1.8995285,-0.58528274,-1.7087066,-0.5825376,-2.8839412,0.568871,5.7429495,0.00047466584,0.001766679,0.0005744613,0.0017715354,0.00017736306,0.0056027374,0.9896326,0.10276994,2,6
2,hyp,2,hyp,crane,bird,5.3,True,['Ġcrane'],['Ġbird'],1,1,-1.6452792,-0.9634519,7.5432343,-1.4482954,-1.3716394,-1.840941,-1.2434168,0.00010212497,0.00020195094,0.99920076,0.00012436011,0.00013426789,8.397639e-05,0.00015263652,0.011397824,6,6
2,hyp,2,hyp,winter,season,5.83,True,['Ġwinter'],['Ġseason'],1,1,-1.7262304,-1.0110513,7.536882,-1.4225851,-1.5001704,-1.6845185,-0.9681169,9.478026e-05,0.00019378313,0.99916303,0.00012840718,0.00011882134,9.881733e-05,0.0002022843,0.011869806,2,6
1,cohyp,1,cohyp,chair,bench,2.36,True,['Ġchair'],['Ġbench'],1,1,-0.64753276,6.6976767,-0.77548337,-0.63455135,-1.5749211,-1.3743865,-0.5330103,0.0006436444,0.99685043,0.0005663409,0.00065205427,0.00025461632,0.00031115543,0.00072174286,0.038566574,7,9
