pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
1,cohyp,1,cohyp,radish,carrot,0.09,True,"['ra', '##dis', '##h']",['carrot'],3,1,-0.5282369,2.7995615,-1.1080093,-0.3494472,-0.77378565,-0.86945295,0.52057606,0.028587652,0.79693514,0.016009822,0.034184232,0.022363411,0.020323113,0.08159661,1.2014151,5,4
2,hyp,1,cohyp,swing,push,1.83,False,['swing'],['push'],1,1,-0.6802894,0.11139333,4.588823,-1.0467802,-1.4934751,-1.7119048,-0.20711863,0.004986321,0.011005346,0.9685601,0.0034563309,0.00221115,0.0017772774,0.008003422,0.2741169,22,15
4,no-rel,4,no-rel,rhyme,dinner,0.0,True,['rhyme'],['dinner'],1,1,-0.77568495,0.2979373,-1.9874629,-0.22062942,3.4373777,-0.053456288,-0.80652046,0.013062082,0.038219124,0.0038881595,0.022754641,0.8825155,0.026895052,0.0126654515,0.79631466,4,2
3,mero,4,no-rel,glass,cabinet,1.92,False,['glass'],['cabinet'],1,1,-0.83570147,1.1385107,-1.5030124,2.7569516,-1.13476,-0.7058691,-0.33419585,0.020586416,0.14824164,0.010562611,0.74791133,0.015265154,0.023440469,0.033992402,1.2912129,12,4
2,hyp,2,hyp,geology,study,5.38,True,['geology'],['study'],1,1,-0.7630801,-0.4274244,4.6876197,-0.7314564,-0.66882193,-1.4393603,-0.6494903,0.0041827047,0.005851007,0.97424024,0.004317092,0.004596138,0.0021269268,0.0046858527,0.23786911,1,16
1,cohyp,1,cohyp,nitrogen,oxygen,0.31,True,['nitrogen'],['oxygen'],1,1,-0.07365787,2.7274652,0.5802113,-0.4445846,-1.0910839,-2.0695376,0.29739237,0.04540736,0.7475471,0.08731684,0.031335372,0.016415864,0.0061705904,0.06580689,1.381004,1,1
2,hyp,6,syn,reason,cause,3.46,False,['reason'],['cause'],1,1,-0.38309452,-0.7004544,4.597513,-1.4197264,-1.3593793,-1.1803938,-0.06785154,0.006673636,0.004858865,0.97143304,0.0023667857,0.002514012,0.0030067672,0.009146832,0.25568458,9,7
1,cohyp,2,hyp,chipmunk,squirrel,1.69,False,"['chip', '##mun', '##k']",['squirrel'],3,1,-0.3475659,2.2149303,2.0464716,-1.0904654,-1.4263508,-1.9401181,0.38780707,0.03567453,0.4626326,0.3909089,0.016971536,0.01212964,0.0072564078,0.074426346,1.7232873,1,2
6,syn,6,syn,topic,theme,3.71,True,['topic'],['theme'],1,1,0.4847476,0.6319787,1.3769758,-1.294546,-2.3190114,-0.47292545,1.5342203,0.1239395,0.143599,0.302482,0.020915698,0.0075084902,0.04756611,0.35398918,2.2062478,2,6
2,hyp,2,hyp,crane,bird,5.3,True,['crane'],['bird'],1,1,-0.69070643,-0.60223746,4.8178954,-0.93434644,-1.2004346,-1.3029609,-0.53059334,0.0039682784,0.0043353457,0.97939396,0.003110215,0.0023835807,0.0021513116,0.004657343,0.19691738,6,6
2,hyp,2,hyp,winter,season,5.83,True,['winter'],['season'],1,1,-0.68280363,-0.41231576,4.635526,-0.5734339,-1.09925,-1.6474767,-0.5743736,0.004770445,0.006252163,0.9733751,0.005321788,0.0031455648,0.0018180539,0.0053167893,0.24352595,2,6
