pred_label,pred_rel,real_label,real_rel,source,target,grade,results,toks_source,toks_target,n_toks_source,n_toks_target,ant_logit,cohyp_logit,hyp_logit,mero_logit,no-rel_logit,r-hyp_logit,syn_logit,ant,cohyp,hyp,mero,no-rel,r-hyp,syn,entropy,nsynsests_source,nsynsests_target
1,cohyp,1,cohyp,radish,carrot,0.09,True,"['Ġrad', 'ish']",['Ġcarrot'],2,1,-0.1394598,2.9368732,-0.63129437,0.4534541,-1.851983,-0.5222873,-0.23632044,0.037216865,0.80681556,0.022758244,0.06733471,0.006714296,0.025379317,0.0337811,1.16096,5,4
2,hyp,1,cohyp,swing,push,1.83,False,['Ġswing'],['Ġpush'],1,1,-1.1700679,0.5199475,3.476571,-2.0088491,-1.4971392,0.35952032,-0.32987747,0.008421765,0.045642287,0.8778346,0.0036401977,0.0060723647,0.038877185,0.01951161,0.79348123,22,15
4,no-rel,4,no-rel,rhyme,dinner,0.0,True,"['Ġrhy', 'me']",['Ġdinner'],2,1,-0.5942625,-1.0335956,-0.6819444,-0.37117583,3.9009542,-0.6877124,-0.3189282,0.01045743,0.006739459,0.009579552,0.013071045,0.9368559,0.009524458,0.01377213,0.5006946,4,2
3,mero,4,no-rel,glass,cabinet,1.92,False,['Ġglass'],['Ġcabinet'],1,1,-0.93115723,0.8223402,-1.2696527,2.979685,-0.8045508,-0.6542713,-0.096612275,0.016080696,0.09286224,0.011462998,0.8030861,0.01825111,0.021210693,0.03704616,1.1416603,12,4
2,hyp,2,hyp,geology,study,5.38,True,"['Ġge', 'ology']",['Ġstudy'],2,1,-1.4053941,-0.20971447,4.539885,-1.1393893,-1.0064566,-0.6486226,-0.7983157,0.0025444438,0.008411433,0.97184,0.0033198404,0.0037918321,0.0054231873,0.0046692137,0.25476682,1,16
1,cohyp,1,cohyp,nitrogen,oxygen,0.31,True,['Ġnitrogen'],['Ġoxygen'],1,1,0.19026753,2.5866191,-0.5681514,-0.06783634,-1.9267002,-0.6456899,-0.10434144,0.068858035,0.75627005,0.03225354,0.053193867,0.008290241,0.029847153,0.051287025,1.3838636,1,1
6,syn,6,syn,reason,cause,3.46,True,['Ġreason'],['Ġcause'],1,1,0.5208947,-0.5377898,0.94722486,-1.8880572,-1.9998037,0.4331867,1.4068161,0.15649213,0.054288972,0.23968746,0.014070126,0.012582504,0.14335121,0.3795275,2.2390497,9,7
2,hyp,2,hyp,chipmunk,squirrel,1.69,True,"['Ġchip', 'm', 'unk']",['Ġsquirrel'],3,1,-1.0984616,1.3310603,3.4104993,-0.90575945,-1.7731267,-0.7735796,-0.5151794,0.009252538,0.105048224,0.84038377,0.011218898,0.004712566,0.01280428,0.016579716,0.90250665,1,2
5,r-hyp,6,syn,topic,theme,3.71,False,['Ġtopic'],['Ġtheme'],1,1,-0.7472838,-0.31818494,0.021773476,-1.0806168,-2.3256173,2.0481145,1.0951413,0.0353389,0.054276064,0.07625186,0.025321439,0.0072910753,0.57846767,0.223053,1.8073815,2,6
2,hyp,2,hyp,crane,bird,5.3,True,['Ġcrane'],['Ġbird'],1,1,-1.2937799,-0.3431182,4.662098,-1.0736594,-0.9337679,-0.9686442,-0.75565696,0.002529215,0.006544145,0.9763165,0.0031519758,0.0036252423,0.0035009864,0.0043320106,0.22121619,6,6
2,hyp,2,hyp,winter,season,5.83,True,['Ġwinter'],['Ġseason'],1,1,-1.3019829,-0.3662445,4.581403,-0.96632814,-1.2383676,-0.6858838,-0.5239748,0.0027095487,0.006906898,0.9727895,0.0037902682,0.0028875181,0.0050172447,0.005899043,0.24825598,2,6
3,mero,1,cohyp,chair,bench,2.36,False,['Ġchair'],['Ġbench'],1,1,-0.635962,1.7885891,-1.3040885,2.0660179,-2.0713348,-0.6674395,0.76379883,0.030321114,0.34254238,0.015544673,0.4520642,0.00721723,0.029381547,0.12292878,1.8661693,7,9
2,hyp,2,hyp,bat,club,3.6,True,['Ġbat'],['Ġclub'],1,1,-1.278762,1.2587413,3.727232,-0.766112,-1.6523757,-0.5296718,-0.6442517,0.0059062364,0.07470238,0.88183296,0.009861703,0.0040649236,0.012492132,0.011139739,0.73256606,10,11
2,hyp,5,r-hyp,annoy,tease,3.7,False,['Ġannoy'],['Ġtease'],1,1,-0.5456023,-0.04820221,1.6400372,-2.3136077,-0.89965767,0.8070391,0.068081655,0.05516287,0.09071205,0.4907474,0.009414817,0.038715295,0.21334946,0.10189817,2.104867,1,12
